,what,took,place,in,his,lab,in,1895,",",causing,him,to,lose,thousands,of,dollars,of,data,and,tools,?
soon,0.3005380630493164,0.33240845799446106,0.21286724507808685,0.2957788109779358,0.4242439270019531,0.203592449426651,0.2957788109779358,0.12714330852031708,0.33847981691360474,0.2716479003429413,0.4731808602809906,0.3827410042285919,0.3212510049343109,0.24309492111206055,0.23495697975158691,0.15387661755084991,0.23495697975158691,0.12812450528144836,0.39496758580207825,0.1836683750152588,0.17460282146930695
after,0.21973377466201782,0.39438313245773315,0.30468833446502686,0.44050168991088867,0.41949746012687683,0.20140309631824493,0.44050168991088867,0.09614518284797668,0.38860568404197693,0.31649044156074524,0.41209572553634644,0.37890323996543884,0.3333807587623596,0.23220859467983246,0.3867455720901489,0.21310214698314667,0.3867455720901489,0.12143095582723618,0.3765919506549835,0.11532939225435257,0.16608688235282898
",",0.3087472915649414,0.27655306458473206,0.34068408608436584,0.5201468467712402,0.3378419280052185,0.1915702074766159,0.5201468467712402,0.011727049946784973,1.0000001192092896,0.2622236907482147,0.31121695041656494,0.44245919585227966,0.28248098492622375,0.2317916750907898,0.4946078956127167,0.22633887827396393,0.4946078956127167,0.22224515676498413,0.6633074283599854,0.278700590133667,0.31091248989105225
much,0.45316147804260254,0.21277569234371185,0.22972463071346283,0.2725222110748291,0.23178109526634216,0.18879924714565277,0.2725222110748291,0.027034074068069458,0.36182254552841187,0.2999870777130127,0.2968124449253082,0.40610215067863464,0.34300556778907776,0.30922770500183105,0.2671096920967102,0.24132972955703735,0.2671096920967102,0.16048774123191833,0.38395699858665466,0.34173792600631714,0.23442231118679047
of,0.33290785551071167,0.2766268849372864,0.2685627043247223,0.5696388483047485,0.38364991545677185,0.21564167737960815,0.5696388483047485,-0.067837655544281,0.4946078956127167,0.2885251045227051,0.2764812409877777,0.41548454761505127,0.2904243767261505,0.27601075172424316,1.0,0.1848512589931488,1.0,0.20013196766376495,0.5116966962814331,0.16475914418697357,0.1826142966747284
tesla,0.23221199214458466,0.08642509579658508,0.10752473026514053,0.17097744345664978,0.1580733060836792,0.24769280850887299,0.17097744345664978,-0.018836146220564842,0.20599327981472015,0.09954264760017395,0.14682093262672424,0.17548894882202148,0.13573384284973145,0.16479037702083588,0.18837453424930573,0.22256800532341003,0.18837453424930573,0.17802943289279938,0.19560420513153076,0.23483791947364807,0.10250775516033173
's,0.02692362666130066,0.06150028854608536,-0.03236493840813637,-0.037580832839012146,0.047556519508361816,0.011517631821334362,-0.037580832839012146,0.02004692703485489,-0.0016132977325469255,-0.13326315581798553,0.004161491058766842,0.03782717138528824,-0.0038217944093048573,0.03356398269534111,-0.03817026689648628,0.12366975843906403,-0.03817026689648628,0.04192065820097923,0.06895173341035843,-0.004947378300130367,-0.023395681753754616
early,0.2454567849636078,0.31974148750305176,0.19691842794418335,0.34672921895980835,0.30639806389808655,0.17536425590515137,0.34672921895980835,-0.02991868183016777,0.3022546172142029,0.18476185202598572,0.21188904345035553,0.24557004868984222,0.2270573526620865,0.2105485051870346,0.30937549471855164,0.13622915744781494,0.30937549471855164,0.11504948139190674,0.29847630858421326,0.2580627202987671,0.15272949635982513
research—hundreds,0.3174884617328644,0.21076540648937225,0.21675048768520355,0.30480441451072693,0.259819895029068,0.43920740485191345,0.30480441451072693,-0.19706854224205017,0.3778496980667114,0.267538845539093,0.22851379215717316,0.3526053726673126,0.17610563337802887,0.523156464099884,0.33695146441459656,0.3519470691680908,0.33695146441459656,0.3058697283267975,0.3754918575286865,0.2863630950450897,0.22492104768753052
of,0.33290785551071167,0.2766268849372864,0.2685627043247223,0.5696388483047485,0.38364991545677185,0.21564167737960815,0.5696388483047485,-0.067837655544281,0.4946078956127167,0.2885251045227051,0.2764812409877777,0.41548454761505127,0.2904243767261505,0.27601075172424316,1.0,0.1848512589931488,1.0,0.20013196766376495,0.5116966962814331,0.16475914418697357,0.1826142966747284
invention,0.2399451732635498,0.1622900366783142,0.16702526807785034,0.21856682002544403,0.2445983588695526,0.2860393226146698,0.21856682002544403,0.04382416605949402,0.20097169280052185,0.18934668600559235,0.2481403350830078,0.20048189163208008,0.1592993140220642,0.21268275380134583,0.20554374158382416,0.1931004673242569,0.20554374158382416,0.18124312162399292,0.1476679891347885,0.2520362436771393,0.15906493365764618
models,0.22431734204292297,0.08486108481884003,0.09464269876480103,0.2122073471546173,0.10403505712747574,0.18182481825351715,0.2122073471546173,-0.10678958147764206,0.2193855494260788,0.1663411259651184,0.10587980598211288,0.2078617662191391,0.09905277192592621,0.19110023975372314,0.19773605465888977,0.19471369683742523,0.19773605465888977,0.21814750134944916,0.22926653921604156,0.25822022557258606,0.16656708717346191
",",0.3087472915649414,0.27655306458473206,0.34068408608436584,0.5201468467712402,0.3378419280052185,0.1915702074766159,0.5201468467712402,0.011727049946784973,1.0000001192092896,0.2622236907482147,0.31121695041656494,0.44245919585227966,0.28248098492622375,0.2317916750907898,0.4946078956127167,0.22633887827396393,0.4946078956127167,0.22224515676498413,0.6633074283599854,0.278700590133667,0.31091248989105225
