,what,type,of,religious,behavior,was,tesla,against,?
later,0.2517229914665222,0.08406522125005722,0.3458743393421173,0.17864710092544556,0.16920070350170135,0.5684447288513184,0.1893843412399292,0.2321832925081253,0.1417175978422165
in,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.24099457263946533,0.13157719373703003,0.45514053106307983,0.17097744345664978,0.27273955941200256,0.20430970191955566
his,0.26976513862609863,0.0908033698797226,0.38364991545677185,0.2274952232837677,0.1958194375038147,0.4405253231525421,0.1580733060836792,0.26457494497299194,0.18075084686279297
life,0.24693015217781067,0.15995503962039948,0.2788603901863098,0.20940004289150238,0.28805407881736755,0.22970539331436157,0.07371766865253448,0.10783659666776657,0.21677987277507782
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2753547728061676,0.1586613655090332,0.45456063747406006,0.20599327981472015,0.31168749928474426,0.31091248989105225
he,0.3114890456199646,0.11091722548007965,0.38706058263778687,0.20694087445735931,0.19107750058174133,0.5410010814666748,0.12373391538858414,0.29170042276382446,0.2089974731206894
did,0.4259131848812103,0.16984181106090546,0.2513895630836487,0.2198762446641922,0.17911140620708466,0.41399896144866943,0.09757418930530548,0.22514554858207703,0.3023456633090973
not,0.5449194312095642,0.2697264850139618,0.3307090103626251,0.26413705945014954,0.32436221837997437,0.2888734042644501,0.12018213421106339,0.22345952689647675,0.41942933201789856
consider,0.44261306524276733,0.15346269309520721,0.3074679970741272,0.2704143524169922,0.2907762825489044,0.22259771823883057,0.13731910288333893,0.2218555212020874,0.37281370162963867
himself,0.2431095689535141,0.05701032653450966,0.17862990498542786,0.20549392700195312,0.1694371998310089,0.34733298420906067,0.09692850708961487,0.17846952378749847,0.10407622903585434
to,0.455847829580307,0.19930607080459595,0.41548454761505127,0.24161745607852936,0.23964552581310272,0.3636345863342285,0.17548894882202148,0.310872346162796,0.29463258385658264
be,0.3929833769798279,0.25716274976730347,0.33904364705085754,0.19911830127239227,0.316130131483078,0.42228707671165466,0.15180771052837372,0.18640132248401642,0.3324260413646698
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.23162008821964264,0.21555481851100922,0.4508470594882965,0.2211925983428955,0.2227657586336136,0.23916715383529663
``,0.008517155423760414,0.03534303233027458,0.06780257821083069,0.0828113928437233,0.026777563616633415,-0.012679691426455975,0.04274534806609154,0.031818777322769165,0.0685480609536171
believer,0.3753257989883423,0.12905597686767578,0.25517794489860535,0.4724424481391907,0.2653454840183258,0.26173272728919983,0.14187388122081757,0.2564227283000946,0.2449558973312378
in,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.24099457263946533,0.13157719373703003,0.45514053106307983,0.17097744345664978,0.27273955941200256,0.20430970191955566
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.22950971126556396,0.2124595195055008,0.48711544275283813,0.1324402391910553,0.3090755045413971,0.22068053483963013
orthodox,0.21725283563137054,0.05511161684989929,0.24173015356063843,0.48777416348457336,0.12454050034284592,0.2057921141386032,0.2568820118904114,0.187713623046875,0.20826838910579681
sense,0.3673125207424164,0.18145017325878143,0.19666431844234467,0.22944585978984833,0.33785557746887207,0.11603791266679764,0.15517814457416534,0.15959914028644562,0.25268280506134033
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2753547728061676,0.1586613655090332,0.45456063747406006,0.20599327981472015,0.31168749928474426,0.31091248989105225
'',0.08143015950918198,0.054222505539655685,0.13035868108272552,0.07026614248752594,-0.035749651491642,0.04456103965640068,0.048713020980358124,-0.03918103128671646,0.018684765323996544
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.30280056595802307,0.22840261459350586,0.3740963041782379,0.19560420513153076,0.3292689621448517,0.20544172823429108
opposed,0.35573211312294006,0.1574188768863678,0.25387564301490784,0.32625240087509155,0.26094698905944824,0.2790595591068268,0.08922135829925537,0.40445494651794434,0.23428945243358612
religious,0.26794421672821045,0.08639378100633621,0.2958606779575348,0.9999998807907104,0.2167932242155075,0.20851445198059082,0.12188293039798737,0.24273830652236938,0.15727058053016663
fanaticism,0.2836497128009796,0.08116817474365234,0.1783323436975479,0.5160477757453918,0.31794941425323486,0.2354513704776764,0.20436498522758484,0.334158331155777,0.21713191270828247
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.23880675435066223,0.262289822101593,0.40146201848983765,0.17949827015399933,0.28705209493637085,0.4130953550338745
