,the,papers,of,which,famous,english,writer,of,children,'s,books,such,as,the,tale,of,peter,rabbit,are,collected,in,the,museum,?
writers,0.26940304040908813,0.26720547676086426,0.23530523478984833,0.21567367017269135,0.24773412942886353,0.23599566519260406,0.5156255960464478,0.23530523478984833,0.25839120149612427,0.05780700221657753,0.385608047246933,0.184514582157135,0.10663998872041702,0.26940304040908813,0.20481044054031372,0.23530523478984833,0.1680576652288437,0.11960797756910324,0.19338957965373993,0.23057974874973297,0.22500865161418915,0.26940304040908813,0.15536203980445862,0.1693820208311081
whose,0.38253846764564514,0.08630754798650742,0.37058958411216736,0.37205496430397034,0.25410765409469604,0.22061194479465485,0.21800699830055237,0.37058958411216736,0.1329357773065567,-0.019954677671194077,0.15562717616558075,0.24919940531253815,0.3202406167984009,0.38253846764564514,0.1544472873210907,0.37058958411216736,0.060872241854667664,0.11951764672994614,0.2854825556278229,0.15822254121303558,0.23496666550636292,0.38253846764564514,0.017854614183306694,0.16990536451339722
papers,0.15848612785339355,1.0000001192092896,0.17829445004463196,0.1440466195344925,0.12946583330631256,0.13381148874759674,0.1893097162246704,0.17829445004463196,0.20825396478176117,-0.019950760528445244,0.4619482457637787,0.17761825025081635,0.20654168725013733,0.15848612785339355,0.15647324919700623,0.17829445004463196,0.0799991711974144,0.07358376681804657,0.21087995171546936,0.443788081407547,0.21986161172389984,0.15848612785339355,0.24409626424312592,0.12157123535871506
are,0.40399202704429626,0.21087995171546936,0.39081433415412903,0.42922598123550415,0.20935581624507904,0.20190079510211945,0.052186526358127594,0.39081433415412903,0.22232650220394135,-0.008927806280553341,0.2374548763036728,0.4654397666454315,0.3826591968536377,0.40399202704429626,0.17038416862487793,0.39081433415412903,0.1084851548075676,0.21665804088115692,1.0,0.23702463507652283,0.3841303884983063,0.40399202704429626,0.12469582259654999,0.24591213464736938
in,0.6662389636039734,0.21986161172389984,0.5696388483047485,0.4840516746044159,0.34673580527305603,0.19623121619224548,0.19054412841796875,0.5696388483047485,0.2065156251192093,-0.037580832839012146,0.250139981508255,0.2704046070575714,0.3887844979763031,0.6662389636039734,0.19210737943649292,0.5696388483047485,0.168073832988739,0.12669742107391357,0.3841303884983063,0.2259848713874817,1.0,0.6662389636039734,0.2407650351524353,0.20430970191955566
the,1.0,0.15848612785339355,0.733189046382904,0.6521818041801453,0.28616565465927124,0.23982001841068268,0.1583879292011261,0.733189046382904,0.15654058754444122,-0.01540423184633255,0.23187310993671417,0.3575236201286316,0.48381632566452026,1.0,0.20244668424129486,0.733189046382904,0.24086274206638336,0.19208186864852905,0.40399202704429626,0.26241183280944824,0.6662389636039734,1.0,0.24861779808998108,0.22068053483963013
library,0.19920319318771362,0.3776659071445465,0.21889357268810272,0.1813201606273651,0.1674058586359024,0.1118764653801918,0.1913299560546875,0.21889357268810272,0.2138597071170807,-0.09959429502487183,0.3576837480068207,0.11713852733373642,0.19044850766658783,0.19920319318771362,0.22043544054031372,0.21889357268810272,0.1725298911333084,0.12230534851551056,0.13147571682929993,0.36169716715812683,0.2101847380399704,0.19920319318771362,0.3657669126987457,0.18938742578029633
are,0.40399202704429626,0.21087995171546936,0.39081433415412903,0.42922598123550415,0.20935581624507904,0.20190079510211945,0.052186526358127594,0.39081433415412903,0.22232650220394135,-0.008927806280553341,0.2374548763036728,0.4654397666454315,0.3826591968536377,0.40399202704429626,0.17038416862487793,0.39081433415412903,0.1084851548075676,0.21665804088115692,1.0,0.23702463507652283,0.3841303884983063,0.40399202704429626,0.12469582259654999,0.24591213464736938
as,0.48381632566452026,0.20654168725013733,0.3886612355709076,0.41006597876548767,0.21419654786586761,0.2722744047641754,0.1680026799440384,0.3886612355709076,0.17233875393867493,-0.05775856226682663,0.2024291753768921,0.6207084655761719,1.0,0.48381632566452026,0.13599789142608643,0.3886612355709076,0.19159027934074402,0.1533460170030594,0.3826591968536377,0.23179961740970612,0.3887844979763031,0.48381632566452026,0.15384963154792786,0.27043893933296204
diverse,0.2793438136577606,0.08760346472263336,0.27690666913986206,0.31423860788345337,0.20279498398303986,0.15388070046901703,0.15441463887691498,0.27690666913986206,0.11978484690189362,0.027039075270295143,0.20041444897651672,0.2738149166107178,0.24159374833106995,0.2793438136577606,0.19084028899669647,0.27690666913986206,0.11347289383411407,0.22112499177455902,0.30672088265419006,0.23871219158172607,0.1994941383600235,0.2793438136577606,0.11619813740253448,0.07389035075902939
