,what,type,of,engines,does,the,american,car,typically,have,?
japanese,0.16184724867343903,0.17937031388282776,0.2048201858997345,0.13139128684997559,0.14886170625686646,0.21599429845809937,0.3326369822025299,0.06280384212732315,0.16774266958236694,0.1884487122297287,0.12021756172180176
imports,0.26115682721138,0.17421427369117737,0.26888322830200195,0.2422167956829071,0.2552586793899536,0.2575509548187256,0.10705424100160599,0.1873534619808197,0.27659928798675537,0.31908854842185974,0.2849743068218231
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.20245449244976044,0.28617382049560547,0.4933079481124878,0.3048616647720337,0.21104301512241364,0.18964512646198273,0.3541618287563324,0.31091248989105225
primarily,0.23722688853740692,0.22025072574615479,0.2761906683444977,0.11032458394765854,0.2548857629299164,0.34785038232803345,0.1717345267534256,0.08057210594415665,0.4166164696216583,0.27771300077438354,0.06029784679412842
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.2245008647441864,0.35928019881248474,1.0,0.24562937021255493,0.19754165410995483,0.33345210552215576,0.40389683842658997,0.22068053483963013
toyota,0.12852390110492706,0.05684515833854675,0.1666925847530365,0.37525758147239685,0.11659915745258331,0.175506591796875,0.12361845374107361,0.4981869161128998,0.13022485375404358,0.17959977686405182,0.06279262900352478
corona,0.16802065074443817,0.12862417101860046,0.23235659301280975,0.16130097210407257,0.11372046917676926,0.22527040541172028,0.08706656843423843,0.13171274960041046,0.1301027536392212,0.12358167767524719,0.09389303624629974
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.20245449244976044,0.28617382049560547,0.4933079481124878,0.3048616647720337,0.21104301512241364,0.18964512646198273,0.3541618287563324,0.31091248989105225
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.2245008647441864,0.35928019881248474,1.0,0.24562937021255493,0.19754165410995483,0.33345210552215576,0.40389683842658997,0.22068053483963013
toyota,0.12852390110492706,0.05684515833854675,0.1666925847530365,0.37525758147239685,0.11659915745258331,0.175506591796875,0.12361845374107361,0.4981869161128998,0.13022485375404358,0.17959977686405182,0.06279262900352478
corolla,0.2593177258968353,0.20823730528354645,0.23047305643558502,0.31249287724494934,0.19645962119102478,0.269803911447525,0.18545353412628174,0.3685361444950104,0.2761457562446594,0.21314319968223572,0.16297723352909088
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.20245449244976044,0.28617382049560547,0.4933079481124878,0.3048616647720337,0.21104301512241364,0.18964512646198273,0.3541618287563324,0.31091248989105225
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.2245008647441864,0.35928019881248474,1.0,0.24562937021255493,0.19754165410995483,0.33345210552215576,0.40389683842658997,0.22068053483963013
datsun,0.17955222725868225,0.14305639266967773,0.1974756419658661,0.1628493368625641,0.12965133786201477,0.22483332455158234,0.18317793309688568,0.13475632667541504,0.09341083467006683,0.15562139451503754,0.24280552566051483
b210,0.03993610665202141,-0.04078836366534233,0.124590203166008,-0.04933182895183563,0.03406937047839165,0.18831418454647064,-0.09921185672283173,-0.050521381199359894,0.057134248316287994,0.12536989152431488,-0.055110666900873184
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.20245449244976044,0.28617382049560547,0.4933079481124878,0.3048616647720337,0.21104301512241364,0.18964512646198273,0.3541618287563324,0.31091248989105225
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.2245008647441864,0.35928019881248474,1.0,0.24562937021255493,0.19754165410995483,0.33345210552215576,0.40389683842658997,0.22068053483963013
datsun,0.17955222725868225,0.14305639266967773,0.1974756419658661,0.1628493368625641,0.12965133786201477,0.22483332455158234,0.18317793309688568,0.13475632667541504,0.09341083467006683,0.15562139451503754,0.24280552566051483
510,0.11724446713924408,0.09787841141223907,0.2778202295303345,-0.04494813457131386,0.11994452774524689,0.28801628947257996,0.13348837196826935,-0.07616547495126724,0.09061449766159058,0.1997600644826889,0.02240603417158127
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.20245449244976044,0.28617382049560547,0.4933079481124878,0.3048616647720337,0.21104301512241364,0.18964512646198273,0.3541618287563324,0.31091248989105225
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.2245008647441864,0.35928019881248474,1.0,0.24562937021255493,0.19754165410995483,0.33345210552215576,0.40389683842658997,0.22068053483963013
honda,0.14782242476940155,0.10929913073778152,0.134624183177948,0.3967553675174713,0.0965648964047432,0.11746818572282791,0.1650610715150833,0.4191299080848694,0.1022481769323349,0.17183110117912292,0.1309606283903122
civic,0.0722622275352478,0.05424842983484268,0.270949125289917,0.21611598134040833,0.10010471194982529,0.20014525949954987,0.2374040186405182,0.26073795557022095,0.12641917169094086,0.15802979469299316,0.08940358459949493
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.20245449244976044,0.28617382049560547,0.4933079481124878,0.3048616647720337,0.21104301512241364,0.18964512646198273,0.3541618287563324,0.31091248989105225
