,most,antibiotics,target,bacteria,and,do,n't,affect,what,class,of,organisms,?
however,0.4937610328197479,0.3266589939594269,0.2497374415397644,0.22961458563804626,0.498121976852417,0.39999139308929443,-0.12235043942928314,0.42100343108177185,0.4480680823326111,0.2279498428106308,0.3800618350505829,0.27194276452064514,0.2152075469493866
",",0.3636029064655304,0.24581512808799744,0.19288919866085052,0.2358950972557068,0.6633074283599854,0.3283645510673523,0.11016341298818588,0.24902932345867157,0.3087472915649414,0.1753857135772705,0.4946078956127167,0.20150232315063477,0.31091248989105225
since,0.3224619925022125,0.22689735889434814,0.2023041695356369,0.15082451701164246,0.3515571057796478,0.21944737434387207,-0.023100471124053,0.26570749282836914,0.29783400893211365,0.11163710057735443,0.35513219237327576,0.13944321870803833,0.2876587212085724
most,1.0,0.2362467348575592,0.1962982416152954,0.14577016234397888,0.4309377074241638,0.31522849202156067,-0.057794127613306046,0.29132235050201416,0.3219912350177765,0.17672498524188995,0.4178851246833801,0.2556702792644501,0.2107497900724411
antibiotics,0.2362467348575592,0.9999999403953552,0.2556992471218109,0.6311051845550537,0.2003384679555893,0.22258609533309937,0.06490539759397507,0.31096285581588745,0.21568474173545837,0.12998370826244354,0.20166616141796112,0.44744873046875,0.21702755987644196
non-specifically,0.315457820892334,0.20293369889259338,0.28719961643218994,0.17323583364486694,0.27345913648605347,0.27552637457847595,0.03801880404353142,0.3447111248970032,0.40189212560653687,0.22638411819934845,0.270197331905365,0.21469169855117798,0.25800570845603943
target,0.1962982416152954,0.2556992471218109,0.9999999403953552,0.20123471319675446,0.2067750096321106,0.19927075505256653,-0.07295012474060059,0.20983615517616272,0.22247901558876038,0.11053862422704697,0.15346646308898926,0.24606844782829285,0.24974246323108673
bacteria,0.14577016234397888,0.6311051845550537,0.20123471319675446,0.9999998807907104,0.2316904515028,0.24595952033996582,0.00016339872672688216,0.26345786452293396,0.1863701492547989,0.13592970371246338,0.17966590821743011,0.6575207114219666,0.18786604702472687
and,0.4309377074241638,0.2003384679555893,0.2067750096321106,0.2316904515028,1.0,0.276123583316803,-0.0602874718606472,0.3258028030395508,0.31309178471565247,0.20710228383541107,0.5116966962814331,0.2444908618927002,0.20544172823429108
do,0.31522849202156067,0.22258609533309937,0.19927075505256653,0.24595952033996582,0.276123583316803,1.0,-0.08343347162008286,0.3423769772052765,0.4609605669975281,0.15967817604541779,0.26150479912757874,0.2771075963973999,0.4093979299068451
not,0.419027179479599,0.2919442355632782,0.27354881167411804,0.30072271823883057,0.39099299907684326,0.6619802713394165,-0.11552248895168304,0.38054031133651733,0.5449194312095642,0.1832761913537979,0.3307090103626251,0.30211594700813293,0.41942933201789856
affect,0.29132235050201416,0.31096285581588745,0.20983615517616272,0.26345786452293396,0.3258028030395508,0.3423769772052765,-0.044015418738126755,1.0,0.34042587876319885,0.13429027795791626,0.3070525825023651,0.29159849882125854,0.26275068521499634
fungi,0.24484150111675262,0.523750901222229,0.2093348652124405,0.6959528923034668,0.2609676420688629,0.26647403836250305,0.0030932503286749125,0.24549515545368195,0.18857768177986145,0.156582310795784,0.2100275754928589,0.6303068995475769,0.1450994610786438
",",0.3636029064655304,0.24581512808799744,0.19288919866085052,0.2358950972557068,0.6633074283599854,0.3283645510673523,0.11016341298818588,0.24902932345867157,0.3087472915649414,0.1753857135772705,0.4946078956127167,0.20150232315063477,0.31091248989105225
oral,0.12177462875843048,0.3543911278247833,0.06691772490739822,0.19359388947486877,0.17257970571517944,0.157289057970047,0.21832355856895447,0.18208085000514984,0.20099733769893646,0.07243791967630386,0.22543784976005554,0.1942673772573471,0.15616728365421295
antibiotics,0.2362467348575592,0.9999999403953552,0.2556992471218109,0.6311051845550537,0.2003384679555893,0.22258609533309937,0.06490539759397507,0.31096285581588745,0.21568474173545837,0.12998370826244354,0.20166616141796112,0.44744873046875,0.21702755987644196
can,0.3452373743057251,0.35881948471069336,0.2602491080760956,0.3052942752838135,0.3675691485404968,0.45775556564331055,-0.13075803220272064,0.38537415862083435,0.34502777457237244,0.14804822206497192,0.2603091299533844,0.31675317883491516,0.3226337134838104
lead,0.2786058783531189,0.23192815482616425,0.19254758954048157,0.12788045406341553,0.31077226996421814,0.20267564058303833,-0.014544831588864326,0.20429234206676483,0.19642074406147003,0.07655683904886246,0.19835850596427917,0.15523557364940643,0.14552436769008636
to,0.321603000164032,0.2488921880722046,0.275001585483551,0.19413231313228607,0.48971283435821533,0.38876664638519287,-0.14541994035243988,0.2910311818122864,0.455847829580307,0.18696844577789307,0.41548454761505127,0.26437875628471375,0.29463258385658264
an,0.2748267352581024,0.17945648729801178,0.1860780566930771,0.1501981019973755,0.2838519215583801,0.25865980982780457,0.07694102823734283,0.1799934059381485,0.2821882665157318,0.16298675537109375,0.32280945777893066,0.17221201956272125,0.19793890416622162
