,what,do,redistribution,mechanisms,lead,to,?
eventually,0.28470873832702637,0.1971498727798462,0.23589573800563812,0.22062116861343384,0.250680536031723,0.4528551697731018,0.13642115890979767
",",0.3087472915649414,0.3283645510673523,0.2322739064693451,0.1645701378583908,0.2561914026737213,0.44245919585227966,0.31091248989105225
through,0.23167094588279724,0.24726749956607819,0.21966710686683655,0.1658569723367691,0.16949892044067383,0.4062686562538147,0.16913433372974396
various,0.26045072078704834,0.22750963270664215,0.2811223864555359,0.26614293456077576,0.22038976848125458,0.33564820885658264,0.12823495268821716
possible,0.3281886577606201,0.3172827661037445,0.2606341540813446,0.290928453207016,0.22439193725585938,0.4506641626358032,0.3059970438480377
redistribution,0.26319849491119385,0.20575353503227234,0.9999999403953552,0.29864856600761414,0.09851089119911194,0.25481486320495605,0.1706853210926056
mechanisms,0.23776228725910187,0.2439737617969513,0.29864856600761414,1.0000001192092896,0.1334128975868225,0.2500166893005371,0.20209980010986328
such,0.23989605903625488,0.337398886680603,0.2265053689479828,0.29699984192848206,0.20387478172779083,0.2871878743171692,0.17851735651493073
as,0.31749409437179565,0.38329678773880005,0.205505833029747,0.2306535542011261,0.2644319534301758,0.42092081904411316,0.27043893933296204
social,0.22217629849910736,0.21496951580047607,0.29526904225349426,0.24235422909259796,0.16860435903072357,0.19684761762619019,0.1615191102027893
welfare,0.24410170316696167,0.18214166164398193,0.3322937786579132,0.2853228747844696,0.16494855284690857,0.2646935284137726,0.17747683823108673
programs,0.23178155720233917,0.25158262252807617,0.3377878963947296,0.25208255648612976,0.1447175294160843,0.23389451205730438,0.16452431678771973
",",0.3087472915649414,0.3283645510673523,0.2322739064693451,0.1645701378583908,0.2561914026737213,0.44245919585227966,0.31091248989105225
more,0.3484537899494171,0.3514035940170288,0.27734556794166565,0.27720776200294495,0.2169930785894394,0.47084665298461914,0.27894994616508484
developed,0.15555569529533386,0.16904397308826447,0.24372607469558716,0.2471611648797989,0.08962902426719666,0.19491806626319885,0.10763012617826462
countries,0.22319257259368896,0.25890177488327026,0.29131728410720825,0.18777890503406525,0.17061467468738556,0.3111797273159027,0.15128466486930847
move,0.30861297249794006,0.30881935358047485,0.23181763291358948,0.2118338644504547,0.1825219690799713,0.37858664989471436,0.24440962076187134
back,0.2965294420719147,0.2184148132801056,0.17067934572696686,0.19064876437187195,0.18956027925014496,0.4675939381122589,0.2397768795490265
to,0.455847829580307,0.38876664638519287,0.25481486320495605,0.2500166893005371,0.23490607738494873,1.0,0.29463258385658264
lower,0.20079238712787628,0.12720887362957,0.18748675286769867,0.17622721195220947,0.09761782735586166,0.233318492770195,0.08471795171499252
levels,0.21641245484352112,0.22495627403259277,0.215726837515831,0.3279283344745636,0.1998414695262909,0.29053324460983276,0.1541307419538498
of,0.33290785551071167,0.26150479912757874,0.2767921984195709,0.22534649074077606,0.19835850596427917,0.41548454761505127,0.1826142966747284
inequality,0.30072227120399475,0.2117324322462082,0.36535078287124634,0.32309165596961975,0.19682742655277252,0.24361056089401245,0.23619021475315094
.,0.3567904531955719,0.3613996207714081,0.2506074905395508,0.2271011471748352,0.2305188626050949,0.4645031690597534,0.4130953550338745
