,who,would,the,occupation,alienate,?
although,0.3003382384777069,0.3708789050579071,0.3265823423862457,0.1261729598045349,0.28201422095298767,0.15541206300258636
the,0.3733934462070465,0.4133751392364502,1.0,0.23079249262809753,0.20618338882923126,0.22068053483963013
soviet,0.19540928304195404,0.20060111582279205,0.2312941700220108,0.27390286326408386,0.3130035996437073,0.08693568408489227
response,0.2218329906463623,0.2696913182735443,0.28909924626350403,0.15292155742645264,0.3095639944076538,0.2007838636636734
to,0.42656609416007996,0.5965728163719177,0.535392165184021,0.1859113872051239,0.31396356225013733,0.29463258385658264
such,0.2594927251338959,0.29505011439323425,0.3575236201286316,0.1312822699546814,0.2735828161239624,0.17851735651493073
an,0.2848317325115204,0.2650099992752075,0.4207492768764496,0.2271277904510498,0.23942367732524872,0.19793890416622162
act,0.2015037089586258,0.24421697854995728,0.28682878613471985,0.22480468451976776,0.27736449241638184,0.1482519507408142
would,0.3632977604866028,1.0000001192092896,0.4133751392364502,0.18343009054660797,0.2824445068836212,0.37178951501846313
likely,0.32538387179374695,0.4775884747505188,0.28129076957702637,0.0827367901802063,0.3035180866718292,0.35971182584762573
not,0.369414746761322,0.5854519605636597,0.4310511648654938,0.1702539324760437,0.34991124272346497,0.41942933201789856
involve,0.20000606775283813,0.2953587472438812,0.23203566670417786,0.16346752643585205,0.3232714831829071,0.21596334874629974
force,0.19492056965827942,0.2111431211233139,0.2800885736942291,0.1615835279226303,0.28784218430519104,0.1650998443365097
",",0.3365725874900818,0.32586824893951416,0.4933079481124878,0.28664809465408325,0.19327150285243988,0.31091248989105225
intelligence,0.2297636866569519,0.19787774980068207,0.25918135046958923,0.2067505270242691,0.31459876894950867,0.13662627339363098
warned,0.3257722556591034,0.4173193573951721,0.21100614964962006,0.1549578458070755,0.2766475975513458,0.2909487187862396
``,0.02397952415049076,0.08063928782939911,0.029072100296616554,0.06181696802377701,0.04148987680673599,0.0685480609536171
the,0.3733934462070465,0.4133751392364502,1.0,0.23079249262809753,0.20618338882923126,0.22068053483963013
american,0.3093835413455963,0.16025279462337494,0.24562937021255493,0.30047452449798584,0.2584717273712158,0.18877598643302917
occupation,0.26314935088157654,0.18343009054660797,0.23079249262809753,1.0,0.22446000576019287,0.13284437358379364
would,0.3632977604866028,1.0000001192092896,0.4133751392364502,0.18343009054660797,0.2824445068836212,0.37178951501846313
need,0.24696506559848785,0.5093578696250916,0.2594960331916809,0.16705729067325592,0.3512019217014313,0.40413710474967957
to,0.42656609416007996,0.5965728163719177,0.535392165184021,0.1859113872051239,0.31396356225013733,0.29463258385658264
last,0.30598369240760803,0.2556133568286896,0.3698786795139313,0.12929727137088776,0.11419149488210678,0.22371746599674225
10,0.2045697718858719,0.08641136437654495,0.2880653440952301,0.1203196719288826,0.16198134422302246,0.022911956533789635
years,0.29867154359817505,0.24754531681537628,0.2912273406982422,0.1632380187511444,0.15891540050506592,0.1914375126361847
as,0.3923053741455078,0.3824005722999573,0.48381632566452026,0.16790249943733215,0.30947402119636536,0.27043893933296204
the,0.3733934462070465,0.4133751392364502,1.0,0.23079249262809753,0.20618338882923126,0.22068053483963013
west,0.1436629444360733,0.1574600338935852,0.32918402552604675,0.1869613379240036,0.11033037304878235,0.12088293582201004
developed,0.1288115680217743,0.19658136367797852,0.24490751326084137,0.1613312065601349,0.183345228433609,0.10763012617826462
alternative,0.15591807663440704,0.2580938935279846,0.24553248286247253,0.14377887547016144,0.2049361914396286,0.22607778012752533
energy,0.14706677198410034,0.19771908223628998,0.26756542921066284,0.0815986692905426,0.29208874702453613,0.14860127866268158
sources,0.19914555549621582,0.2646428644657135,0.27209216356277466,0.09163536131381989,0.18807117640972137,0.2886999845504761
",",0.3365725874900818,0.32586824893951416,0.4933079481124878,0.28664809465408325,0.19327150285243988,0.31091248989105225
and,0.41279885172843933,0.34921059012413025,0.5171257257461548,0.3541368842124939,0.2876467704772949,0.20544172823429108
would,0.3632977604866028,1.0000001192092896,0.4133751392364502,0.18343009054660797,0.2824445068836212,0.37178951501846313
result,0.13371044397354126,0.30209586024284363,0.27778977155685425,0.09996713697910309,0.2152610868215561,0.17218433320522308
