,who,was,made,governor,of,samarqand,?
the,0.3733934462070465,0.48711544275283813,0.3885267674922943,0.19955585896968842,0.733189046382904,0.3489023745059967,0.22068053483963013
mongol,0.22505711019039154,0.17204789817333221,0.07320716977119446,0.16480550169944763,0.22712039947509766,0.3872103989124298,0.12849251925945282
appointed,0.3215055465698242,0.33569878339767456,0.2728078067302704,0.4625459909439087,0.3280673027038574,0.21788646280765533,0.13895352184772491
governor,0.20484673976898193,0.25802454352378845,0.16729456186294556,1.0,0.19877229630947113,0.27799269556999207,0.135940283536911
of,0.2827862501144409,0.4069072902202606,0.33167365193367004,0.19877229630947113,1.0,0.28913354873657227,0.1826142966747284
samarqand,0.31944018602371216,0.2842242419719696,0.15626074373722076,0.27799269556999207,0.28913354873657227,1.0,0.24304187297821045
was,0.3318818509578705,1.0000001192092896,0.3433256447315216,0.25802454352378845,0.4069072902202606,0.2842242419719696,0.18412111699581146
a,0.36608949303627014,0.4508470594882965,0.3180864453315735,0.1417548954486847,0.5052502155303955,0.2777922749519348,0.23916715383529663
qara-khitay,0.34294626116752625,0.35447683930397034,0.20606304705142975,0.25308915972709656,0.30960461497306824,0.5682693123817444,0.29819396138191223
(,0.2443375140428543,0.2980341613292694,0.20796485245227814,0.17235584557056427,0.35032153129577637,0.23747864365577698,0.40561532974243164
khitan,0.2690381407737732,0.2591716945171356,0.1451094150543213,0.2062811702489853,0.2494407296180725,0.4850460886955261,0.22136270999908447
),0.2457384318113327,0.3267642855644226,0.22539687156677246,0.16347795724868774,0.3680361211299896,0.27217012643814087,0.42300865054130554
",",0.3365725874900818,0.45456063747406006,0.32507219910621643,0.25151750445365906,0.4946078956127167,0.34979674220085144,0.31091248989105225
held,0.21375896036624908,0.30231067538261414,0.2655305862426758,0.1914215236902237,0.28960686922073364,0.24466119706630707,0.14103956520557404
the,0.3733934462070465,0.48711544275283813,0.3885267674922943,0.19955585896968842,0.733189046382904,0.3489023745059967,0.22068053483963013
title,0.18150031566619873,0.19408874213695526,0.15023131668567657,0.0979328602552414,0.18969319760799408,0.2001606971025467,0.34551161527633667
taishi,0.2298925518989563,0.22716890275478363,0.1310475617647171,0.14259880781173706,0.20331457257270813,0.35935696959495544,0.16851958632469177
",",0.3365725874900818,0.45456063747406006,0.32507219910621643,0.25151750445365906,0.4946078956127167,0.34979674220085144,0.31091248989105225
familiar,0.26853325963020325,0.09075195342302322,0.20476284623146057,0.11613661795854568,0.26152390241622925,0.1673310399055481,0.2747369706630707
with,0.3282766342163086,0.27411898970603943,0.3459964990615845,0.06978941708803177,0.41827285289764404,0.26448702812194824,0.2433311939239502
chinese,0.2538459002971649,0.21259073913097382,0.13898862898349762,0.06864097714424133,0.24275560677051544,0.2875197231769562,0.20843194425106049
culture,0.13897232711315155,0.23239882290363312,0.17576678097248077,0.12894338369369507,0.27266472578048706,0.2843191921710968,0.13093146681785583
his,0.44966956973075867,0.4405253231525421,0.29201897978782654,0.23306910693645477,0.38364991545677185,0.256124347448349,0.18075084686279297
name,0.2027527540922165,0.2646567225456238,0.21557310223579407,0.08215808868408203,0.24075818061828613,0.2359459549188614,0.15381577610969543
was,0.3318818509578705,1.0000001192092896,0.3433256447315216,0.25802454352378845,0.4069072902202606,0.2842242419719696,0.18412111699581146
ahai,0.2497820109128952,0.28108781576156616,0.126225546002388,0.1616482138633728,0.24228909611701965,0.5043824911117554,0.25610217452049255
