,uchicago,claims,to,have,what,kind,of,learning,experience,compared,to,other,universities,?
undergraduate,0.2400086373090744,0.1690494567155838,0.20790506899356842,0.260342538356781,0.1996101438999176,0.06663049757480621,0.26330024003982544,0.3592211604118347,0.32192471623420715,0.17197249829769135,0.20790506899356842,0.2130931168794632,0.6255903244018555,0.1531745046377182
courses,0.1054462194442749,0.14793014526367188,0.22126372158527374,0.25468841195106506,0.16680994629859924,0.1722291111946106,0.2450425922870636,0.40239548683166504,0.3009629547595978,0.17065726220607758,0.22126372158527374,0.28682073950767517,0.47932812571525574,0.15338684618473053
at,0.16936038434505463,0.17614953219890594,0.36524343490600586,0.29004791378974915,0.2838611304759979,0.17203933000564575,0.42558613419532776,0.22934198379516602,0.22353319823741913,0.2775397002696991,0.36524343490600586,0.24329762160778046,0.21649616956710815,0.21978627145290375
the,0.23118087649345398,0.24698559939861298,0.535392165184021,0.40389683842658997,0.42745697498321533,0.2516445517539978,0.733189046382904,0.2504628002643585,0.21682339906692505,0.28685078024864197,0.535392165184021,0.44152235984802246,0.2619408071041107,0.22068053483963013
university,0.32529881596565247,0.13499829173088074,0.20192374289035797,0.1617986559867859,0.20256435871124268,0.07493893057107925,0.30646374821662903,0.29980435967445374,0.15486478805541992,0.15507730841636658,0.20192374289035797,0.1804676055908203,0.6843494176864624,0.11887256056070328
of,0.1812904179096222,0.2663089632987976,0.41548454761505127,0.3802283704280853,0.33290785551071167,0.2285657674074173,1.0,0.23709416389465332,0.228313148021698,0.3360389769077301,0.41548454761505127,0.38583824038505554,0.29948264360427856,0.1826142966747284
chicago,0.899956464767456,0.13091114163398743,0.19278118014335632,0.1939457803964615,0.1521448791027069,0.12238232046365738,0.18391016125679016,0.0982554480433464,0.14527027308940887,0.11888640373945236,0.19278118014335632,0.20384545624256134,0.2027006447315216,0.16446958482265472
are,0.09607727825641632,0.16840213537216187,0.3504326641559601,0.6577680706977844,0.29724663496017456,0.296465665102005,0.39081433415412903,0.21586549282073975,0.22956059873104095,0.3315858542919159,0.3504326641559601,0.5932393670082092,0.27859437465667725,0.24591213464736938
known,0.13677123188972473,0.1813669353723526,0.14337651431560516,0.1978331357240677,0.20381177961826324,0.21576091647148132,0.35814476013183594,0.18308068811893463,0.11597485840320587,0.23689590394496918,0.14337651431560516,0.2199651598930359,0.1983174830675125,0.18314571678638458
for,0.2114046961069107,0.19757677614688873,0.4451248347759247,0.41175219416618347,0.3017193675041199,0.28053680062294006,0.4185989499092102,0.3046240508556366,0.29364609718322754,0.2969150245189667,0.4451248347759247,0.3273986279964447,0.2253284901380539,0.264628142118454
their,0.11804531514644623,0.17844964563846588,0.44619059562683105,0.523270845413208,0.35142919421195984,0.23866921663284302,0.4329940676689148,0.247757226228714,0.3119005262851715,0.2767220735549927,0.44619059562683105,0.456295371055603,0.19459480047225952,0.1898253709077835
demanding,0.1378767490386963,0.2716807425022125,0.37412571907043457,0.2482115477323532,0.23580121994018555,0.1484464555978775,0.3026946187019348,0.2972376048564911,0.2884223163127899,0.235092893242836,0.37412571907043457,0.2130431830883026,0.14076648652553558,0.11861293762922287
standards,0.16630791127681732,0.1704322099685669,0.2603518068790436,0.3065358102321625,0.2855789363384247,0.21365386247634888,0.18525971472263336,0.19059954583644867,0.2867305874824524,0.3171459436416626,0.2603518068790436,0.3066115081310272,0.25505706667900085,0.2011813372373581
",",0.2439829707145691,0.24985520541667938,0.44245919585227966,0.3541618287563324,0.3087472915649414,0.20629581809043884,0.4946078956127167,0.22680731117725372,0.22459560632705688,0.25363782048225403,0.44245919585227966,0.4446498453617096,0.2774002254009247,0.31091248989105225
heavy,0.09043080359697342,0.04240041226148605,0.21586324274539948,0.20802654325962067,0.19175288081169128,0.23997509479522705,0.24240271747112274,0.11451397091150284,0.17364315688610077,0.29947009682655334,0.21586324274539948,0.2326958030462265,0.13848742842674255,0.16717074811458588
workload,0.1355528086423874,0.1605912744998932,0.41638579964637756,0.35191380977630615,0.4107888340950012,0.28916898369789124,0.19291165471076965,0.3064814507961273,0.47782838344573975,0.3562013804912567,0.41638579964637756,0.2794294059276581,0.18028409779071808,0.3890828788280487
and,0.1798572540283203,0.23295684158802032,0.48971283435821533,0.4711785912513733,0.31309178471565247,0.22462370991706848,0.5116966962814331,0.2687397301197052,0.24539199471473694,0.38507750630378723,0.48971283435821533,0.5504306554794312,0.3038506805896759,0.20544172823429108
academic,0.3068210184574127,0.23630836606025696,0.17588050663471222,0.1840193122625351,0.10352335125207901,0.05927358195185661,0.20802809298038483,0.24293109774589539,0.2471400946378708,0.19649875164031982,0.17588050663471222,0.17171621322631836,0.45179879665374756,0.11011603474617004
difficulty,0.12558981776237488,0.20405752956867218,0.3135955035686493,0.2980698049068451,0.3258202373981476,0.22191733121871948,0.27728772163391113,0.4464501738548279,0.421122282743454,0.3258676528930664,0.3135955035686493,0.23701722919940948,0.20733727514743805,0.1517200618982315
;,0.08923310786485672,0.1015453189611435,0.0979827418923378,0.10650043189525604,0.10986888408660889,0.024945750832557678,0.054534342139959335,0.013046180829405785,0.07638563215732574,0.0679263025522232,0.0979827418923378,0.13311924040317535,0.020469672977924347,0.10349778085947037
according,0.21248923242092133,0.28700509667396545,0.28520727157592773,0.23988237977027893,0.2776208221912384,0.15423284471035004,0.3307822346687317,0.18088789284229279,0.1731376200914383,0.3300100862979889,0.28520727157592773,0.13228808343410492,0.19579485058784485,0.21173474192619324
to,0.13246649503707886,0.27401837706565857,1.0,0.4544740617275238,0.455847829580307,0.28460726141929626,0.41548454761505127,0.2609867453575134,0.25535836815834045,0.2345995306968689,1.0,0.4193183183670044,0.2433011382818222,0.29463258385658264
uni,0.10496743023395538,0.10609709471464157,0.13315430283546448,0.1577790379524231,0.21406665444374084,0.1376117616891861,0.1680680513381958,0.1261533945798874,0.0391402505338192,0.12447329610586166,0.13315430283546448,0.16342821717262268,0.31350216269493103,0.2170056849718094
in,0.1917070746421814,0.15647023916244507,0.45010748505592346,0.36843645572662354,0.30808621644973755,0.2349269688129425,0.5696388483047485,0.2443799525499344,0.19806437194347382,0.2479310929775238,0.45010748505592346,0.39989137649536133,0.2965206503868103,0.20430970191955566
the,0.23118087649345398,0.24698559939861298,0.535392165184021,0.40389683842658997,0.42745697498321533,0.2516445517539978,0.733189046382904,0.2504628002643585,0.21682339906692505,0.28685078024864197,0.535392165184021,0.44152235984802246,0.2619408071041107,0.22068053483963013
usa,0.29503220319747925,0.17665135860443115,0.16385670006275177,0.15813879668712616,0.1744624823331833,0.09323298931121826,0.17888924479484558,0.1400703489780426,0.13453508913516998,0.0725129172205925,0.16385670006275177,0.16984446346759796,0.3284808397293091,0.18464894592761993
",",0.2439829707145691,0.24985520541667938,0.44245919585227966,0.3541618287563324,0.3087472915649414,0.20629581809043884,0.4946078956127167,0.22680731117725372,0.22459560632705688,0.25363782048225403,0.44245919585227966,0.4446498453617096,0.2774002254009247,0.31091248989105225
``,-0.06540721654891968,0.05882956460118294,0.06720756739377975,0.1022237241268158,0.008517155423760414,-0.040448643267154694,0.06780257821083069,0.015908466652035713,0.03100709430873394,-0.005339426454156637,0.06720756739377975,0.10245004296302795,0.04429135099053383,0.0685480609536171
among,0.12621870636940002,0.17635168135166168,0.26594701409339905,0.3610895574092865,0.21154822409152985,0.21022847294807434,0.3679063022136688,0.24280229210853577,0.15896348655223846,0.3937288224697113,0.26594701409339905,0.3694968819618225,0.3126596510410309,0.14343059062957764
the,0.23118087649345398,0.24698559939861298,0.535392165184021,0.40389683842658997,0.42745697498321533,0.2516445517539978,0.733189046382904,0.2504628002643585,0.21682339906692505,0.28685078024864197,0.535392165184021,0.44152235984802246,0.2619408071041107,0.22068053483963013
academic,0.3068210184574127,0.23630836606025696,0.17588050663471222,0.1840193122625351,0.10352335125207901,0.05927358195185661,0.20802809298038483,0.24293109774589539,0.2471400946378708,0.19649875164031982,0.17588050663471222,0.17171621322631836,0.45179879665374756,0.11011603474617004
cream,0.09556566178798676,0.12970390915870667,0.17283187806606293,0.25155287981033325,0.18971702456474304,0.2440403550863266,0.15461334586143494,0.0643833801150322,0.17719466984272003,0.19096305966377258,0.17283187806606293,0.24653802812099457,0.19429612159729004,0.13436415791511536
