,where,did,the,family,move,in,1862,?
in,0.5344807505607605,0.2593238651752472,0.6662389636039734,0.2165997177362442,0.23030683398246765,1.0,0.07496397942304611,0.20430970191955566
1862,0.004819567780941725,0.01475259754806757,0.043515436351299286,0.11004996299743652,-0.06976792216300964,0.07496397942304611,1.0000001192092896,0.06664664298295975
",",0.3149496018886566,0.3015086054801941,0.4933079481124878,0.22142739593982697,0.25767531991004944,0.5201468467712402,0.09580322355031967,0.31091248989105225
the,0.5003893971443176,0.34736719727516174,1.0,0.2394849956035614,0.29817628860473633,0.6662389636039734,0.043515436351299286,0.22068053483963013
tesla,0.12761090695858002,0.09757418930530548,0.1324402391910553,0.04926548898220062,0.14545100927352905,0.17097744345664978,0.10354484617710114,0.10250775516033173
family,0.20559649169445038,0.19502942264080048,0.2394849956035614,0.9999998807907104,0.142938494682312,0.2165997177362442,0.11004996299743652,0.15222905576229095
moved,0.39481642842292786,0.27509647607803345,0.32031023502349854,0.28266802430152893,0.5574866533279419,0.3323737680912018,-0.012502937577664852,0.15112607181072235
to,0.47735077142715454,0.4452643394470215,0.535392165184021,0.21285007894039154,0.37858664989471436,0.45010748505592346,-0.036618005484342575,0.29463258385658264
gospić,0.29223451018333435,0.174786776304245,0.2354886829853058,0.17207756638526917,0.10780812799930573,0.2824176847934723,0.17085100710391998,0.15864557027816772
",",0.3149496018886566,0.3015086054801941,0.4933079481124878,0.22142739593982697,0.25767531991004944,0.5201468467712402,0.09580322355031967,0.31091248989105225
austrian,0.11957130581140518,0.1650308519601822,0.23007287085056305,0.11072859168052673,0.02860989235341549,0.16418905556201935,0.09991790354251862,0.10452693700790405
empire,0.13747228682041168,0.18850058317184448,0.32532164454460144,0.15316574275493622,0.10076850652694702,0.24110576510429382,0.10411381721496582,0.14909450709819794
",",0.3149496018886566,0.3015086054801941,0.4933079481124878,0.22142739593982697,0.25767531991004944,0.5201468467712402,0.09580322355031967,0.31091248989105225
where,0.9999999403953552,0.24159270524978638,0.5003893971443176,0.20559649169445038,0.3954756259918213,0.5344807505607605,0.004819567780941725,0.24793872237205505
tesla,0.12761090695858002,0.09757418930530548,0.1324402391910553,0.04926548898220062,0.14545100927352905,0.17097744345664978,0.10354484617710114,0.10250775516033173
's,0.0007701900321990252,0.05069678649306297,-0.01540423184633255,-0.053779419511556625,0.03534839302301407,-0.037580832839012146,-0.01758434623479843,-0.023395681753754616
father,0.26822009682655334,0.3227277100086212,0.24010279774665833,0.4191097319126129,0.1036233976483345,0.25954100489616394,0.14568550884723663,0.14826634526252747
worked,0.23623773455619812,0.3377852141857147,0.22615844011306763,0.1989808827638626,0.2077954113483429,0.28707414865493774,0.07352261990308762,0.0901828184723854
as,0.35409465432167053,0.3596470057964325,0.48381632566452026,0.21415938436985016,0.2628210484981537,0.3887844979763031,0.11300235986709595,0.27043893933296204
a,0.40997210144996643,0.2552328109741211,0.5829201340675354,0.24362227320671082,0.2925316393375397,0.539380669593811,0.09593380242586136,0.23916715383529663
pastor,0.1468554437160492,0.1603202521800995,0.13653714954853058,0.2068677842617035,0.09908569604158401,0.203180730342865,0.06824888288974762,0.1683567762374878
.,0.41390106081962585,0.35288307070732117,0.5934505462646484,0.24114800989627838,0.31650546193122864,0.5591574311256409,0.1332867443561554,0.4130953550338745
