,what,were,features,of,apple,talk
appletalk,0.32407820224761963,0.11947859823703766,0.35733112692832947,0.23253272473812103,0.6662253737449646,0.5419471859931946
included,0.2288810908794403,0.42708900570869446,0.3873966932296753,0.4391688108444214,0.1952560991048813,0.12777498364448547
features,0.20126673579216003,0.2578813135623932,1.0,0.2464914619922638,0.2753393054008484,0.23384225368499756
that,0.6297725439071655,0.35517072677612305,0.32850977778434753,0.41498205065727234,0.26987913250923157,0.3631998598575592
allowed,0.2693612575531006,0.37402987480163574,0.1525447964668274,0.2699741721153259,0.11393415927886963,0.1722952276468277
local,0.18981902301311493,0.16442985832691193,0.09114636480808258,0.20668989419937134,0.06952736526727676,0.19825467467308044
area,0.21965408325195312,0.2544567286968231,0.18635927140712738,0.3409860134124756,0.13193659484386444,0.133789524435997
networks,0.18279550969600677,0.18279117345809937,0.23154303431510925,0.17763681709766388,0.2418747842311859,0.2539575397968292
to,0.455847829580307,0.31913647055625916,0.2523941099643707,0.41548454761505127,0.23797255754470825,0.30511119961738586
be,0.3929833769798279,0.4064064621925354,0.27014225721359253,0.33904364705085754,0.21605247259140015,0.41844770312309265
established,0.14869536459445953,0.19600653648376465,0.1363997757434845,0.2735237777233124,0.07245387136936188,0.14157094061374664
ad,0.27659884095191956,0.1702962964773178,0.09275874495506287,0.1761893332004547,0.15643008053302765,0.17289459705352783
hoc,0.3045658469200134,0.15360160171985626,0.1258585900068283,0.16646918654441833,0.17053145170211792,0.2932193875312805
without,0.3181614279747009,0.24341188371181488,0.1652771234512329,0.3081340193748474,0.17172956466674805,0.334697961807251
the,0.42745697498321533,0.3906462490558624,0.29863014817237854,0.733189046382904,0.19389043748378754,0.2565208673477173
requirement,0.3455283045768738,0.1592477709054947,0.2477564662694931,0.25398141145706177,0.2404489666223526,0.3991733193397522
for,0.3017193675041199,0.33592689037323,0.28744247555732727,0.4185989499092102,0.1404508501291275,0.29410800337791443
a,0.3320399522781372,0.17203083634376526,0.32008832693099976,0.5052502155303955,0.22888967394828796,0.23299653828144073
centralized,0.17607222497463226,0.2016598880290985,0.21500325202941895,0.2911173105239868,0.1354057937860489,0.16835224628448486
router,0.29057812690734863,0.1801198571920395,0.23073415458202362,0.19503377377986908,0.2546156644821167,0.3181091845035553
or,0.33867141604423523,0.3389680087566376,0.25640976428985596,0.3792596757411957,0.19791929423809052,0.34484586119651794
server,0.2128589004278183,0.10611555725336075,0.23400084674358368,0.19281521439552307,0.3463883101940155,0.34057003259658813
.,0.3567904531955719,0.3378238379955292,0.23473742604255676,0.5352458953857422,0.2622234523296356,0.2742018699645996
