,what,kind,of,engines,did,the,biplane,design,have,?
:251,-0.10770959407091141,-0.10674233734607697,-0.04106650501489639,-0.05668121203780174,0.07908667623996735,0.011076453141868114,0.011018979363143444,-0.051330797374248505,-0.09744949638843536,-0.07735683023929596
although,0.24844598770141602,0.19233006238937378,0.3024747669696808,0.20839811861515045,0.29252153635025024,0.3265823423862457,0.1314682513475418,0.1548384577035904,0.4518011808395386,0.15541206300258636
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.2245008647441864,0.34736719727516174,1.0,0.22968971729278564,0.27913451194763184,0.40389683842658997,0.22068053483963013
aircraft,0.16903388500213623,0.17377687990665436,0.20974087715148926,0.4601839482784271,0.12570714950561523,0.24209992587566376,0.6599565148353577,0.28268173336982727,0.20546063780784607,0.14893899857997894
was,0.22111038863658905,0.1604125201702118,0.4069072902202606,0.18948708474636078,0.41399896144866943,0.48711544275283813,0.26119139790534973,0.2780803442001343,0.2863433063030243,0.18412111699581146
probably,0.476871132850647,0.2939537465572357,0.29024845361709595,0.16056248545646667,0.29997241497039795,0.3722526729106903,0.21816104650497437,0.16486303508281708,0.44166892766952515,0.3524723947048187
impractical,0.3418455123901367,0.3038266897201538,0.29086145758628845,0.3451717495918274,0.2593095898628235,0.22695830464363098,0.2536657154560089,0.378753662109375,0.33207711577415466,0.2397736757993698
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.20245449244976044,0.3015086054801941,0.4933079481124878,0.20678888261318207,0.19350415468215942,0.3541618287563324,0.31091248989105225
it,0.45803478360176086,0.2979188859462738,0.38761502504348755,0.2587372362613678,0.2993364930152893,0.6251175999641418,0.2138281762599945,0.27284783124923706,0.40974161028862,0.25732165575027466
may,0.25739946961402893,0.21648596227169037,0.26447007060050964,0.17475712299346924,0.3038632869720459,0.2694292366504669,0.12510989606380463,0.15666541457176208,0.35194188356399536,0.2768254578113556
be,0.3929833769798279,0.33508673310279846,0.33904364705085754,0.21797771751880646,0.22657383978366852,0.4248143136501312,0.17192161083221436,0.2264687865972519,0.5760743618011475,0.3324260413646698
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.2245008647441864,0.34736719727516174,1.0,0.22968971729278564,0.27913451194763184,0.40389683842658997,0.22068053483963013
earliest,0.23163363337516785,0.2799637019634247,0.33267632126808167,0.10200553387403488,0.23505623638629913,0.32825469970703125,0.18086126446723938,0.1367359608411789,0.3157048523426056,0.139415442943573
known,0.20381177961826324,0.21576091647148132,0.35814476013183594,0.11931460350751877,0.25943970680236816,0.3624623417854309,0.15461458265781403,0.14586901664733887,0.1978331357240677,0.18314571678638458
