,what,is,the,exam,at,the,end,of,form,four,?
for,0.3017193675041199,0.43268078565597534,0.4739971458911896,0.23989133536815643,0.34237727522850037,0.4739971458911896,0.22042374312877655,0.4185989499092102,0.2342945635318756,0.27783235907554626,0.264628142118454
those,0.44466671347618103,0.2352088838815689,0.42861196398735046,0.14559116959571838,0.2508816719055176,0.42861196398735046,0.2556135654449463,0.37935635447502136,0.24985332787036896,0.3129899799823761,0.3328189253807068
who,0.40942975878715515,0.24293622374534607,0.3733934462070465,0.15750150382518768,0.22096660733222961,0.3733934462070465,0.15423893928527832,0.2827862501144409,0.137381911277771,0.1980169266462326,0.26220351457595825
proceed,0.3778398036956787,0.14211618900299072,0.2329144924879074,0.22511613368988037,0.2377627193927765,0.2329144924879074,0.21548573672771454,0.1699274331331253,0.2047986388206482,0.11745977401733398,0.22601620852947235
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.21157129108905792,0.36524343490600586,0.535392165184021,0.3229445815086365,0.41548454761505127,0.2772196829319,0.2803118824958801,0.29463258385658264
secondary,0.20388361811637878,0.19772830605506897,0.21037471294403076,0.2652595639228821,0.1936700940132141,0.21037471294403076,0.11179459095001221,0.219074085354805,0.23172397911548615,0.16819080710411072,0.18118004500865936
level,0.27376922965049744,0.24803997576236725,0.31442487239837646,0.26795241236686707,0.24496568739414215,0.31442487239837646,0.17226029932498932,0.23504668474197388,0.21767279505729675,0.17634573578834534,0.20528386533260345
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.14151796698570251,0.38314947485923767,0.4933079481124878,0.25448864698410034,0.4946078956127167,0.21805599331855774,0.31238991022109985,0.31091248989105225
there,0.35085538029670715,0.3904260993003845,0.47025805711746216,0.1910034865140915,0.37649083137512207,0.47025805711746216,0.23149719834327698,0.44397735595703125,0.23102781176567078,0.29540538787841797,0.29405656456947327
is,0.28837618231773376,1.0,0.5823672413825989,0.17997603118419647,0.25906258821487427,0.5823672413825989,0.2179071456193924,0.4854315221309662,0.3218395411968231,0.22331103682518005,0.22961433231830597
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.22628386318683624,0.3095070421695709,0.5829201340675354,0.28924596309661865,0.5052502155303955,0.3088195323944092,0.28236961364746094,0.23916715383529663
national,0.16882304847240448,0.23413582146167755,0.32739606499671936,0.1833668053150177,0.25194111466407776,0.32739606499671936,0.13447321951389313,0.3314673602581024,0.130512997508049,0.1920531690120697,0.15643028914928436
examination,0.28287991881370544,0.21501708030700684,0.2676820158958435,0.6474682092666626,0.24701516330242157,0.2676820158958435,0.2138337641954422,0.2727855145931244,0.245958611369133,0.12481468170881271,0.18956318497657776
at,0.2838611304759979,0.25906258821487427,0.457212895154953,0.220364511013031,1.0,0.457212895154953,0.3223728835582733,0.42558613419532776,0.10255546867847443,0.24268823862075806,0.21978627145290375
the,0.42745697498321533,0.5823672413825989,1.0,0.15408869087696075,0.457212895154953,1.0,0.39658910036087036,0.733189046382904,0.29286009073257446,0.40344667434692383,0.22068053483963013
end,0.29234179854393005,0.2179071456193924,0.39658910036087036,0.19175121188163757,0.3223728835582733,0.39658910036087036,1.0,0.2215006798505783,0.19813299179077148,0.2068537473678589,0.12543344497680664
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.12876290082931519,0.42558613419532776,0.733189046382904,0.2215006798505783,1.0,0.29600051045417786,0.36293646693229675,0.1826142966747284
form,0.15868011116981506,0.3218395411968231,0.29286009073257446,0.18606697022914886,0.10255546867847443,0.29286009073257446,0.19813299179077148,0.29600051045417786,0.9999999403953552,0.19950519502162933,0.1463010311126709
