,what,is,more,often,seen,in,root,tip,maristems,?
chloroplasts,0.2524593770503998,0.22550933063030243,0.244172602891922,0.29698729515075684,0.18544939160346985,0.21141497790813446,0.2232891470193863,0.17508465051651,0.40740448236465454,0.13049766421318054
do,0.4609605669975281,0.30895981192588806,0.3514035940170288,0.30438441038131714,0.2340354472398758,0.23402775824069977,0.17487506568431854,0.145539328455925,0.3372213542461395,0.4093979299068451
not,0.5449194312095642,0.3776007890701294,0.4605548083782196,0.42630264163017273,0.32236090302467346,0.3403114080429077,0.2040645331144333,0.1503647416830063,0.26626303791999817,0.41942933201789856
normally,0.30112072825431824,0.39886221289634705,0.36556509137153625,0.6125890612602234,0.27767714858055115,0.27602890133857727,0.1775377243757248,0.19564101099967957,0.24811062216758728,0.20675471425056458
develop,0.20962175726890564,0.1934473067522049,0.2813284397125244,0.29636266827583313,0.1946486085653305,0.22882415354251862,0.18712103366851807,0.11623791605234146,0.31963691115379333,0.15784582495689392
from,0.2737620174884796,0.27355384826660156,0.2529715299606323,0.2687282860279083,0.24460692703723907,0.4274188280105591,0.22268055379390717,0.2144087851047516,0.2595966160297394,0.19969791173934937
proplastids,0.25782695412635803,0.23787330090999603,0.31071946024894714,0.335683137178421,0.1943509727716446,0.21909134089946747,0.2728124260902405,0.19185665249824524,0.42425885796546936,0.20560644567012787
in,0.30808621644973755,0.5394441485404968,0.32563260197639465,0.3380797803401947,0.28402701020240784,1.0,0.13749954104423523,0.21785220503807068,0.2628895044326782,0.20430970191955566
root,0.1299125850200653,0.19921329617500305,0.15372613072395325,0.1787368804216385,0.10484711080789566,0.13749954104423523,0.9999999403953552,0.2050238847732544,0.32542556524276733,0.14390654861927032
tip,0.19696256518363953,0.2717285752296448,0.17072032392024994,0.16557446122169495,0.12946636974811554,0.21785220503807068,0.2050238847732544,0.9999999403953552,0.12854605913162231,0.09167163819074631
meristems—instead,0.30420923233032227,0.3155752122402191,0.3001740872859955,0.34585607051849365,0.20599693059921265,0.31345808506011963,0.32367777824401855,0.2928812503814697,0.6970106363296509,0.19712302088737488
",",0.3087472915649414,0.4691906273365021,0.3696524500846863,0.24139221012592316,0.28642043471336365,0.5201468467712402,0.21637433767318726,0.24099639058113098,0.3329714238643646,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,0.39758381247520447,0.38004449009895325,0.3442007005214691,0.6662389636039734,0.16797003149986267,0.2539115250110626,0.26783114671707153,0.22068053483963013
formation,0.16291823983192444,0.25176525115966797,0.2394760251045227,0.18749527633190155,0.23067724704742432,0.27297577261924744,0.16094982624053955,0.16992266476154327,0.29604142904281616,0.09831923991441727
of,0.33290785551071167,0.4854315221309662,0.30478984117507935,0.3351972997188568,0.28639769554138184,0.5696388483047485,0.15549561381340027,0.1960923969745636,0.30362147092819214,0.1826142966747284
starch-storing,0.37108486890792847,0.2509123384952545,0.4154951572418213,0.3810229003429413,0.2688888609409332,0.3163064420223236,0.2981514036655426,0.16392529010772705,0.39105677604675293,0.23578763008117676
amyloplasts,0.24341359734535217,0.28218114376068115,0.27834612131118774,0.36987271904945374,0.23899942636489868,0.2544856369495392,0.2741408348083496,0.26598718762397766,0.44231563806533813,0.19426067173480988
is,0.28837618231773376,1.0,0.2946030795574188,0.3856629431247711,0.2670730948448181,0.5394441485404968,0.19921329617500305,0.2717285752296448,0.21741892397403717,0.22961433231830597
more,0.3484537899494171,0.2946030795574188,1.0,0.406600683927536,0.32110223174095154,0.32563260197639465,0.15372613072395325,0.17072032392024994,0.2397548258304596,0.27894994616508484
common,0.19989867508411407,0.2952355444431305,0.25056302547454834,0.4435911774635315,0.24664051830768585,0.23149342834949493,0.2181863933801651,0.11336939036846161,0.2419349104166031,0.20434872806072235
.,0.3567904531955719,0.4569662809371948,0.4070230722427368,0.30710849165916443,0.30320122838020325,0.5591574311256409,0.2173004299402237,0.23113000392913818,0.2778674066066742,0.4130953550338745
