,how,many,africans,were,brought,into,the,united,states,during,the,slave,trade,?
participation,0.2227814495563507,0.24508048593997955,0.2066495716571808,0.21376238763332367,0.2313743382692337,0.06889677792787552,0.283233642578125,0.2336624711751938,0.23698365688323975,0.3321627974510193,0.283233642578125,0.23974795639514923,0.2520368993282318,0.22573938965797424
in,0.2601168751716614,0.41474202275276184,0.2187054604291916,0.3815755248069763,0.25879573822021484,0.38021373748779297,0.6662389636039734,0.3938477039337158,0.3977442979812622,0.4627237319946289,0.6662389636039734,0.17601537704467773,0.23862801492214203,0.20430970191955566
the,0.33890387415885925,0.4335206151008606,0.2805749773979187,0.3906462490558624,0.32700833678245544,0.39493247866630554,1.0,0.34367692470550537,0.3463578522205353,0.4838213622570038,1.0,0.2051265835762024,0.2681608200073242,0.22068053483963013
african,0.12331631779670715,0.22003071010112762,0.763516366481781,0.25892242789268494,0.2150251269340515,0.19277147948741913,0.23305515944957733,0.2503039836883545,0.24309761822223663,0.1798548847436905,0.23305515944957733,0.34493547677993774,0.2364310771226883,0.11862778663635254
slave,0.18891485035419464,0.14885440468788147,0.4094265103340149,0.21443374454975128,0.253451943397522,0.20170003175735474,0.2051265835762024,0.2201843410730362,0.27203860878944397,0.18471170961856842,0.2051265835762024,0.9999999403953552,0.40878790616989136,0.14728201925754547
trade,0.22247354686260223,0.24238920211791992,0.29971590638160706,0.20628148317337036,0.22880448400974274,0.14436393976211548,0.2681608200073242,0.2212645262479782,0.23284931480884552,0.23607392609119415,0.2681608200073242,0.40878790616989136,0.9999999403953552,0.09336511790752411
and,0.33647966384887695,0.5296266674995422,0.23954731225967407,0.42175528407096863,0.3560350239276886,0.36597734689712524,0.5171257257461548,0.28213179111480713,0.2974761426448822,0.36462149024009705,0.5171257257461548,0.2307322919368744,0.2510223686695099,0.20544172823429108
the,0.33890387415885925,0.4335206151008606,0.2805749773979187,0.3906462490558624,0.32700833678245544,0.39493247866630554,1.0,0.34367692470550537,0.3463578522205353,0.4838213622570038,1.0,0.2051265835762024,0.2681608200073242,0.22068053483963013
subsequent,0.2477182298898697,0.1944819688796997,0.13194961845874786,0.18446600437164307,0.1913420408964157,0.18952637910842896,0.2562725245952606,0.2108498364686966,0.1779146045446396,0.2353878617286682,0.2562725245952606,0.05063934251666069,0.14284032583236694,0.13111010193824768
treatment,0.26799899339675903,0.24864692986011505,0.2663695812225342,0.17154142260551453,0.169304758310318,0.11277072876691818,0.2350214421749115,0.159414142370224,0.15439638495445251,0.18917270004749298,0.2350214421749115,0.17346543073654175,0.1733766794204712,0.20314443111419678
