,what,position,did,luther,have,in,wittenberg,?
on,0.34226128458976746,0.22749492526054382,0.2670976221561432,0.19090485572814941,0.36494916677474976,0.46853652596473694,0.19844768941402435,0.2714994251728058
19,0.014984339475631714,0.005670631304383278,-0.056934259831905365,-0.005236808676272631,-0.03825859725475311,-0.1978580802679062,-0.0699567124247551,0.008002291433513165
october,0.24927909672260284,0.18141251802444458,0.2746104896068573,0.1806728094816208,0.1443907469511032,0.27560389041900635,0.16249266266822815,0.29706719517707825
1512,0.2471795529127121,0.20229391753673553,0.15409989655017853,0.0697980523109436,0.31892839074134827,0.3976302444934845,0.22378869354724884,0.1460285484790802
",",0.3087472915649414,0.1771278828382492,0.3015086054801941,0.23255878686904907,0.3541618287563324,0.5201468467712402,0.23876431584358215,0.31091248989105225
he,0.3114890456199646,0.3134360909461975,0.3292143940925598,0.2454872578382492,0.3020331561565399,0.41690486669540405,0.21938884258270264,0.2089974731206894
was,0.22111038863658905,0.23203803598880768,0.41399896144866943,0.19185513257980347,0.2863433063030243,0.45514053106307983,0.23245899379253387,0.18412111699581146
awarded,0.0973663404583931,0.18171502649784088,0.20935551822185516,0.1545739322900772,0.13529162108898163,0.25735601782798767,0.10367540270090103,0.1431703418493271
his,0.26976513862609863,0.2973788380622864,0.3546801507472992,0.27093374729156494,0.25689181685447693,0.3598145842552185,0.28627532720565796,0.18075084686279297
doctor,0.20870667695999146,0.09907162189483643,0.18673314154148102,0.22596125304698944,0.17649078369140625,0.25567495822906494,0.18442080914974213,0.1462511420249939
of,0.33290785551071167,0.23636478185653687,0.2513895630836487,0.1719115972518921,0.3802283704280853,0.5696388483047485,0.296735942363739,0.1826142966747284
theology,0.322174996137619,0.2126752734184265,0.13569064438343048,0.3810495138168335,0.15398378670215607,0.23190923035144806,0.2539619207382202,0.1560962051153183
and,0.31309178471565247,0.22603030502796173,0.34479495882987976,0.20796556770801544,0.4711785912513733,0.4954058527946472,0.2583361864089966,0.20544172823429108
",",0.3087472915649414,0.1771278828382492,0.3015086054801941,0.23255878686904907,0.3541618287563324,0.5201468467712402,0.23876431584358215,0.31091248989105225
on,0.34226128458976746,0.22749492526054382,0.2670976221561432,0.19090485572814941,0.36494916677474976,0.46853652596473694,0.19844768941402435,0.2714994251728058
21,-0.09070611000061035,0.005932808853685856,-0.051883723586797714,0.017629003152251244,-0.1283091902732849,0.09147433191537857,0.12759895622730255,-0.01186173316091299
october,0.24927909672260284,0.18141251802444458,0.2746104896068573,0.1806728094816208,0.1443907469511032,0.27560389041900635,0.16249266266822815,0.29706719517707825
1512,0.2471795529127121,0.20229391753673553,0.15409989655017853,0.0697980523109436,0.31892839074134827,0.3976302444934845,0.22378869354724884,0.1460285484790802
",",0.3087472915649414,0.1771278828382492,0.3015086054801941,0.23255878686904907,0.3541618287563324,0.5201468467712402,0.23876431584358215,0.31091248989105225
was,0.22111038863658905,0.23203803598880768,0.41399896144866943,0.19185513257980347,0.2863433063030243,0.45514053106307983,0.23245899379253387,0.18412111699581146
