,where,is,the,neighborhood,of,sunnyside,located,in,fresno,?
the,0.5003893971443176,0.5823672413825989,1.0,0.20152483880519867,0.733189046382904,0.29481041431427,0.407527357339859,0.6662389636039734,0.22571885585784912,0.22068053483963013
neighborhood,0.22799251973628998,0.20414865016937256,0.20152483880519867,1.0000001192092896,0.15683332085609436,0.442058265209198,0.2861720621585846,0.20924240350723267,0.3306880593299866,0.048473283648490906
of,0.38066378235816956,0.4854315221309662,0.733189046382904,0.15683332085609436,1.0,0.22733090817928314,0.32520920038223267,0.5696388483047485,0.1875009983778,0.1826142966747284
sunnyside,0.29747274518013,0.2392246574163437,0.29481041431427,0.442058265209198,0.22733090817928314,1.0,0.25359973311424255,0.3453778624534607,0.3918103575706482,0.1275515854358673
is,0.3586711287498474,1.0,0.5823672413825989,0.20414865016937256,0.4854315221309662,0.2392246574163437,0.35717159509658813,0.5394441485404968,0.2127077877521515,0.22961433231830597
on,0.37630224227905273,0.3635730445384979,0.5107308030128479,0.24290773272514343,0.3966929316520691,0.29126814007759094,0.22447186708450317,0.46853652596473694,0.25826847553253174,0.2714994251728058
fresno,0.24837370216846466,0.2127077877521515,0.22571885585784912,0.3306880593299866,0.1875009983778,0.3918103575706482,0.2243264764547348,0.26126348972320557,1.0000001192092896,0.13224096596240997
's,0.0007701900321990252,0.02396530658006668,-0.01540423184633255,-0.08846356719732285,-0.03817026689648628,0.006494003348052502,-0.031078986823558807,-0.037580832839012146,0.032067470252513885,-0.023395681753754616
far,0.3542677164077759,0.30568554997444153,0.38564538955688477,0.1947508156299591,0.3005201518535614,0.19892701506614685,0.20421364903450012,0.2599720060825348,0.10529384016990662,0.2170870453119278
southeast,0.2592759430408478,0.26845720410346985,0.32264992594718933,0.28653982281684875,0.3134217858314514,0.2735709249973297,0.41837987303733826,0.332625150680542,0.23266476392745972,0.1004139706492424
side,0.28958743810653687,0.27624061703681946,0.37146830558776855,0.17404897511005402,0.2452700436115265,0.336050420999527,0.27094948291778564,0.2626299262046814,0.2175837755203247,0.07831130921840668
",",0.3149496018886566,0.4691906273365021,0.4933079481124878,0.21194669604301453,0.4946078956127167,0.31080201268196106,0.2678719460964203,0.5201468467712402,0.2561432421207428,0.31091248989105225
bounded,0.20452451705932617,0.29809078574180603,0.33684098720550537,0.24340808391571045,0.28187957406044006,0.26133090257644653,0.455771803855896,0.305585652589798,0.20605245232582092,0.029345547780394554
by,0.2641284465789795,0.3899846076965332,0.4408751428127289,0.1357046365737915,0.3646814823150635,0.2190549671649933,0.18208515644073486,0.370934396982193,0.12580959498882294,0.17966607213020325
chestnut,0.19760647416114807,0.2529224157333374,0.28535884618759155,0.2614942491054535,0.25122320652008057,0.3520548939704895,0.18648746609687805,0.28192922472953796,0.27438822388648987,0.10885833203792572
avenue,0.17533548176288605,0.13601207733154297,0.22167983651161194,0.4013390839099884,0.18280929327011108,0.3916132152080536,0.33756324648857117,0.19928301870822906,0.2736667990684509,0.06327427178621292
to,0.47735077142715454,0.42745086550712585,0.535392165184021,0.20300643146038055,0.41548454761505127,0.244585320353508,0.20850814878940582,0.45010748505592346,0.22500741481781006,0.29463258385658264
the,0.5003893971443176,0.5823672413825989,1.0,0.20152483880519867,0.733189046382904,0.29481041431427,0.407527357339859,0.6662389636039734,0.22571885585784912,0.22068053483963013
west,0.22786299884319305,0.25201764702796936,0.32918402552604675,0.2434648722410202,0.2891985774040222,0.3103094696998596,0.3266756236553192,0.34078434109687805,0.2787109911441803,0.12088293582201004
.,0.41390106081962585,0.4569662809371948,0.5934505462646484,0.15837088227272034,0.5352458953857422,0.31776362657546997,0.28226932883262634,0.5591574311256409,0.2480216920375824,0.4130953550338745
