,what,is,the,record,number,of,touchdowns,cam,newton,has,had,?
pro,0.18814358115196228,0.11078593879938126,0.2149612456560135,0.1480313539505005,0.1372826099395752,0.2189338058233261,0.199878990650177,0.11789428442716599,0.10714779049158096,0.14542636275291443,0.14190727472305298,0.17645101249217987
bowl,0.15942467749118805,0.14233897626399994,0.21576224267482758,0.24389338493347168,0.14966735243797302,0.2243070751428604,0.432915598154068,0.147389754652977,0.1892489492893219,0.17163237929344177,0.1661457121372223,0.21118052303791046
quarterback,0.15767325460910797,0.19901543855667114,0.23757418990135193,0.2873646914958954,0.1458124965429306,0.19996441900730133,0.6703263521194458,0.25592461228370667,0.29465755820274353,0.1908290684223175,0.18042391538619995,0.13221268355846405
cam,0.15654346346855164,0.20740602910518646,0.18275147676467896,0.1559402346611023,0.0767076313495636,0.18242581188678741,0.2751055061817169,1.0000001192092896,0.32548287510871887,0.14778214693069458,0.04911038279533386,0.1622646003961563
newton,0.20841743052005768,0.21921560168266296,0.1876603662967682,0.2076674848794937,0.1838543862104416,0.18479612469673157,0.31141117215156555,0.32548287510871887,1.0000001192092896,0.15730179846286774,0.17341329157352448,0.09645649790763855
had,0.23849567770957947,0.2932159900665283,0.3875846862792969,0.24777771532535553,0.2758786678314209,0.37755560874938965,0.26631444692611694,0.04911038279533386,0.17341329157352448,0.5787927508354187,0.9999999403953552,0.20728366076946259
one,0.376489520072937,0.4544198513031006,0.5514441132545471,0.26469558477401733,0.4248921275138855,0.4999135136604309,0.2601357400417328,0.19543564319610596,0.20534484088420868,0.43032392859458923,0.3595404326915741,0.2673267424106598
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.19289259612560272,0.2778518795967102,1.0,0.18799830973148346,0.18242581188678741,0.18479612469673157,0.3909035325050354,0.37755560874938965,0.1826142966747284
his,0.26976513862609863,0.24372583627700806,0.4394008219242096,0.2037821263074875,0.1706494837999344,0.38364991545677185,0.3102671802043915,0.17229199409484863,0.2519145607948303,0.2611220180988312,0.4401516616344452,0.18075084686279297
best,0.3036847710609436,0.30476391315460205,0.3134109377861023,0.22408068180084229,0.19006338715553284,0.23660683631896973,0.2284936010837555,0.12398269772529602,0.20502272248268127,0.23016110062599182,0.19722113013267517,0.2799045741558075
seasons,0.13544028997421265,0.18750202655792236,0.24226845800876617,0.2336462438106537,0.1472112387418747,0.20746608078479767,0.39493125677108765,0.15167202055454254,0.10007040947675705,0.24196624755859375,0.21678753197193146,0.13766995072364807
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.28093910217285156,0.2535701394081116,0.4946078956127167,0.23933975398540497,0.22727563977241516,0.2648763358592987,0.3734780251979828,0.35487717390060425,0.31091248989105225
throwing,0.19878846406936646,0.18297499418258667,0.2748998701572418,0.21199770271778107,0.15018165111541748,0.25472119450569153,0.4151746332645416,0.1537315845489502,0.1744842380285263,0.17970934510231018,0.21786606311798096,0.15241092443466187
for,0.3017193675041199,0.43268078565597534,0.4739971458911896,0.24185582995414734,0.2861633002758026,0.4185989499092102,0.2948407232761383,0.22685806453227997,0.18168501555919647,0.450642853975296,0.3270139992237091,0.264628142118454
"3,837",-0.0031408751383423805,0.15312577784061432,0.14094862341880798,-0.008021612651646137,0.04730236530303955,0.17783886194229126,-0.03826041519641876,-0.01648758351802826,0.021701980382204056,0.09372971951961517,-0.004532295744866133,-0.03566814586520195
yards,0.1304803043603897,0.08262171596288681,0.16070343554019928,0.358747661113739,0.17475110292434692,0.14466260373592377,0.7052563428878784,0.18628010153770447,0.29241275787353516,0.15066292881965637,0.19894513487815857,0.12453813850879669
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.23470573127269745,0.28545793890953064,0.5116966962814331,0.2571038007736206,0.18925651907920837,0.22255054116249084,0.43716782331466675,0.3872550129890442,0.20544172823429108
rushing,0.2485717386007309,0.13805745542049408,0.2992783486843109,0.31743288040161133,0.20874939858913422,0.2425251007080078,0.5714829564094543,0.16275349259376526,0.304086834192276,0.18285445868968964,0.2740771472454071,0.14363552629947662
for,0.3017193675041199,0.43268078565597534,0.4739971458911896,0.24185582995414734,0.2861633002758026,0.4185989499092102,0.2948407232761383,0.22685806453227997,0.18168501555919647,0.450642853975296,0.3270139992237091,0.264628142118454
636,0.0643048882484436,0.16576312482357025,0.0817032977938652,-0.005967996083199978,0.051831409335136414,0.15712870657444,0.060100194066762924,0.134308859705925,0.14664290845394135,0.10477811098098755,0.02806721441447735,-0.036500390619039536
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.28093910217285156,0.2535701394081116,0.4946078956127167,0.23933975398540497,0.22727563977241516,0.2648763358592987,0.3734780251979828,0.35487717390060425,0.31091248989105225
while,0.35511791706085205,0.2713196575641632,0.39804592728614807,0.19198688864707947,0.23913393914699554,0.3366928696632385,0.20673201978206635,0.16950686275959015,0.1801067441701889,0.2546449601650238,0.3406333029270172,0.21076419949531555
recording,0.19233113527297974,0.2168344259262085,0.2685704827308655,0.5858155488967896,0.1833372265100479,0.20561589300632477,0.24641837179660797,0.16101670265197754,0.22601540386676788,0.15828227996826172,0.2556086480617523,0.18037092685699463
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.2588478624820709,0.2992287278175354,0.5052502155303955,0.2318989634513855,0.18400311470031738,0.1884482353925705,0.4670248031616211,0.34897568821907043,0.23916715383529663
career-high,0.19118095934391022,0.17044192552566528,0.26239198446273804,0.3383779525756836,0.21915295720100403,0.26349684596061707,0.4695356786251068,0.22989864647388458,0.19111330807209015,0.2728481590747833,0.3357277512550354,0.18277767300605774
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.23470573127269745,0.28545793890953064,0.5116966962814331,0.2571038007736206,0.18925651907920837,0.22255054116249084,0.43716782331466675,0.3872550129890442,0.20544172823429108
league-leading,0.3197444975376129,0.24579744040966034,0.41902515292167664,0.3177465498447418,0.3167388141155243,0.330365926027298,0.46918925642967224,0.18126541376113892,0.21760407090187073,0.2105613797903061,0.24816131591796875,0.2778867185115814
45,-0.030887525528669357,0.050226982682943344,-0.020405476912856102,0.04716716334223747,0.07836852222681046,-0.021060984581708908,0.01909680664539337,-0.032620999962091446,0.026041382923722267,0.05541909486055374,0.00019768734637182206,-0.01282194908708334
total,0.19850242137908936,0.18159881234169006,0.27068960666656494,0.19534417986869812,0.42508429288864136,0.29045331478118896,0.27890458703041077,0.14158141613006592,0.1840561330318451,0.30411720275878906,0.24812166392803192,0.14396025240421295
touchdowns,0.15067923069000244,0.15060579776763916,0.20508192479610443,0.36858299374580383,0.18583744764328003,0.18799830973148346,1.0000001192092896,0.2751055061817169,0.31141117215156555,0.23983153700828552,0.26631444692611694,0.1509619653224945
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.19420307874679565,0.16158060729503632,0.35032153129577637,0.18674080073833466,0.20606055855751038,0.17499087750911713,0.2498389035463333,0.16223937273025513,0.40561532974243164
35,-0.016979239881038666,-0.033989109098911285,-0.04927394539117813,-0.02604103274643421,0.02939586527645588,-0.05862995982170105,-0.07583171874284744,-0.10767394304275513,-0.08320112526416779,-0.0899919867515564,-0.049557529389858246,-0.044106997549533844
passing,0.2581939399242401,0.20053766667842865,0.3088957965373993,0.19628813862800598,0.16957001388072968,0.24086934328079224,0.47026413679122925,0.20097744464874268,0.23282510042190552,0.21289178729057312,0.18971046805381775,0.10353918373584747
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.28093910217285156,0.2535701394081116,0.4946078956127167,0.23933975398540497,0.22727563977241516,0.2648763358592987,0.3734780251979828,0.35487717390060425,0.31091248989105225
10,0.11840458959341049,0.1865890771150589,0.2880653440952301,0.009254059754312038,0.067176453769207,0.2777891755104065,-0.00992126390337944,0.03086147829890251,0.03830950707197189,0.1565546989440918,0.1529655158519745,0.022911956533789635
