,what,month,and,day,did,kennedy,message,his,vice,president,about,the,status,of,the,program,?
on,0.34226128458976746,0.32571008801460266,0.4077630043029785,0.3332281708717346,0.2670976221561432,0.18709918856620789,0.19239498674869537,0.32064297795295715,0.15171869099140167,0.18996542692184448,0.322975218296051,0.5107308030128479,0.17517144978046417,0.3966929316520691,0.5107308030128479,0.23327119648456573,0.2714994251728058
april,0.21502700448036194,0.2877102494239807,0.26820316910743713,0.2678079307079315,0.2925565242767334,0.23094600439071655,0.15448230504989624,0.289797842502594,0.18517519533634186,0.2585585117340088,0.15638461709022522,0.23232673108577728,0.10405988246202469,0.18706536293029785,0.23232673108577728,0.16503140330314636,0.25704094767570496
20,-0.036424171179533005,0.023450465872883797,0.04124240204691887,-0.06966983526945114,-0.11960799992084503,0.04634374752640724,0.052242591977119446,-0.03534999489784241,0.07102710753679276,-0.001868215505965054,0.002091008936986327,-0.06418957561254501,-0.011943086981773376,-0.0318976491689682,-0.06418957561254501,0.022968007251620293,0.11360422521829605
",",0.3087472915649414,0.24291303753852844,0.6633074283599854,0.30821847915649414,0.3015086054801941,0.3363509774208069,0.21312302350997925,0.3378419280052185,0.2756725251674652,0.26552814245224,0.3877100944519043,0.4933079481124878,0.2404196411371231,0.4946078956127167,0.4933079481124878,0.17760658264160156,0.31091248989105225
kennedy,0.2125646471977234,0.19438229501247406,0.22218705713748932,0.2081570327281952,0.18083488941192627,1.0,0.24126982688903809,0.3033418655395508,0.18926724791526794,0.2599526643753052,0.12118501216173172,0.20303435623645782,0.12694555521011353,0.1657739132642746,0.20303435623645782,0.20489704608917236,0.21965277194976807
sent,0.19595611095428467,0.2134227454662323,0.32548439502716064,0.1827102154493332,0.3411059081554413,0.17533190548419952,0.35120275616645813,0.2945024371147156,0.18608349561691284,0.19865024089813232,0.20819371938705444,0.3010627329349518,0.10779183357954025,0.28923630714416504,0.3010627329349518,0.19933277368545532,0.10903520882129669
a,0.3320399522781372,0.2331215739250183,0.3739250600337982,0.18630309402942657,0.2552328109741211,0.16651007533073425,0.25086510181427,0.3497250974178314,0.13536539673805237,0.16959697008132935,0.34171196818351746,0.5829201340675354,0.28739041090011597,0.5052502155303955,0.5829201340675354,0.2779408395290375,0.23916715383529663
memo,0.2131940871477127,0.1360848844051361,0.14934587478637695,0.17179177701473236,0.15224796533584595,0.09458357095718384,0.291482150554657,0.1924850344657898,0.1833028942346573,0.21918971836566925,0.13466790318489075,0.1409209817647934,0.12385837733745575,0.11269433796405792,0.1409209817647934,0.2386322319507599,0.21357616782188416
to,0.455847829580307,0.24505755305290222,0.48971283435821533,0.21753256022930145,0.4452643394470215,0.2569362223148346,0.31292784214019775,0.3715193271636963,0.2266794741153717,0.21247753500938416,0.391953706741333,0.535392165184021,0.268886923789978,0.41548454761505127,0.535392165184021,0.23681028187274933,0.29463258385658264
vice,0.13314306735992432,0.18054163455963135,0.24808862805366516,0.15509825944900513,0.15456269681453705,0.18926724791526794,0.1728944331407547,0.2067609578371048,0.9999999403953552,0.7407976388931274,0.10879744589328766,0.2412198781967163,0.1089821308851242,0.21141734719276428,0.2412198781967163,0.15440276265144348,0.1369185745716095
president,0.1870913952589035,0.19111086428165436,0.23286236822605133,0.24884435534477234,0.1801012009382248,0.2599526643753052,0.1873561292886734,0.25683027505874634,0.7407976388931274,1.0000001192092896,0.12657727301120758,0.24330610036849976,0.11189432442188263,0.21610750257968903,0.24330610036849976,0.20304667949676514,0.14148259162902832
lyndon,0.16950061917304993,0.1765652745962143,0.2218979299068451,0.1851089745759964,0.2362564653158188,0.4317922592163086,0.19784186780452728,0.2636362314224243,0.39000675082206726,0.5108312964439392,0.17217950522899628,0.23384392261505127,0.10635462403297424,0.21844933927059174,0.23384392261505127,0.272895485162735,0.20257863402366638
b.,-0.08520887047052383,0.04718616604804993,-0.07499837130308151,0.09902099519968033,0.05412197485566139,0.06558580696582794,-0.06508798152208328,0.0006037407438270748,-0.04246557131409645,-0.08066215366125107,-0.13948503136634827,-0.008502916432917118,-0.0442630834877491,-0.0008460881654173136,-0.008502916432917118,-0.02526991441845894,-0.032647255808115005
johnson,0.15453879535198212,0.09221673011779785,0.24726895987987518,0.1356719732284546,0.16520443558692932,0.4465610086917877,0.12556320428848267,0.25250744819641113,0.2951122224330902,0.32405218482017517,0.1345955729484558,0.2214501053094864,0.09142235666513443,0.2041160613298416,0.2214501053094864,0.19445954263210297,0.1463736891746521
",",0.3087472915649414,0.24291303753852844,0.6633074283599854,0.30821847915649414,0.3015086054801941,0.3363509774208069,0.21312302350997925,0.3378419280052185,0.2756725251674652,0.26552814245224,0.3877100944519043,0.4933079481124878,0.2404196411371231,0.4946078956127167,0.4933079481124878,0.17760658264160156,0.31091248989105225
