,what,was,sadat,seeking,by,releasing,islamists,from,prison,?
egyptian,0.15441232919692993,0.22936250269412994,0.43741893768310547,0.18978045880794525,0.13171394169330597,0.1441359668970108,0.38816961646080017,0.15674640238285065,0.17710748314857483,0.14169205725193024
president,0.1870913952589035,0.2505730390548706,0.4745725095272064,0.17178694903850555,0.18304786086082458,0.0702555850148201,0.24934294819831848,0.14635725319385529,0.25400489568710327,0.14148259162902832
anwar,0.18555589020252228,0.2702329754829407,0.6807706356048584,0.214448943734169,0.21519450843334198,0.18118633329868317,0.4835576117038727,0.14961989223957062,0.22609065473079681,0.2032770961523056
sadat,0.19806301593780518,0.25343289971351624,0.9999999403953552,0.21278171241283417,0.20625722408294678,0.13745680451393127,0.4798591136932373,0.13697431981563568,0.29157552123069763,0.2286619395017624
–,0.13008765876293182,0.30754852294921875,0.30356717109680176,0.13494083285331726,0.22072714567184448,0.1304551362991333,0.09364371001720428,0.1996118724346161,0.10600794106721878,0.2714554965496063
whose,0.22831642627716064,0.2162860482931137,0.1771847903728485,0.23083767294883728,0.3384193778038025,0.15091848373413086,0.17143142223358154,0.2266867458820343,0.07287672907114029,0.16990536451339722
policies,0.37312451004981995,0.1756630539894104,0.2498268336057663,0.2904078960418701,0.12518560886383057,0.1640898585319519,0.3579762876033783,0.19169768691062927,0.16794650256633759,0.2969106435775757
included,0.2288810908794403,0.3148443400859833,0.15667960047721863,0.17100732028484344,0.2987801134586334,0.1718340367078781,0.18334072828292847,0.2588649094104767,0.18001049757003784,0.14385655522346497
opening,0.18146683275699615,0.20817555487155914,0.1495298445224762,0.18833443522453308,0.19892098009586334,0.31125500798225403,0.1687367558479309,0.2103152573108673,0.08651386946439743,0.16502447426319122
egypt,0.1976596713066101,0.20915520191192627,0.50239098072052,0.22001221776008606,0.1705920398235321,0.1856483817100525,0.41131311655044556,0.18771670758724213,0.22923140227794647,0.17769601941108704
to,0.455847829580307,0.3636345863342285,0.16968092322349548,0.3810454308986664,0.33534231781959534,0.2933552861213684,0.28735893964767456,0.4069952368736267,0.2410142868757248,0.29463258385658264
western,0.2454150915145874,0.2864105999469757,0.2102317363023758,0.057543471455574036,0.20149661600589752,0.0984264686703682,0.2040775567293167,0.21337518095970154,0.09655962884426117,0.17439141869544983
investment,0.21795563399791718,0.18636870384216309,0.2642606198787689,0.2860875129699707,0.14785367250442505,0.18829496204853058,0.2488485425710678,0.15465137362480164,0.15149624645709991,0.17811161279678345
(,0.2411840260028839,0.2980341613292694,0.19498813152313232,0.11557937413454056,0.20696312189102173,0.0977490022778511,0.06573429703712463,0.25806233286857605,0.14555515348911285,0.40561532974243164
infitah,0.2616238594055176,0.23960770666599274,0.4295772910118103,0.28612175583839417,0.19795702397823334,0.286385715007782,0.4443188011646271,0.19771738350391388,0.30828988552093506,0.20328617095947266
),0.26259949803352356,0.3267642855644226,0.2189616709947586,0.11251133680343628,0.2151763141155243,0.1185888722538948,0.08740758150815964,0.2672361731529236,0.1542292982339859,0.42300865054130554
;,0.10986888408660889,0.0754367932677269,-0.032308969646692276,0.011388957500457764,0.10469875484704971,0.052007272839546204,0.05586666613817215,0.07524215430021286,-0.004186541307717562,0.10349778085947037
