,what,seldom,mutates,?
the,0.42745697498321533,0.2849511206150055,0.25983384251594543,0.22068053483963013
inverted,0.162471204996109,0.15867651998996735,0.20562447607517242,0.11465871334075928
repeat,0.32753127813339233,0.24736027419567108,0.20146989822387695,0.28224727511405945
regions,0.22129066288471222,0.17291094362735748,0.2537195086479187,0.11608363687992096
are,0.29724663496017456,0.281650573015213,0.24323107302188873,0.24591213464736938
highly,0.22724121809005737,0.18805523216724396,0.18213438987731934,0.1542806625366211
conserved,0.18548007309436798,0.15460973978042603,0.2569381892681122,0.12682415544986725
among,0.21154822409152985,0.2098522186279297,0.22647352516651154,0.14343059062957764
land,0.23411516845226288,0.1589382439851761,0.1616472750902176,0.1432059109210968
plants,0.25144460797309875,0.22872182726860046,0.3308601379394531,0.1473488062620163
",",0.3087472915649414,0.23801246285438538,0.20791572332382202,0.31091248989105225
and,0.31309178471565247,0.3308003842830658,0.19187863171100616,0.20544172823429108
accumulate,0.2557430863380432,0.2941814363002777,0.25158780813217163,0.18783392012119293
few,0.2780759632587433,0.31824618577957153,0.13889019191265106,0.2334265559911728
mutations,0.2423780858516693,0.2783130407333374,0.8185113668441772,0.2047261893749237
.,0.3567904531955719,0.2292267084121704,0.22320960462093353,0.4130953550338745
