,what,did,the,new,mass,allow,as,regards,ceremony,?
he,0.3114890456199646,0.3292143940925598,0.4571082592010498,0.2739552855491638,0.1783510446548462,0.1745220571756363,0.33787044882774353,0.17431087791919708,0.2504832148551941,0.2089974731206894
retained,0.13867077231407166,0.28948208689689636,0.2996930480003357,0.16855649650096893,0.06540361046791077,0.24579308927059174,0.31547555327415466,0.19191555678844452,0.1130034551024437,0.0590956024825573
the,0.42745697498321533,0.34736719727516174,1.0,0.3845241069793701,0.2284930944442749,0.27822166681289673,0.48381632566452026,0.2506358325481415,0.27631378173828125,0.22068053483963013
elevation,0.21449920535087585,0.062038715928792953,0.3129842281341553,0.1435936838388443,0.17651426792144775,0.15680085122585297,0.15401378273963928,0.18819107115268707,0.15576714277267456,0.1759966015815735
of,0.33290785551071167,0.2513895630836487,0.733189046382904,0.343457967042923,0.26915112137794495,0.28057926893234253,0.3886612355709076,0.19263862073421478,0.2303226888179779,0.1826142966747284
the,0.42745697498321533,0.34736719727516174,1.0,0.3845241069793701,0.2284930944442749,0.27822166681289673,0.48381632566452026,0.2506358325481415,0.27631378173828125,0.22068053483963013
host,0.12779991328716278,0.08573058992624283,0.26909032464027405,0.2235386222600937,0.08914853632450104,0.2089000940322876,0.19779783487319946,0.1410948485136032,0.2347729504108429,0.1021634042263031
and,0.31309178471565247,0.34479495882987976,0.5171257257461548,0.31402453780174255,0.21843883395195007,0.3380379378795624,0.49487000703811646,0.24990680813789368,0.19817329943180084,0.20544172823429108
chalice,0.1692749410867691,0.14600034058094025,0.2792653739452362,0.14896751940250397,0.18986967206001282,0.151178240776062,0.22411423921585083,0.13588827848434448,0.28860896825790405,0.15225286781787872
",",0.3087472915649414,0.3015086054801941,0.4933079481124878,0.36073189973831177,0.2439754158258438,0.24557842314243317,0.48816442489624023,0.3487640917301178,0.23101258277893066,0.31091248989105225
