,besides,germany,and,switzerland,",",where,else,is,lake,constance,?
the,0.367077499628067,0.3181285262107849,0.5171257257461548,0.25689372420310974,0.4933079481124878,0.5003893971443176,0.19370581209659576,0.5823672413825989,0.24325428903102875,0.23177717626094818,0.22068053483963013
lake,0.1376238465309143,0.17356468737125397,0.234501451253891,0.2903166711330414,0.2802521586418152,0.17913374304771423,0.12287656217813492,0.22300897538661957,1.0000001192092896,0.30982735753059387,0.07226386666297913
is,0.36560124158859253,0.2201172411441803,0.3859752118587494,0.22848938405513763,0.4691906273365021,0.3586711287498474,0.22724738717079163,1.0,0.22300897538661957,0.2383592426776886,0.22961433231830597
situated,0.27085694670677185,0.25435036420822144,0.2149302363395691,0.21936532855033875,0.21735219657421112,0.31053462624549866,0.07613036781549454,0.36439594626426697,0.28492671251296997,0.2571663558483124,0.039639271795749664
in,0.3447916507720947,0.3642844259738922,0.4954058527946472,0.35930100083351135,0.5201468467712402,0.5344807505607605,0.22759012877941132,0.5394441485404968,0.260087251663208,0.2223079651594162,0.20430970191955566
germany,0.13454985618591309,1.0,0.29381805658340454,0.47981467843055725,0.2898865044116974,0.20900733768939972,0.19454391300678253,0.2201172411441803,0.17356468737125397,0.3151199519634247,0.1388660967350006
",",0.340058833360672,0.2898865044116974,0.6633074283599854,0.23812422156333923,1.0000001192092896,0.3149496018886566,0.2643522322177887,0.4691906273365021,0.2802521586418152,0.3135715425014496,0.31091248989105225
switzerland,0.10168619453907013,0.47981467843055725,0.20231366157531738,1.0,0.23812422156333923,0.2608305513858795,0.1528642624616623,0.22848938405513763,0.2903166711330414,0.31170228123664856,0.13347817957401276
and,0.3610946238040924,0.29381805658340454,1.0,0.20231366157531738,0.6633074283599854,0.43859338760375977,0.2664144039154053,0.3859752118587494,0.234501451253891,0.30396533012390137,0.20544172823429108
austria,0.06596488505601883,0.5713910460472107,0.24401354789733887,0.44961825013160706,0.22571246325969696,0.19844335317611694,0.14657410979270935,0.11112981289625168,0.18445497751235962,0.32941797375679016,0.16068434715270996
near,0.21893133223056793,0.19387328624725342,0.25046437978744507,0.21354429423809052,0.3141826391220093,0.4188554286956787,0.11309920996427536,0.25453904271125793,0.30304625630378723,0.24595165252685547,0.10734958201646805
the,0.367077499628067,0.3181285262107849,0.5171257257461548,0.25689372420310974,0.4933079481124878,0.5003893971443176,0.19370581209659576,0.5823672413825989,0.24325428903102875,0.23177717626094818,0.22068053483963013
alps,0.12626542150974274,0.2863556444644928,0.21796616911888123,0.42638474702835083,0.2293623983860016,0.18269453942775726,0.07733988016843796,0.16782210767269135,0.3508967459201813,0.2649419903755188,0.07792776823043823
.,0.28636154532432556,0.28498756885528564,0.588965117931366,0.24959003925323486,0.6812511086463928,0.41390106081962585,0.30548352003097534,0.4569662809371948,0.18603695929050446,0.2745775878429413,0.4130953550338745
