,colonialism,as,a,policy,is,caused,by,financial,and,what,other,reasons,?
robert,0.17354512214660645,0.18202318251132965,0.2100449502468109,0.1244162917137146,0.16191203892230988,0.12423008680343628,0.24091920256614685,0.17160101234912872,0.21826715767383575,0.1948658525943756,0.09100993722677231,0.13645541667938232,0.11293095350265503
young,0.1676594763994217,0.2493147850036621,0.2628135085105896,0.10143651813268661,0.164752796292305,0.0864373967051506,0.2676810920238495,0.1577061414718628,0.30018550157546997,0.18808799982070923,0.22057001292705536,0.18378552794456482,0.14931946992874146
writes,0.29747113585472107,0.18493619561195374,0.25101935863494873,0.18417049944400787,0.2639923393726349,0.08034218847751617,0.20360365509986877,0.12394633144140244,0.2710545063018799,0.31006428599357605,0.18368469178676605,0.1280677318572998,0.17896029353141785
that,0.2405940741300583,0.4735107421875,0.47537946701049805,0.34090733528137207,0.3995479643344879,0.33201703429222107,0.37496164441108704,0.2712239921092987,0.4731321930885315,0.6297725439071655,0.5570666193962097,0.4111911356449127,0.32716336846351624
while,0.14408323168754578,0.4165958762168884,0.3733035624027252,0.2384832501411438,0.2713196575641632,0.2611788809299469,0.3083919286727905,0.21667508780956268,0.45699796080589294,0.35511791706085205,0.34462770819664,0.3307684063911438,0.21076419949531555
imperialism,0.6857813596725464,0.2192956656217575,0.17335295677185059,0.37139713764190674,0.13894762098789215,0.13251832127571106,0.21250218152999878,0.2693345844745636,0.19073538482189178,0.24614648520946503,0.19548238813877106,0.19398672878742218,0.14998586475849152
operates,0.1861724853515625,0.1830490231513977,0.24515408277511597,0.22449712455272675,0.29712775349617004,0.15724506974220276,0.18984675407409668,0.2899804711341858,0.254499614238739,0.17323419451713562,0.1857559233903885,0.15262791514396667,0.12270797789096832
from,0.21451672911643982,0.3251767158508301,0.322764128446579,0.18396732211112976,0.27355384826660156,0.29811105132102966,0.3373257517814636,0.22108370065689087,0.3601827025413513,0.2737620174884796,0.30141791701316833,0.22220219671726227,0.19969791173934937
the,0.25141018629074097,0.48381632566452026,0.5829201340675354,0.2358427494764328,0.5823672413825989,0.24990202486515045,0.4408751428127289,0.29952070116996765,0.5171257257461548,0.42745697498321533,0.44152235984802246,0.2951921820640564,0.22068053483963013
center,0.07129362225532532,0.20052886009216309,0.2640431225299835,0.1703777313232422,0.24782158434391022,0.07952462136745453,0.12630024552345276,0.24098534882068634,0.28670641779899597,0.1908310204744339,0.18266704678535461,0.1498185098171234,0.12538520991802216
",",0.25518688559532166,0.48816442489624023,0.427140474319458,0.2903050184249878,0.4691906273365021,0.2600580155849457,0.3680937886238098,0.25465908646583557,0.6633074283599854,0.3087472915649414,0.4446498453617096,0.31034985184669495,0.31091248989105225
is,0.15186980366706848,0.43216490745544434,0.658733606338501,0.15952111780643463,1.0,0.16288428008556366,0.3899846076965332,0.1937110424041748,0.3859752118587494,0.28837618231773376,0.25895947217941284,0.25412559509277344,0.22961433231830597
a,0.19192901253700256,0.39550232887268066,1.0,0.17720282077789307,0.658733606338501,0.22472180426120758,0.32094135880470276,0.2513774335384369,0.3739250600337982,0.3320399522781372,0.2806335389614105,0.29420214891433716,0.23916715383529663
state,0.2936314344406128,0.26851922273635864,0.25097307562828064,0.265787273645401,0.2627358138561249,0.14223599433898926,0.2263980358839035,0.21523357927799225,0.2653750479221344,0.24273863434791565,0.25314825773239136,0.23343850672245026,0.1160883978009224
