,what,did,luther,call,the,consecrated,bread,and,wine,?
luther,0.2134782373905182,0.23667675256729126,1.0,0.0945192277431488,0.1759674996137619,0.2255089432001114,0.16235698759555817,0.20796556770801544,0.18267135322093964,0.1732746809720993
insisted,0.3362210988998413,0.49533259868621826,0.27878543734550476,0.17586162686347961,0.22402240335941315,0.2324318140745163,0.14880234003067017,0.33493664860725403,0.05845121294260025,0.20097918808460236
on,0.34226128458976746,0.2670976221561432,0.19090485572814941,0.14074347913265228,0.5107308030128479,0.19045357406139374,0.1628524214029312,0.4077630043029785,0.11521834880113602,0.2714994251728058
the,0.42745697498321533,0.34736719727516174,0.1759674996137619,0.26640447974205017,1.0,0.2520894706249237,0.19539521634578705,0.5171257257461548,0.2768833041191101,0.22068053483963013
real,0.27036693692207336,0.20014923810958862,0.08498093485832214,0.15150713920593262,0.19885718822479248,0.06356160342693329,0.09359094500541687,0.2019829899072647,0.12207670509815216,0.20019613206386566
presence,0.24428647756576538,0.16884823143482208,0.07687997817993164,0.18517212569713593,0.34114351868629456,0.26172932982444763,0.22083155810832977,0.284408837556839,0.17836906015872955,0.08592845499515533
of,0.33290785551071167,0.2513895630836487,0.1719115972518921,0.2378445267677307,0.733189046382904,0.2674614191055298,0.19913233816623688,0.5116966962814331,0.2704099118709564,0.1826142966747284
the,0.42745697498321533,0.34736719727516174,0.1759674996137619,0.26640447974205017,1.0,0.2520894706249237,0.19539521634578705,0.5171257257461548,0.2768833041191101,0.22068053483963013
body,0.2143840193748474,0.17681342363357544,0.09127452969551086,0.16500303149223328,0.31682634353637695,0.2309073954820633,0.1914253830909729,0.2872275710105896,0.14815053343772888,0.20136451721191406
and,0.31309178471565247,0.34479495882987976,0.20796556770801544,0.237839937210083,0.5171257257461548,0.1487535536289215,0.22956383228302002,1.0,0.2789568305015564,0.20544172823429108
blood,0.15800324082374573,0.1921168565750122,0.13496287167072296,0.12539175152778625,0.2815113961696625,0.14155806601047516,0.2934724688529968,0.2636592388153076,0.2530536353588104,0.156274676322937
of,0.33290785551071167,0.2513895630836487,0.1719115972518921,0.2378445267677307,0.733189046382904,0.2674614191055298,0.19913233816623688,0.5116966962814331,0.2704099118709564,0.1826142966747284
christ,0.2615339457988739,0.17013269662857056,0.2758595049381256,0.155571848154068,0.25124865770339966,0.4933004677295685,0.34129223227500916,0.15450161695480347,0.2530486285686493,0.13772203028202057
in,0.30808621644973755,0.2593238651752472,0.20523880422115326,0.2520289719104767,0.6662389636039734,0.23633383214473724,0.17145772278308868,0.4954058527946472,0.2517578601837158,0.20430970191955566
the,0.42745697498321533,0.34736719727516174,0.1759674996137619,0.26640447974205017,1.0,0.2520894706249237,0.19539521634578705,0.5171257257461548,0.2768833041191101,0.22068053483963013
