,when,b,cells,and,t,cells,begin,to,replicate,",",what,do,some,of,their,offspring,cells,become,?
when,0.9999999403953552,0.1297290027141571,0.2794494032859802,0.4716290831565857,0.2666409909725189,0.2794494032859802,0.3341256082057953,0.5423505902290344,0.25625085830688477,0.36674630641937256,0.4700249433517456,0.28572237491607666,0.386913925409317,0.3757161796092987,0.3682888448238373,0.2442089021205902,0.2794494032859802,0.4120000898838043,0.22841128706932068
b,0.1297290027141571,1.0000001192092896,0.1588091403245926,0.3004094958305359,0.17949947714805603,0.1588091403245926,0.08633256703615189,0.08878466486930847,0.09219559282064438,0.32954633235931396,0.13329443335533142,0.11020499467849731,0.14643828570842743,0.22055713832378387,0.10292249172925949,0.12406285107135773,0.1588091403245926,0.16222023963928223,0.1975182741880417
cells,0.2794494032859802,0.1588091403245926,1.0,0.24033623933792114,0.25527921319007874,1.0,0.18836453557014465,0.26320719718933105,0.42174285650253296,0.20582014322280884,0.1758001297712326,0.2676107585430145,0.24649012088775635,0.21305565536022186,0.2534589171409607,0.33532461524009705,1.0,0.16453738510608673,0.1898086667060852
and,0.4716290831565857,0.3004094958305359,0.24033623933792114,1.0,0.25205641984939575,0.24033623933792114,0.2599445581436157,0.48971283435821533,0.20882341265678406,0.6633074283599854,0.31309178471565247,0.276123583316803,0.5337774157524109,0.5116966962814331,0.45114588737487793,0.2433483898639679,0.24033623933792114,0.3416603207588196,0.20544172823429108
t,0.2666409909725189,0.17949947714805603,0.25527921319007874,0.25205641984939575,0.9999999403953552,0.25527921319007874,0.1521371752023697,0.30417174100875854,0.2050541192293167,0.31002363562583923,0.37454068660736084,0.3906288743019104,0.281677782535553,0.14617829024791718,0.2115638256072998,0.16738258302211761,0.25527921319007874,0.12504787743091583,0.4954066574573517
cells,0.2794494032859802,0.1588091403245926,1.0,0.24033623933792114,0.25527921319007874,1.0,0.18836453557014465,0.26320719718933105,0.42174285650253296,0.20582014322280884,0.1758001297712326,0.2676107585430145,0.24649012088775635,0.21305565536022186,0.2534589171409607,0.33532461524009705,1.0,0.16453738510608673,0.1898086667060852
are,0.29873907566070557,0.10115936398506165,0.2908284366130829,0.48576638102531433,0.2180873155593872,0.2908284366130829,0.26238346099853516,0.3504326641559601,0.3279314935207367,0.4062570035457611,0.29724663496017456,0.41111594438552856,0.6331475377082825,0.39081433415412903,0.46887820959091187,0.2665533125400543,0.2908284366130829,0.31982117891311646,0.24591213464736938
activated,0.3055132329463959,0.13266611099243164,0.4655350148677826,0.2098722904920578,0.24296288192272186,0.4655350148677826,0.21164825558662415,0.27244922518730164,0.3752344846725464,0.20695485174655914,0.21431195735931396,0.21852244436740875,0.21915636956691742,0.18893249332904816,0.24517010152339935,0.16957484185695648,0.4655350148677826,0.2395588457584381,0.23727594316005707
and,0.4716290831565857,0.3004094958305359,0.24033623933792114,1.0,0.25205641984939575,0.24033623933792114,0.2599445581436157,0.48971283435821533,0.20882341265678406,0.6633074283599854,0.31309178471565247,0.276123583316803,0.5337774157524109,0.5116966962814331,0.45114588737487793,0.2433483898639679,0.24033623933792114,0.3416603207588196,0.20544172823429108
begin,0.3341256082057953,0.08633256703615189,0.18836453557014465,0.2599445581436157,0.1521371752023697,0.18836453557014465,1.0,0.33302420377731323,0.2634965777397156,0.27304404973983765,0.26893487572669983,0.3011261224746704,0.2786189913749695,0.24830074608325958,0.33574771881103516,0.2451101541519165,0.18836453557014465,0.381168007850647,0.16177093982696533
