,what,can,concentrate,wealth,",",pass,environmental,costs,on,to,society,and,abuse,both,workers,and,consumers,?
``,0.008517155423760414,0.12428006529808044,0.018676873296499252,0.03245234861969948,0.09681109338998795,-0.01740075647830963,-0.028972944244742393,-0.14797887206077576,-0.03274054825305939,0.06720756739377975,-0.07093416899442673,0.036644238978624344,0.048047058284282684,0.05544934421777725,-0.04948477819561958,0.036644238978624344,-0.06669848412275314,0.0685480609536171
on,0.34226128458976746,0.2772369682788849,0.26941370964050293,0.1212598904967308,0.49057599902153015,0.13331516087055206,0.20105937123298645,0.15592291951179504,0.9999999403953552,0.41031414270401,0.15271499752998352,0.4077630043029785,0.21494251489639282,0.3685423731803894,0.14091183245182037,0.4077630043029785,0.21401947736740112,0.2714994251728058
the,0.42745697498321533,0.312528520822525,0.25759652256965637,0.24999672174453735,0.4933079481124878,0.25961899757385254,0.23935803771018982,0.2180386483669281,0.5107308030128479,0.535392165184021,0.2789285480976105,0.5171257257461548,0.18934819102287292,0.4931981563568115,0.23066683113574982,0.5171257257461548,0.2675914168357849,0.22068053483963013
other,0.341873437166214,0.454561322927475,0.29963502287864685,0.21115997433662415,0.4446498453617096,0.17236505448818207,0.26377999782562256,0.2326374650001526,0.3410046398639679,0.4193183183670044,0.19153526425361633,0.5504306554794312,0.25387686491012573,0.48922300338745117,0.23569044470787048,0.5504306554794312,0.37540990114212036,0.24682199954986572
hand,0.26703396439552307,0.3257370591163635,0.27804985642433167,0.1980588585138321,0.22187741100788116,0.17137621343135834,0.12355222553014755,0.19199104607105255,0.27365610003471375,0.29793334007263184,0.057411521673202515,0.27956733107566833,0.2659663259983063,0.31094589829444885,0.17151044309139252,0.27956733107566833,0.2011382281780243,0.20656698942184448
",",0.3087472915649414,0.3139454126358032,0.30280089378356934,0.22482609748840332,1.0000001192092896,0.22301842272281647,0.2779713571071625,0.15185250341892242,0.49057599902153015,0.44245919585227966,0.20629194378852844,0.6633074283599854,0.25228556990623474,0.38080528378486633,0.17716385424137115,0.6633074283599854,0.23251329362392426,0.31091248989105225
markets,0.12341798096895218,0.2390061318874359,0.26163798570632935,0.3634049892425537,0.24350304901599884,0.1543760895729065,0.2738233804702759,0.3652680218219757,0.24747714400291443,0.23568420112133026,0.26387089490890503,0.2580149173736572,0.1148202046751976,0.22999009490013123,0.26674893498420715,0.2580149173736572,0.5147767066955566,0.11209505051374435
can,0.34502777457237244,1.0,0.2693157494068146,0.13289016485214233,0.3139454126358032,0.24173884093761444,0.26355448365211487,0.28352540731430054,0.2772369682788849,0.4979398250579834,0.1367422491312027,0.3675691485404968,0.27596840262413025,0.33175474405288696,0.15436972677707672,0.3675691485404968,0.3620449900627136,0.3226337134838104
also,0.42747777700424194,0.4861826002597809,0.2987670600414276,0.2456410825252533,0.4717654287815094,0.2661254405975342,0.26962560415267944,0.23639217019081116,0.3762153089046478,0.5348826050758362,0.2379170060157776,0.5755972862243652,0.2417602688074112,0.5542391538619995,0.2535896301269531,0.5755972862243652,0.3022375702857971,0.21848613023757935
concentrate,0.32318833470344543,0.2693157494068146,0.9999998807907104,0.2396038919687271,0.30280089378356934,0.11305860430002213,0.21457889676094055,0.23136667907238007,0.26941370964050293,0.3929895758628845,0.14860551059246063,0.34679681062698364,0.1946881264448166,0.25877466797828674,0.20148707926273346,0.34679681062698364,0.2603132128715515,0.17956885695457458
