,what,were,the,names,of,tesla,'s,new,partners,?
after,0.21973377466201782,0.36224013566970825,0.4565047025680542,0.20122726261615753,0.3867455720901489,0.0752151682972908,-0.055672239512205124,0.2620960772037506,0.1598181277513504,0.16608688235282898
leaving,0.2528557777404785,0.21780279278755188,0.35353413224220276,0.14276807010173798,0.28646329045295715,0.04802955687046051,-0.012301049195230007,0.2097579836845398,0.19762083888053894,0.11571593582630157
edison,0.15105706453323364,0.15140701830387115,0.25419825315475464,0.09403422474861145,0.221283957362175,0.35526686906814575,0.0115949846804142,0.31342771649360657,0.09409807622432709,0.10244420915842056
's,0.02692362666130066,0.007088581565767527,-0.01540423184633255,0.06940026581287384,-0.03817026689648628,0.06449045985937119,0.9999999403953552,-0.008355522528290749,-0.058358486741781235,-0.023395681753754616
company,0.2333769053220749,0.1783226877450943,0.26591673493385315,0.1542157083749771,0.20467796921730042,0.23045730590820312,0.003266559913754463,0.16146139800548553,0.31292855739593506,0.12195809185504913
tesla,0.23221199214458466,0.1222306564450264,0.1324402391910553,0.12333448976278305,0.18837453424930573,0.9999999403953552,0.06449045985937119,0.15999311208724976,0.12841634452342987,0.10250775516033173
partnered,0.05339338257908821,0.18599531054496765,0.1498856395483017,0.17119641602039337,0.10293242335319519,0.10853637754917145,-0.030960964038968086,0.13905584812164307,0.7809337973594666,0.15653236210346222
with,0.2464839518070221,0.3179011940956116,0.4223487675189972,0.21162480115890503,0.41827285289764404,0.16424812376499176,-0.04624466598033905,0.24325589835643768,0.3013734221458435,0.2433311939239502
two,0.23363454639911652,0.4493520259857178,0.43858039379119873,0.26651889085769653,0.37726253271102905,0.18793831765651703,0.038143858313560486,0.2712784707546234,0.2863166332244873,0.19645625352859497
businessmen,0.21677884459495544,0.3308582901954651,0.2639414370059967,0.2176963835954666,0.24270594120025635,0.13815727829933167,0.04513353854417801,0.20413018763065338,0.3655785918235779,0.15025284886360168
in,0.30808621644973755,0.3815755248069763,0.6662389636039734,0.19826655089855194,0.5696388483047485,0.17097744345664978,-0.037580832839012146,0.3758552670478821,0.20128825306892395,0.20430970191955566
1886,0.17057421803474426,0.09076233208179474,0.16194075345993042,0.19984036684036255,0.2039724886417389,0.22070029377937317,-0.024794330820441246,0.21939796209335327,0.03002242185175419,0.15507127344608307
",",0.3087472915649414,0.36755475401878357,0.4933079481124878,0.2669545114040375,0.4946078956127167,0.20599327981472015,-0.0016132977325469255,0.36073189973831177,0.2323409467935562,0.31091248989105225
robert,0.1948658525943756,0.15146300196647644,0.2257954627275467,0.07568681985139847,0.2398476004600525,0.13741932809352875,0.028171386569738388,0.1655803620815277,0.22117620706558228,0.11293095350265503
lane,0.1767110675573349,0.1586931198835373,0.17604383826255798,0.14787521958351135,0.15131840109825134,0.16600798070430756,0.097136490046978,0.22656822204589844,0.19425000250339508,0.12951500713825226
and,0.31309178471565247,0.42175528407096863,0.5171257257461548,0.22828514873981476,0.5116966962814331,0.19560420513153076,0.06895173341035843,0.31402453780174255,0.30834531784057617,0.20544172823429108
benjamin,0.18476101756095886,0.18028680980205536,0.2507040798664093,0.12161709368228912,0.19692720472812653,0.13292011618614197,-0.07152775675058365,0.16580380499362946,0.12546668946743011,0.20336422324180603
vail,0.14698028564453125,0.16669555008411407,0.21898703277111053,0.05102921649813652,0.15051133930683136,0.22038593888282776,0.03949283808469772,0.14844603836536407,0.14900656044483185,0.08528917282819748
",",0.3087472915649414,0.36755475401878357,0.4933079481124878,0.2669545114040375,0.4946078956127167,0.20599327981472015,-0.0016132977325469255,0.36073189973831177,0.2323409467935562,0.31091248989105225
who,0.40942975878715515,0.3188014328479767,0.3733934462070465,0.2592308223247528,0.2827862501144409,0.1520961970090866,0.05599616840481758,0.2378052920103073,0.22411192953586578,0.26220351457595825
agreed,0.3416297733783722,0.2540435194969177,0.24722334742546082,0.14587031304836273,0.24395716190338135,0.12057691067457199,0.017121348530054092,0.2477509081363678,0.21308287978172302,0.21258382499217987
