,which,ctenophora,have,been,studies,the,most,?
hence,0.42520633339881897,0.18633392453193665,0.4007419943809509,0.2651071548461914,0.15214760601520538,0.36636626720428467,0.2215890735387802,0.23041710257530212
most,0.4637843072414398,0.23040354251861572,0.44364631175994873,0.33751797676086426,0.2177911251783371,0.47635307908058167,1.0,0.2107497900724411
attention,0.26927196979522705,0.09671788662672043,0.34619730710983276,0.30227452516555786,0.23655837774276733,0.256243497133255,0.2653570771217346,0.19994445145130157
has,0.4350704550743103,0.14346441626548767,0.6353569626808167,0.6162750124931335,0.24284861981868744,0.4177538752555847,0.3426419198513031,0.15994466841220856
until,0.2778668999671936,0.13528472185134888,0.2526663839817047,0.3383956551551819,0.16236183047294617,0.37191009521484375,0.20077821612358093,0.20304496586322784
recently,0.36012446880340576,0.18026462197303772,0.536590039730072,0.6725438833236694,0.22728049755096436,0.2774651348590851,0.3312380611896515,0.18352322280406952
concentrated,0.27207332849502563,0.11956754326820374,0.22913889586925507,0.25113269686698914,0.25991877913475037,0.2688957750797272,0.3210751712322235,0.11501483619213104
on,0.4245251417160034,0.13134071230888367,0.36494916677474976,0.29937630891799927,0.19778205454349518,0.5107308030128479,0.28303956985473633,0.2714994251728058
three,0.40919098258018494,0.14745503664016724,0.3712083399295807,0.32707178592681885,0.12373217940330505,0.43452659249305725,0.33429425954818726,0.20928427577018738
coastal,0.26179441809654236,0.24415268003940582,0.20162180066108704,0.19406041502952576,0.1815797984600067,0.2718130946159363,0.2806214392185211,0.13777320086956024
genera,0.2703678607940674,0.6093423962593079,0.3059108257293701,0.27481111884117126,0.2874351441860199,0.2141112983226776,0.2641390860080719,0.18074829876422882
–,0.12425179779529572,0.18402348458766937,0.1137581542134285,0.08532609045505524,0.13044629991054535,0.2607575058937073,0.19322049617767334,0.2714554965496063
pleurobrachia,0.37621375918388367,0.5972846746444702,0.29971548914909363,0.18431319296360016,0.2779346704483032,0.3389502763748169,0.24653050303459167,0.2196917086839676
",",0.3658004403114319,0.20480060577392578,0.3541618287563324,0.34873589873313904,0.26373082399368286,0.4933079481124878,0.3636029064655304,0.31091248989105225
beroe,0.2473602592945099,0.36115410923957825,0.19815091788768768,0.17729000747203827,0.15044859051704407,0.2654626965522766,0.2507925033569336,0.1766621172428131
and,0.506277859210968,0.15281255543231964,0.4711785912513733,0.3424558639526367,0.30504533648490906,0.5171257257461548,0.4309377074241638,0.20544172823429108
mnemiopsis,0.31305280327796936,0.5901883244514465,0.26622363924980164,0.14624370634555817,0.3833047151565552,0.23440246284008026,0.206590935587883,0.3170430064201355
.,0.45942068099975586,0.24174925684928894,0.41614407300949097,0.33645182847976685,0.22173671424388885,0.5934505462646484,0.35404038429260254,0.4130953550338745
