,after,apollo,missions,18,and,19,were,cancelled,",",what,happened,to,the,saturn,vs,that,were,never,used,?
the,0.4565047025680542,0.2169172167778015,0.26288601756095886,-0.07796193659305573,0.5171257257461548,-0.17766842246055603,0.3906462490558624,0.2379130721092224,0.4933079481124878,0.42745697498321533,0.3589572608470917,0.535392165184021,1.0,0.24189656972885132,0.18031756579875946,0.5473989248275757,0.3906462490558624,0.31617826223373413,0.3718377649784088,0.22068053483963013
two,0.3276641070842743,0.10775979608297348,0.22956597805023193,-0.04691069945693016,0.4671151638031006,-0.15228745341300964,0.4493520259857178,0.2720462381839752,0.35859420895576477,0.23363454639911652,0.3139728307723999,0.3343428373336792,0.43858039379119873,0.1813286393880844,0.2100091278553009,0.3858162462711334,0.4493520259857178,0.2525525391101837,0.226744145154953,0.19645625352859497
unused,0.17801155149936676,0.16287489235401154,0.2274588644504547,-0.05588332936167717,0.24221426248550415,-0.10254618525505066,0.23759837448596954,0.254565566778183,0.29951798915863037,0.21118861436843872,0.203069806098938,0.27320629358291626,0.24377988278865814,0.26076582074165344,0.12448624521493912,0.3521239757537842,0.23759837448596954,0.2771517336368561,0.38385120034217834,0.2728317081928253
saturn,0.24207474291324615,0.391809344291687,0.17527790367603302,-0.043731510639190674,0.18160289525985718,-0.08802672475576401,0.17961199581623077,0.213570237159729,0.22104106843471527,0.12153393030166626,0.05481317266821861,0.18787172436714172,0.24189656972885132,1.0,0.12232707440853119,0.22345185279846191,0.17961199581623077,0.11188454180955887,0.13609382510185242,0.1619711071252823
vs,0.12206023186445236,0.010949988849461079,0.10149646550416946,0.0011968204053118825,0.16781768202781677,0.0015670220600441098,0.13425853848457336,0.149186909198761,0.23677702248096466,0.1890392154455185,0.21761775016784668,0.1372518539428711,0.18031756579875946,0.12232707440853119,0.9999998807907104,0.15010090172290802,0.13425853848457336,0.07797139883041382,0.08742283284664154,0.20496989786624908
became,0.35676637291908264,0.12017035484313965,0.1672501116991043,-0.12289867550134659,0.31226563453674316,-0.12016483396291733,0.45684126019477844,0.25187522172927856,0.2798398435115814,0.1434093862771988,0.25768420100212097,0.20401327311992645,0.36325156688690186,0.12652529776096344,0.11367852240800858,0.1675340086221695,0.45684126019477844,0.2134300023317337,0.14575080573558807,0.11374033987522125
museum,0.14579711854457855,0.16970156133174896,0.13760891556739807,-0.02651379629969597,0.21554097533226013,-0.09334513545036316,0.16107067465782166,0.05349404364824295,0.20741747319698334,0.1771627515554428,0.1953686624765396,0.1640389859676361,0.24861779808998108,0.07078855484724045,0.09719640016555786,0.1994490772485733,0.16107067465782166,0.11648072302341461,0.15161366760730743,0.14128351211547852
exhibits,0.1366550773382187,0.14681945741176605,0.1803605854511261,-0.021610312163829803,0.20951703190803528,-0.009903986938297749,0.1826658844947815,0.1477625072002411,0.16579055786132812,0.21172228455543518,0.16417557001113892,0.17805634438991547,0.25230294466018677,0.1164088025689125,0.14512576162815094,0.26032784581184387,0.1826658844947815,0.1464565396308899,0.14997738599777222,0.10692782700061798
at,0.3622083067893982,0.16096128523349762,0.21827365458011627,-0.11965709179639816,0.3571503460407257,-0.1811661422252655,0.2947486639022827,0.23791955411434174,0.38314947485923767,0.2838611304759979,0.31994152069091797,0.36524343490600586,0.457212895154953,0.19286295771598816,0.13756251335144043,0.3183255195617676,0.2947486639022827,0.25275537371635437,0.22295412421226501,0.21978627145290375
the,0.4565047025680542,0.2169172167778015,0.26288601756095886,-0.07796193659305573,0.5171257257461548,-0.17766842246055603,0.3906462490558624,0.2379130721092224,0.4933079481124878,0.42745697498321533,0.3589572608470917,0.535392165184021,1.0,0.24189656972885132,0.18031756579875946,0.5473989248275757,0.3906462490558624,0.31617826223373413,0.3718377649784088,0.22068053483963013
john,0.22597751021385193,0.20883280038833618,0.2431984394788742,-0.10814720392227173,0.21634717285633087,-0.1193300187587738,0.19632886350154877,0.15833093225955963,0.23961079120635986,0.18237407505512238,0.10774853825569153,0.2070634365081787,0.2230520099401474,0.11901303380727768,0.174081951379776,0.17830057442188263,0.19632886350154877,0.17336246371269226,0.10580982267856598,0.13162356615066528
