,what,index,is,an,indicator,of,the,effects,of,taxes,applied,to,social,spending,?
the,0.42745697498321533,0.21882164478302002,0.5823672413825989,0.4207492768764496,0.29087164998054504,0.733189046382904,1.0,0.25316479802131653,0.733189046382904,0.23899468779563904,0.22842662036418915,0.535392165184021,0.21797899901866913,0.30911970138549805,0.22068053483963013
difference,0.4114832878112793,0.2351614534854889,0.32414332032203674,0.18508581817150116,0.39583539962768555,0.28326788544654846,0.3050459623336792,0.30313268303871155,0.28326788544654846,0.20683668553829193,0.1908368319272995,0.294858455657959,0.22457510232925415,0.2216707468032837,0.2842230200767517
between,0.2462156116962433,0.0966937392950058,0.26809602975845337,0.18003802001476288,0.18892894685268402,0.3737983703613281,0.39067012071609497,0.14152158796787262,0.3737983703613281,0.18723860383033752,0.1714022010564804,0.3639189600944519,0.23449546098709106,0.19922131299972534,0.12887074053287506
the,0.42745697498321533,0.21882164478302002,0.5823672413825989,0.4207492768764496,0.29087164998054504,0.733189046382904,1.0,0.25316479802131653,0.733189046382904,0.23899468779563904,0.22842662036418915,0.535392165184021,0.21797899901866913,0.30911970138549805,0.22068053483963013
gini,0.2035973072052002,0.22153204679489136,0.12038367241621017,0.2008848786354065,0.2715654671192169,0.12587128579616547,0.14085043966770172,0.2333519011735916,0.12587128579616547,0.23210275173187256,0.1666959971189499,0.17757387459278107,0.063750721514225,0.10040619969367981,0.19409923255443573
index,0.21440383791923523,0.9999999403953552,0.20617040991783142,0.14160682260990143,0.2980848550796509,0.20335990190505981,0.21882164478302002,0.19346918165683746,0.20335990190505981,0.2370835393667221,0.13793408870697021,0.198527991771698,0.18474674224853516,0.2088623344898224,0.2477751076221466
for,0.3017193675041199,0.186046302318573,0.43268078565597534,0.3236706852912903,0.2892799973487854,0.4185989499092102,0.4739971458911896,0.28118398785591125,0.4185989499092102,0.25136372447013855,0.28770551085472107,0.4451248347759247,0.2460131198167801,0.40498724579811096,0.264628142118454
an,0.2821882665157318,0.14160682260990143,0.4654068350791931,1.0,0.2969004809856415,0.32280945777893066,0.4207492768764496,0.23655571043491364,0.32280945777893066,0.09877585619688034,0.22066234052181244,0.3138085603713989,0.1521279513835907,0.16079100966453552,0.19793890416622162
income,0.21837803721427917,0.25553080439567566,0.14559021592140198,0.12479376047849655,0.25174480676651,0.2581324577331543,0.23699946701526642,0.20223058760166168,0.2581324577331543,0.6014111638069153,0.1871192753314972,0.27188464999198914,0.23773884773254395,0.4175257682800293,0.14935168623924255
distribution,0.17429208755493164,0.23284564912319183,0.2414398044347763,0.17020238935947418,0.29514074325561523,0.254255473613739,0.27569329738616943,0.2309029996395111,0.254255473613739,0.19043593108654022,0.21108706295490265,0.18405549228191376,0.22905874252319336,0.18963928520679474,0.0929616317152977
before,0.3801657259464264,0.11052887886762619,0.25183290243148804,0.2804223895072937,0.18885530531406403,0.3282964527606964,0.45900648832321167,0.15152257680892944,0.3282964527606964,0.1961369514465332,0.22765083611011505,0.4190867841243744,0.17243245244026184,0.34058913588523865,0.2507109045982361
