,name,a,common,autoimmune,disease,.
common,0.21047087013721466,0.29638534784317017,0.9999998807907104,0.316062867641449,0.21678683161735535,0.21817955374717712
autoimmune,0.10297960788011551,0.2608693838119507,0.316062867641449,1.0,0.5896418690681458,0.25202322006225586
diseases,0.14104020595550537,0.18605440855026245,0.3025996685028076,0.647394597530365,0.8098766207695007,0.22635892033576965
include,0.1803218424320221,0.18765322864055634,0.3887983560562134,0.2534090280532837,0.1878407746553421,0.21809983253479004
hashimoto,0.13626623153686523,0.23766277730464935,0.15182709693908691,0.24025453627109528,0.20708240568637848,0.2557680308818817
's,0.08507627248764038,0.04866964742541313,0.04670591652393341,-0.07087095826864243,-0.12860681116580963,-0.003708066651597619
thyroiditis,0.15795619785785675,0.24117335677146912,0.30170682072639465,0.7299928665161133,0.6266050934791565,0.24214810132980347
",",0.28145334124565125,0.427140474319458,0.2497023195028305,0.2261451780796051,0.29627472162246704,0.6812511086463928
rheumatoid,0.10302531719207764,0.21204350888729095,0.2950358986854553,0.6691818237304688,0.5704256296157837,0.26301318407058716
arthritis,0.0882520005106926,0.19668224453926086,0.31869634985923767,0.6260298490524292,0.5839326977729797,0.21537287533283234
",",0.28145334124565125,0.427140474319458,0.2497023195028305,0.2261451780796051,0.29627472162246704,0.6812511086463928
diabetes,0.17831003665924072,0.19992075860500336,0.1940304934978485,0.6201582551002502,0.5699249505996704,0.19457098841667175
mellitus,0.12034721672534943,0.24856652319431305,0.3013591766357422,0.5924707651138306,0.4878968894481659,0.23311132192611694
type,0.17107649147510529,0.3813284635543823,0.3472718596458435,0.30017343163490295,0.14340442419052124,0.23195341229438782
1,-0.18995489180088043,-0.20817746222019196,-0.1674359142780304,-0.27339568734169006,-0.11422141641378403,-0.15870751440525055
",",0.28145334124565125,0.427140474319458,0.2497023195028305,0.2261451780796051,0.29627472162246704,0.6812511086463928
and,0.21235932409763336,0.3739250600337982,0.229714497923851,0.20667199790477753,0.19961869716644287,0.588965117931366
systemic,0.06981135904788971,0.2539955675601959,0.34199589490890503,0.588428258895874,0.4006770849227905,0.22427423298358917
lupus,0.15530423820018768,0.22272557020187378,0.24087461829185486,0.4865378141403198,0.4436056613922119,0.2338733822107315
erythematosus,0.1275784969329834,0.20316246151924133,0.24535933136940002,0.664856493473053,0.5203312039375305,0.23125286400318146
.,0.24737101793289185,0.50484299659729,0.21817955374717712,0.25202322006225586,0.25074082612991333,1.0000001192092896
