,who,put,on,a,doctor,who,exhibition,in,1991,?
the,0.3733934462070465,0.34150463342666626,0.5107308030128479,0.5829201340675354,0.2820442318916321,0.3733934462070465,0.22614671289920807,0.6662389636039734,0.002508036559447646,0.22068053483963013
phrase,0.17517714202404022,0.20249336957931519,0.11589286476373672,0.2889547646045685,0.13532482087612152,0.17517714202404022,0.11046949028968811,0.18596138060092926,0.08150126039981842,0.32636284828186035
retains,0.14254766702651978,0.2212505340576172,0.1556173861026764,0.24405072629451752,0.08940451592206955,0.14254766702651978,0.20086322724819183,0.24730412662029266,-0.08034375309944153,0.058350570499897
this,0.3345087468624115,0.38769811391830444,0.4193967580795288,0.5422310829162598,0.16758373379707336,0.3345087468624115,0.209568053483963,0.45205554366111755,0.03973522409796715,0.3155723512172699
association,0.18668070435523987,0.09938644617795944,0.12186131626367569,0.22860166430473328,0.0850224420428276,0.18668070435523987,0.18769244849681854,0.23660005629062653,0.07150200754404068,0.1542656421661377
with,0.3282766342163086,0.3236430287361145,0.40749499201774597,0.3783375024795532,0.17277967929840088,0.3282766342163086,0.23241394758224487,0.4080928862094879,-0.014840502291917801,0.2433311939239502
doctor,0.3504868149757385,0.10839605331420898,0.1636410653591156,0.22883038222789764,0.9999999403953552,0.3504868149757385,0.1388820856809616,0.25567495822906494,0.09401901066303253,0.1462511420249939
who,0.9999998807907104,0.25223246216773987,0.2340552806854248,0.36608949303627014,0.3504868149757385,0.9999998807907104,0.1821725070476532,0.2792111933231354,0.230638325214386,0.26220351457595825
",",0.3365725874900818,0.28264448046684265,0.49057599902153015,0.427140474319458,0.20407600700855255,0.3365725874900818,0.16028228402137756,0.5201468467712402,0.1221209466457367,0.31091248989105225
to,0.42656609416007996,0.36244112253189087,0.41031414270401,0.45503583550453186,0.22950075566768646,0.42656609416007996,0.17194919288158417,0.45010748505592346,0.11084804683923721,0.29463258385658264
the,0.3733934462070465,0.34150463342666626,0.5107308030128479,0.5829201340675354,0.2820442318916321,0.3733934462070465,0.22614671289920807,0.6662389636039734,0.002508036559447646,0.22068053483963013
point,0.15094248950481415,0.20091715455055237,0.24115808308124542,0.2913021743297577,0.09847788512706757,0.15094248950481415,0.1204436868429184,0.24451331794261932,-0.004512309562414885,0.19189560413360596
that,0.45444270968437195,0.4161929190158844,0.42569106817245483,0.47537946701049805,0.2390732765197754,0.45444270968437195,0.2013339251279831,0.435920387506485,0.07669968903064728,0.32716336846351624
in,0.2792111933231354,0.26728662848472595,0.46853652596473694,0.539380669593811,0.25567495822906494,0.2792111933231354,0.28266429901123047,1.0,0.0019440409960225224,0.20430970191955566
1991,0.230638325214386,0.08697798103094101,0.06001089885830879,0.005962178576737642,0.09401901066303253,0.230638325214386,0.032459456473588943,0.0019440409960225224,1.0,0.175977423787117
the,0.3733934462070465,0.34150463342666626,0.5107308030128479,0.5829201340675354,0.2820442318916321,0.3733934462070465,0.22614671289920807,0.6662389636039734,0.002508036559447646,0.22068053483963013
museum,0.14649315178394318,0.18064607679843903,0.1697414517402649,0.14725451171398163,0.09362395852804184,0.14649315178394318,0.5163875222206116,0.2407650351524353,0.023580405861139297,0.14128351211547852
of,0.2827862501144409,0.3247257471084595,0.3966929316520691,0.5052502155303955,0.16895952820777893,0.2827862501144409,0.20735959708690643,0.5696388483047485,-0.004689669236540794,0.1826142966747284
the,0.3733934462070465,0.34150463342666626,0.5107308030128479,0.5829201340675354,0.2820442318916321,0.3733934462070465,0.22614671289920807,0.6662389636039734,0.002508036559447646,0.22068053483963013
