,who,presents,different,ideas,about,how,to,accomplish,goals,?
several,0.30628830194473267,0.1547190397977829,0.5025902390480042,0.2610861361026764,0.30906662344932556,0.28568220138549805,0.36196985840797424,0.22976046800613403,0.11051876097917557,0.15595775842666626
d,0.24460993707180023,0.12032047659158707,0.10359493643045425,0.1460849642753601,0.13197948038578033,0.1031225249171257,0.16277578473091125,0.10460212081670761,0.08760051429271698,0.1780570149421692
&,0.09244576841592789,0.23817294836044312,0.1553942859172821,0.051419250667095184,0.1364048421382904,0.1377509981393814,0.1254875510931015,0.0841115340590477,0.09885827451944351,0.12596383690834045
b,0.2817157804965973,0.1487227976322174,0.1477743238210678,0.15103423595428467,0.09264069050550461,0.0862383246421814,0.08878466486930847,0.10958167165517807,0.14280037581920624,0.1975182741880417
contractors,0.2668176591396332,0.16614677011966705,0.27683043479919434,0.2554529011249542,0.16620561480522156,0.23195868730545044,0.30616363883018494,0.28262344002723694,0.18785959482192993,0.10574613511562347
present,0.12091390043497086,0.5244181752204895,0.1892985999584198,0.12950463593006134,0.16049163043498993,0.17780441045761108,0.2453051209449768,0.1891968697309494,0.1596866101026535,0.21759982407093048
different,0.27202165126800537,0.175115704536438,1.0,0.3705708682537079,0.2995844781398773,0.411273330450058,0.3617510497570038,0.22178389132022858,0.1472005546092987,0.24476227164268494
ideas,0.36614203453063965,0.2725943624973297,0.3705708682537079,1.0,0.32697156071662903,0.41118893027305603,0.31791630387306213,0.30292919278144836,0.24911461770534515,0.2857283353805542
about,0.3477841317653656,0.24426420032978058,0.2995844781398773,0.32697156071662903,1.0,0.44264400005340576,0.391953706741333,0.16418863832950592,0.10473937541246414,0.302409827709198
how,0.4070430099964142,0.27753639221191406,0.411273330450058,0.41118893027305603,0.44264400005340576,1.0,0.44169697165489197,0.3311821222305298,0.11521609872579575,0.4024120569229126
to,0.42656609416007996,0.2344801276922226,0.3617510497570038,0.31791630387306213,0.391953706741333,0.44169697165489197,1.0,0.36618009209632874,0.20219381153583527,0.29463258385658264
accomplish,0.34035196900367737,0.2598552107810974,0.22178389132022858,0.30292919278144836,0.16418863832950592,0.3311821222305298,0.36618009209632874,1.0,0.232697531580925,0.2856498062610626
these,0.34544891119003296,0.14204056560993195,0.6184550523757935,0.376097172498703,0.366369366645813,0.41104358434677124,0.46852558851242065,0.2864575684070587,0.15392856299877167,0.2571668326854706
goals,0.17941707372665405,0.14724275469779968,0.1472005546092987,0.24911461770534515,0.10473937541246414,0.11521609872579575,0.20219381153583527,0.232697531580925,1.0,0.16318443417549133
.,0.3541337847709656,0.22113972902297974,0.31511759757995605,0.27593380212783813,0.42038556933403015,0.3287222981452942,0.4645031690597534,0.21241043508052826,0.16114914417266846,0.4130953550338745
,who,presents,different,ideas,about,how,to,accomplish,goals,?
the,0.3733934462070465,0.3075920641422272,0.36412742733955383,0.22381870448589325,0.37995871901512146,0.33890387415885925,0.535392165184021,0.21775546669960022,0.11426310986280441,0.22068053483963013
owner,0.2990386188030243,0.20539596676826477,0.11848095804452896,0.14804759621620178,0.12198714911937714,0.07382692396640778,0.203524649143219,0.08452954143285751,0.09921954572200775,0.1461835652589798
produces,0.05025135725736618,0.3364342451095581,0.27211442589759827,0.1298498958349228,0.22860513627529144,0.2188468873500824,0.20580656826496124,0.10435071587562561,0.08372753113508224,0.17052298784255981
a,0.36608949303627014,0.2874411344528198,0.29175353050231934,0.2439810186624527,0.34171196818351746,0.29312583804130554,0.45503583550453186,0.24860933423042297,0.10896897315979004,0.23916715383529663
