,how,many,people,were,on,the,test,flight,of,the,as-206,?
after,0.23871733248233795,0.2586410939693451,0.24624012410640717,0.36224013566970825,0.39330315589904785,0.4565047025680542,0.15473321080207825,0.190263569355011,0.3867455720901489,0.4565047025680542,0.11241545528173447,0.16608688235282898
an,0.2520636022090912,0.2465583086013794,0.16753636300563812,0.08893381804227829,0.3192969560623169,0.4207492768764496,0.1440606564283371,0.18983928859233856,0.32280945777893066,0.4207492768764496,0.1942090094089508,0.19793890416622162
unmanned,0.16786079108715057,0.14557185769081116,0.10318871587514877,0.22852395474910736,0.2769596576690674,0.19982010126113892,0.31770583987236023,0.44135716557502747,0.1560962200164795,0.19982010126113892,0.14527349174022675,0.20850330591201782
lm,0.21407321095466614,0.14888298511505127,0.11306852102279663,0.1915794014930725,0.21269403398036957,0.25534775853157043,0.2792564630508423,0.2774704098701477,0.15462981164455414,0.25534775853157043,0.2382434606552124,0.2270602136850357
test,0.29576510190963745,0.16006898880004883,0.12227018922567368,0.1422247588634491,0.22242271900177002,0.19235259294509888,1.0000001192092896,0.1700347512960434,0.164191335439682,0.19235259294509888,0.2221500128507614,0.19832737743854523
flight,0.14079724252223969,0.15306435525417328,0.1354691982269287,0.1577250212430954,0.23161520063877106,0.2498224973678589,0.1700347512960434,0.9999999403953552,0.2070007622241974,0.2498224973678589,0.11385224014520645,0.20568472146987915
as-206,0.1742265373468399,0.12070104479789734,0.06513132899999619,0.04267352446913719,0.14843834936618805,0.15663166344165802,0.2221500128507614,0.11385224014520645,0.15680108964443207,0.15663166344165802,1.0,0.25475332140922546
",",0.22659391164779663,0.40610817074775696,0.36644625663757324,0.36755475401878357,0.49057599902153015,0.4933079481124878,0.17614826560020447,0.23669111728668213,0.4946078956127167,0.4933079481124878,0.16434866189956665,0.31091248989105225
a,0.29312583804130554,0.2872205972671509,0.3483705520629883,0.17203083634376526,0.3848365545272827,0.5829201340675354,0.2521366477012634,0.23704352974891663,0.5052502155303955,0.5829201340675354,0.13344579935073853,0.23916715383529663
crew,0.1986125409603119,0.14106041193008423,0.21542808413505554,0.2108691781759262,0.24291740357875824,0.25329816341400146,0.1455637514591217,0.4442804455757141,0.20427432656288147,0.25329816341400146,0.17666909098625183,0.16586194932460785
would,0.43239715695381165,0.33440667390823364,0.3082716464996338,0.37426912784576416,0.35589995980262756,0.4133751392364502,0.2052721232175827,0.12406906485557556,0.3353942930698395,0.4133751392364502,0.19907130300998688,0.37178951501846313
fly,0.21961075067520142,0.19290287792682648,0.13782094419002533,0.14393925666809082,0.2057695835828781,0.20774713158607483,0.22063685953617096,0.5408509969711304,0.14926287531852722,0.20774713158607483,0.1947353184223175,0.14858663082122803
the,0.33890387415885925,0.4335206151008606,0.36838498711586,0.3906462490558624,0.5107308030128479,1.0,0.19235259294509888,0.2498224973678589,0.733189046382904,1.0,0.15663166344165802,0.22068053483963013
first,0.27731001377105713,0.2931244373321533,0.19699515402317047,0.3285558819770813,0.3120559751987457,0.49448907375335693,0.2889637351036072,0.23871742188930511,0.3536086082458496,0.49448907375335693,0.17596878111362457,0.18701928853988647
block,0.28504183888435364,0.17152369022369385,0.06984736025333405,0.09141441434621811,0.27317050099372864,0.20056472718715668,0.20115959644317627,0.0572073794901371,0.1477721929550171,0.20056472718715668,0.10088004916906357,0.27211859822273254
