,what,seldom,used,term,of,a,unit,of,force,equal,to,1000,pound,s,of,force,?
other,0.341873437166214,0.33177831768989563,0.3574926257133484,0.24595949053764343,0.38583824038505554,0.2806335389614105,0.15970627963542938,0.38583824038505554,0.1906614750623703,0.28069862723350525,0.4193183183670044,0.10759349912405014,0.13690300285816193,0.25506797432899475,0.38583824038505554,0.1906614750623703,0.24682199954986572
arcane,0.20767979323863983,0.23068119585514069,0.23593077063560486,0.05925837159156799,0.2509338855743408,0.19297124445438385,0.014796741306781769,0.2509338855743408,0.07831820845603943,0.11355920881032944,0.21215282380580902,0.19768378138542175,0.1624128222465515,0.12053962051868439,0.2509338855743408,0.07831820845603943,0.09699777513742447
units,0.1804584264755249,0.1633778214454651,0.29663047194480896,0.1962732970714569,0.2597769498825073,0.2457057684659958,0.7486259937286377,0.2597769498825073,0.32286572456359863,0.3603520393371582,0.22514180839061737,-0.03634440898895264,0.3278016149997711,0.20832325518131256,0.2597769498825073,0.32286572456359863,0.089388407766819
of,0.33290785551071167,0.18973779678344727,0.3075267970561981,0.26047757267951965,1.0,0.5052502155303955,0.26649972796440125,1.0,0.27094775438308716,0.2787107825279236,0.41548454761505127,0.24938245117664337,0.17173300683498383,0.42263656854629517,1.0,0.27094775438308716,0.1826142966747284
force,0.16915984451770782,0.13778181374073029,0.19033478200435638,0.09040889143943787,0.27094775438308716,0.2451154738664627,0.31507182121276855,0.27094775438308716,1.0000001192092896,0.3049435019493103,0.24496492743492126,0.06897513568401337,0.24994120001792908,0.18527796864509583,0.27094775438308716,1.0000001192092896,0.1650998443365097
include,0.1535889357328415,0.19154585897922516,0.3024999499320984,0.16474132239818573,0.37431180477142334,0.18765322864055634,0.12054608017206192,0.37431180477142334,0.09877561777830124,0.14138449728488922,0.1820748895406723,0.12925057113170624,0.11056403070688248,0.2167738974094391,0.37431180477142334,0.09877561777830124,0.14925788342952728
the,0.42745697498321533,0.2849511206150055,0.3718377649784088,0.2740369141101837,0.733189046382904,0.5829201340675354,0.24230392277240753,0.733189046382904,0.2800885736942291,0.21154357492923737,0.535392165184021,0.17211811244487762,0.20860230922698975,0.46610721945762634,0.733189046382904,0.2800885736942291,0.22068053483963013
sthène,0.20393842458724976,0.2340438961982727,0.2412208616733551,0.17604555189609528,0.3323003947734833,0.3457130789756775,0.19662511348724365,0.3323003947734833,0.2348983883857727,0.164005845785141,0.28609398007392883,0.3601442277431488,0.22172041237354279,0.286930650472641,0.3323003947734833,0.2348983883857727,0.2777254283428192
",",0.3087472915649414,0.23801246285438538,0.3120402991771698,0.21599270403385162,0.4946078956127167,0.427140474319458,0.22452907264232635,0.4946078956127167,0.22091743350028992,0.2120320051908493,0.44245919585227966,0.1874498575925827,0.22972439229488373,0.361433744430542,0.4946078956127167,0.22091743350028992,0.31091248989105225
which,0.5261979103088379,0.3776809573173523,0.414506196975708,0.3138839900493622,0.5011631846427917,0.56894451379776,0.2437334656715393,0.5011631846427917,0.22571609914302826,0.26968082785606384,0.5345056653022766,0.1123858168721199,0.24646368622779846,0.3599644899368286,0.5011631846427917,0.22571609914302826,0.25814583897590637
is,0.28837618231773376,0.21450664103031158,0.3288823366165161,0.270183801651001,0.4854315221309662,0.658733606338501,0.1913307011127472,0.4854315221309662,0.22036980092525482,0.20287640392780304,0.42745086550712585,0.07894288003444672,0.18582355976104736,0.3467119336128235,0.4854315221309662,0.22036980092525482,0.22961433231830597
equivalent,0.1903919279575348,0.19995373487472534,0.32193461060523987,0.3175031244754791,0.294894814491272,0.2775270342826843,0.29942455887794495,0.294894814491272,0.2235725373029709,0.4044036865234375,0.2572562098503113,0.09476996958255768,0.33705902099609375,0.1942204236984253,0.294894814491272,0.2235725373029709,0.19755122065544128
to,0.455847829580307,0.3013942539691925,0.40058770775794983,0.3310292959213257,0.41548454761505127,0.45503583550453186,0.19828897714614868,0.41548454761505127,0.24496492743492126,0.28325995802879333,1.0,0.15657290816307068,0.2141701877117157,0.35941416025161743,0.41548454761505127,0.24496492743492126,0.29463258385658264
1000,0.1520967036485672,0.1688094288110733,0.1104561910033226,0.12785394489765167,0.24938245117664337,0.20077547430992126,-0.015775319188833237,0.24938245117664337,0.06897513568401337,0.09155474603176117,0.15657290816307068,1.0000001192092896,0.05618450045585632,0.18374167382717133,0.24938245117664337,0.06897513568401337,0.13314302265644073
