,the,2012,study,showed,teachers,experienced,more,stress,than,whom,?
a,0.5829201340675354,0.3774794936180115,0.2268155962228775,0.2502788305282593,0.2509842813014984,0.2929893136024475,0.3452818691730499,0.2622493505477905,0.3126874566078186,0.21455949544906616,0.23916715383529663
2012,0.46885523200035095,1.0,0.17026697099208832,0.1455121487379074,0.17822803556919098,0.1968039721250534,0.24289831519126892,0.18100880086421967,0.26248160004615784,0.2444571554660797,0.18042556941509247
study,0.2533665597438812,0.17026697099208832,1.0,0.3757478892803192,0.39217743277549744,0.19499561190605164,0.26127007603645325,0.23551760613918304,0.20619742572307587,0.07180221378803253,0.15902167558670044
found,0.3452354073524475,0.3041914701461792,0.27707019448280334,0.32668524980545044,0.1216108575463295,0.18671438097953796,0.23245514929294586,0.19137585163116455,0.21039707958698273,0.09015209972858429,0.16790300607681274
that,0.5473989248275757,0.32257330417633057,0.31241273880004883,0.3511183559894562,0.24071024358272552,0.35866454243659973,0.4813884496688843,0.3288060426712036,0.4891277849674225,0.3278515338897705,0.32716336846351624
teachers,0.22025763988494873,0.17822803556919098,0.39217743277549744,0.17424191534519196,1.0,0.2897479832172394,0.22816872596740723,0.23215338587760925,0.19273844361305237,0.2711348235607147,0.19522249698638916
experienced,0.26857760548591614,0.1968039721250534,0.19499561190605164,0.2669306695461273,0.2897479832172394,1.0,0.3845520615577698,0.3904794752597809,0.32984262704849243,0.2516258656978607,0.23420310020446777
double,0.21355170011520386,0.149654358625412,0.09148380160331726,0.16224689781665802,0.10833591967821121,0.13372983038425446,0.21748901903629303,0.14534196257591248,0.2166229635477066,0.10200317949056625,0.10017921775579453
the,1.0,0.46885523200035095,0.2533665597438812,0.3101346790790558,0.22025763988494873,0.26857760548591614,0.39758381247520447,0.18694822490215302,0.3227543234825134,0.23752936720848083,0.22068053483963013
rate,0.24881242215633392,0.16102345287799835,0.2161191999912262,0.22874534130096436,0.12415320426225662,0.234929159283638,0.29550841450691223,0.3075088560581207,0.2922893166542053,0.0648166686296463,0.1308269053697586
of,0.733189046382904,0.4422316551208496,0.29377859830856323,0.31843405961990356,0.27737662196159363,0.2707912027835846,0.30478984117507935,0.1941838562488556,0.33036211133003235,0.2070929855108261,0.1826142966747284
anxiety,0.15573549270629883,0.12934018671512604,0.21203714609146118,0.2393980473279953,0.21477273106575012,0.3793240785598755,0.2571486234664917,0.5541159510612488,0.18285000324249268,0.18905922770500183,0.2580653429031372
",",0.4933079481124878,0.42079734802246094,0.26425549387931824,0.2312069833278656,0.28049156069755554,0.23702472448349,0.3696524500846863,0.17927385866641998,0.3371901512145996,0.25587570667266846,0.31091248989105225
depression,0.18764227628707886,0.19090016186237335,0.23182573914527893,0.2779931426048279,0.19746436178684235,0.3017890155315399,0.21705688536167145,0.39123106002807617,0.17039689421653748,0.11009089648723602,0.14480754733085632
",",0.4933079481124878,0.42079734802246094,0.26425549387931824,0.2312069833278656,0.28049156069755554,0.23702472448349,0.3696524500846863,0.17927385866641998,0.3371901512145996,0.25587570667266846,0.31091248989105225
and,0.5171257257461548,0.38536936044692993,0.300253301858902,0.2900308668613434,0.28640416264533997,0.2652275860309601,0.39880692958831787,0.20368480682373047,0.39361441135406494,0.3148667514324188,0.20544172823429108
stress,0.18694822490215302,0.18100880086421967,0.23551760613918304,0.22936522960662842,0.23215338587760925,0.3904794752597809,0.2673150897026062,1.0000001192092896,0.21040426194667816,0.13886982202529907,0.2845553457736969
than,0.3227543234825134,0.26248160004615784,0.20619742572307587,0.24519620835781097,0.19273844361305237,0.32984262704849243,0.726518988609314,0.21040426194667816,1.0,0.22170931100845337,0.24917294085025787
average,0.27058175206184387,0.24257296323776245,0.20847341418266296,0.23743145167827606,0.18556272983551025,0.2628011405467987,0.28232842683792114,0.22898676991462708,0.35461297631263733,0.13661505281925201,0.21764592826366425
workers,0.23066683113574982,0.18690478801727295,0.18555478751659393,0.14853811264038086,0.3730499744415283,0.27817302942276,0.24038028717041016,0.22917163372039795,0.20744097232818604,0.15867739915847778,0.1706571877002716
.,0.5934505462646484,0.37805238366127014,0.23432257771492004,0.28805166482925415,0.24628326296806335,0.2562049627304077,0.4070230722427368,0.2121095210313797,0.3594527542591095,0.26115289330482483,0.4130953550338745
