,in,2005,",",approximately,how,many,congregations,were,in,the,umc,?
in,1.0,0.009931974112987518,0.5201468467712402,0.3145860731601715,0.2601168751716614,0.41474202275276184,0.23420320451259613,0.3815755248069763,1.0,0.6662389636039734,0.15436193346977234,0.20430970191955566
2005,0.009931974112987518,1.0,0.11050146818161011,0.05225576460361481,0.03437461704015732,0.10787120461463928,0.10378341376781464,0.14405988156795502,0.009931974112987518,0.037273142486810684,-0.07882994413375854,0.10709824413061142
",",0.5201468467712402,0.11050146818161011,1.0000001192092896,0.3057648837566376,0.22659391164779663,0.40610817074775696,0.23915895819664001,0.36755475401878357,0.5201468467712402,0.4933079481124878,0.1953766793012619,0.31091248989105225
there,0.5361666083335876,0.04571054130792618,0.4587128460407257,0.2711881697177887,0.3328511416912079,0.4993700683116913,0.25117766857147217,0.4359818994998932,0.5361666083335876,0.47025805711746216,0.20561887323856354,0.29405656456947327
were,0.3815755248069763,0.14405988156795502,0.36755475401878357,0.2386978566646576,0.2082374095916748,0.4804460406303406,0.28174203634262085,1.0000001192092896,0.3815755248069763,0.3906462490558624,0.14944110810756683,0.17890112102031708
about,0.39797019958496094,0.0832323357462883,0.3877100944519043,0.4354960322380066,0.44264400005340576,0.3800397515296936,0.15405622124671936,0.29814305901527405,0.39797019958496094,0.37995871901512146,0.15640805661678314,0.302409827709198
8,-0.05886392667889595,-0.017520546913146973,-0.02218378335237503,0.002757901092991233,-0.009672639891505241,-0.018996136263012886,-0.03869310021400452,-0.03923911228775978,-0.05886392667889595,0.0063715726137161255,0.09123514592647552,-0.04056251794099808
million,0.2596224844455719,0.11316007375717163,0.24451690912246704,0.5136328339576721,0.21114659309387207,0.3520967364311218,0.23987233638763428,0.25957414507865906,0.2596224844455719,0.277012437582016,0.13582287728786469,0.23092924058437347
members,0.196792870759964,-0.01358565129339695,0.2357054501771927,0.22142542898654938,0.20418256521224976,0.25127971172332764,0.38909053802490234,0.30637234449386597,0.196792870759964,0.3321719169616699,0.2014501541852951,0.10212311148643494
in,1.0,0.009931974112987518,0.5201468467712402,0.3145860731601715,0.2601168751716614,0.41474202275276184,0.23420320451259613,0.3815755248069763,1.0,0.6662389636039734,0.15436193346977234,0.20430970191955566
over,0.3605569899082184,0.057552311569452286,0.3301127254962921,0.41201671957969666,0.31446483731269836,0.47131630778312683,0.20776906609535217,0.30589473247528076,0.3605569899082184,0.39856547117233276,0.12695449590682983,0.25742942094802856
"34,000",-0.02036162279546261,0.047472137957811356,0.01746179349720478,-0.22942128777503967,-0.013907449319958687,-0.05505569279193878,-0.008288304321467876,-0.09456327557563782,-0.02036162279546261,-0.007810243871062994,-0.07208564132452011,0.018783744424581528
congregations,0.23420320451259613,0.10378341376781464,0.23915895819664001,0.1821935623884201,0.14111115038394928,0.31751418113708496,1.0000001192092896,0.28174203634262085,0.23420320451259613,0.28595808148384094,0.33521756529808044,0.18817296624183655
.,0.5591574311256409,0.0678042471408844,0.6812511086463928,0.27396154403686523,0.3287222981452942,0.3974229395389557,0.2834881842136383,0.3378238379955292,0.5591574311256409,0.5934505462646484,0.23154163360595703,0.4130953550338745
