,how,are,decisions,made,on,behave,of,the,eu,made,?
decisions,0.3485013246536255,0.29976803064346313,1.0,0.28317946195602417,0.2803441882133484,0.31430840492248535,0.2881335914134979,0.30538004636764526,0.2608168125152588,0.28317946195602417,0.29068708419799805
are,0.311818927526474,1.0,0.29976803064346313,0.2941095530986786,0.268924742937088,0.4082815647125244,0.39081433415412903,0.40399202704429626,0.13638608157634735,0.2941095530986786,0.24591213464736938
taken,0.22504179179668427,0.20997759699821472,0.2952952980995178,0.3249737322330475,0.20865710079669952,0.19705918431282043,0.2889742851257324,0.3309854567050934,0.099356509745121,0.3249737322330475,0.17662954330444336
by,0.34370526671409607,0.37842893600463867,0.2826089859008789,0.34175434708595276,0.33887791633605957,0.22720716893672943,0.3646814823150635,0.4408751428127289,0.07193604856729507,0.34175434708595276,0.17966607213020325
a,0.29312583804130554,0.265255331993103,0.221125528216362,0.3180864453315735,0.3848365545272827,0.28601765632629395,0.5052502155303955,0.5829201340675354,0.13932566344738007,0.3180864453315735,0.23916715383529663
simple,0.40932103991508484,0.3569783866405487,0.2517976462841034,0.2433152049779892,0.2851913571357727,0.3888879418373108,0.23205730319023132,0.24738673865795135,0.21926666796207428,0.2433152049779892,0.4614735543727875
majority,0.20073412358760834,0.3146342635154724,0.3587948679924011,0.1756361424922943,0.20937225222587585,0.2234087586402893,0.29706597328186035,0.28757327795028687,0.25117191672325134,0.1756361424922943,0.220119908452034
vote,0.2566540539264679,0.20448122918605804,0.40861764550209045,0.18324166536331177,0.23685438930988312,0.20441406965255737,0.19845709204673767,0.22779929637908936,0.2779186964035034,0.18324166536331177,0.2888886630535126
",",0.22659391164779663,0.4062570035457611,0.28079578280448914,0.32507219910621643,0.49057599902153015,0.2251657247543335,0.4946078956127167,0.4933079481124878,0.1565755307674408,0.32507219910621643,0.31091248989105225
usually,0.36801108717918396,0.5635237097740173,0.289519727230072,0.2806141674518585,0.25784361362457275,0.3717929422855377,0.33931583166122437,0.36782920360565186,0.13007594645023346,0.2806141674518585,0.19435347616672516
through,0.2704794108867645,0.2637137472629547,0.2024482935667038,0.23296959698200226,0.32785001397132874,0.271106481552124,0.3647414743900299,0.44071322679519653,0.07934322208166122,0.23296959698200226,0.16913433372974396
a,0.29312583804130554,0.265255331993103,0.221125528216362,0.3180864453315735,0.3848365545272827,0.28601765632629395,0.5052502155303955,0.5829201340675354,0.13932566344738007,0.3180864453315735,0.23916715383529663
``,-0.01591024175286293,0.12624181807041168,0.09921471774578094,-0.0342245027422905,-0.03274054825305939,0.06496085226535797,0.06780257821083069,0.029072100296616554,0.179834246635437,-0.0342245027422905,0.0685480609536171
written,0.2370033860206604,0.19747711718082428,0.19594497978687286,0.2606581747531891,0.19147278368473053,0.13105344772338867,0.20874574780464172,0.2582438886165619,0.018511507660150528,0.2606581747531891,0.21451954543590546
procedure,0.3067810535430908,0.25486913323402405,0.3959534466266632,0.15549220144748688,0.2100030481815338,0.2756083905696869,0.19142384827136993,0.2383023202419281,0.27966177463531494,0.15549220144748688,0.2520322799682617
'',-0.0029843549709767103,0.0263817198574543,0.0325583852827549,0.014119047671556473,0.04238596186041832,0.02081773430109024,0.13035868108272552,0.041273195296525955,0.0652511790394783,0.014119047671556473,0.018684765323996544
of,0.2480744868516922,0.39081433415412903,0.2881335914134979,0.33167365193367004,0.3966929316520691,0.23343007266521454,1.0,0.733189046382904,0.1579294353723526,0.33167365193367004,0.1826142966747284
circulating,0.22053396701812744,0.2427019625902176,0.18958047032356262,0.16112050414085388,0.26693886518478394,0.12162964046001434,0.24180035293102264,0.2951548099517822,0.21483054757118225,0.16112050414085388,0.13994100689888
the,0.33890387415885925,0.40399202704429626,0.30538004636764526,0.3885267674922943,0.5107308030128479,0.27291569113731384,0.733189046382904,1.0,0.14126400649547577,0.3885267674922943,0.22068053483963013
proposals,0.23331500589847565,0.23465047776699066,0.43274083733558655,0.18684829771518707,0.27595654129981995,0.1518259048461914,0.23930084705352783,0.2984413504600525,0.27749815583229065,0.18684829771518707,0.3097764849662781
and,0.33647966384887695,0.48576638102531433,0.26008281111717224,0.34954607486724854,0.4077630043029785,0.32866305112838745,0.5116966962814331,0.5171257257461548,0.16977795958518982,0.34954607486724854,0.20544172823429108
adopting,0.23638546466827393,0.17418326437473297,0.2990163564682007,0.18438519537448883,0.22629554569721222,0.2564089298248291,0.24967004358768463,0.24929948151111603,0.22032347321510315,0.18438519537448883,0.21285787224769592
if,0.4917012155056,0.32547882199287415,0.32249385118484497,0.22059454023838043,0.24549968540668488,0.4468763470649719,0.2557544410228729,0.33724796772003174,0.17847009003162384,0.22059454023838043,0.4441644251346588
there,0.3328511416912079,0.5433560013771057,0.26326456665992737,0.33825674653053284,0.3521401882171631,0.2898752987384796,0.44397735595703125,0.47025805711746216,0.0963774099946022,0.33825674653053284,0.29405656456947327
are,0.311818927526474,1.0,0.29976803064346313,0.2941095530986786,0.268924742937088,0.4082815647125244,0.39081433415412903,0.40399202704429626,0.13638608157634735,0.2941095530986786,0.24591213464736938
no,0.2603875398635864,0.2432553917169571,0.24871470034122467,0.3943485915660858,0.3244728446006775,0.27988308668136597,0.24809792637825012,0.3461136817932129,0.14767791330814362,0.3943485915660858,0.32165053486824036
objections,0.40593621134757996,0.2704077661037445,0.44448667764663696,0.24932967126369476,0.32489603757858276,0.32829174399375916,0.2147306650876999,0.23348554968833923,0.1877744346857071,0.24932967126369476,0.42487382888793945
.,0.3287222981452942,0.3452940285205841,0.3100549876689911,0.4032190144062042,0.49257001280784607,0.3336504101753235,0.5352458953857422,0.5934505462646484,0.1552242487668991,0.4032190144062042,0.4130953550338745
