,what,antibody,is,transported,from,the,mother,to,baby,across,the,placenta,?
during,0.24137552082538605,0.12064898759126663,0.2240111529827118,0.23861417174339294,0.3186885714530945,0.4838213622570038,0.24041631817817688,0.2828781306743622,0.1843748539686203,0.2625342309474945,0.4838213622570038,0.2599925994873047,0.1325719803571701
pregnancy,0.24451294541358948,0.3387379050254822,0.2203264832496643,0.18044330179691315,0.2044551968574524,0.254552960395813,0.4030627906322479,0.23292505741119385,0.4163592457771301,0.14814306795597076,0.254552960395813,0.5104324221611023,0.22192636132240295
",",0.3087472915649414,0.13419312238693237,0.4691906273365021,0.250394731760025,0.39760664105415344,0.4933079481124878,0.30403390526771545,0.44245919585227966,0.23778453469276428,0.22515052556991577,0.4933079481124878,0.19092057645320892,0.31091248989105225
a,0.3320399522781372,0.28199008107185364,0.658733606338501,0.22335171699523926,0.322764128446579,0.5829201340675354,0.2082238644361496,0.45503583550453186,0.2611815929412842,0.2660536468029022,0.5829201340675354,0.2354949414730072,0.23916715383529663
particular,0.4548671245574951,0.32695460319519043,0.3500361442565918,0.21692849695682526,0.2334175556898117,0.4066357910633087,0.14753457903862,0.40318208932876587,0.09057246893644333,0.2478359043598175,0.4066357910633087,0.23503150045871735,0.2741454839706421
type,0.2722663879394531,0.27380919456481934,0.3053323030471802,0.17230068147182465,0.1559610366821289,0.21819381415843964,0.09477662295103073,0.19930607080459595,0.11189406365156174,0.14037594199180603,0.21819381415843964,0.20892035961151123,0.17536182701587677
of,0.33290785551071167,0.2244306057691574,0.4854315221309662,0.26284846663475037,0.4249346852302551,0.733189046382904,0.2170739620923996,0.41548454761505127,0.13266463577747345,0.2936134934425354,0.733189046382904,0.22885462641716003,0.1826142966747284
antibody,0.1906609684228897,1.0,0.20774729549884796,0.22252072393894196,0.12145325541496277,0.23062217235565186,0.14341606199741364,0.21433036029338837,0.20329056680202484,0.19217780232429504,0.23062217235565186,0.39073464274406433,0.21013349294662476
",",0.3087472915649414,0.13419312238693237,0.4691906273365021,0.250394731760025,0.39760664105415344,0.4933079481124878,0.30403390526771545,0.44245919585227966,0.23778453469276428,0.22515052556991577,0.4933079481124878,0.19092057645320892,0.31091248989105225
called,0.3235960602760315,0.21675941348075867,0.430266410112381,0.2320171743631363,0.2703215777873993,0.489897221326828,0.16461864113807678,0.2987143397331238,0.22130146622657776,0.19607765972614288,0.489897221326828,0.2715306580066681,0.18963319063186646
igg,0.2295844703912735,0.29849904775619507,0.142403706908226,0.048899054527282715,0.12290356308221817,0.19636006653308868,0.2248946577310562,0.16031982004642487,0.2807866036891937,0.0569026805460453,0.19636006653308868,0.19241666793823242,0.21167291700839996
",",0.3087472915649414,0.13419312238693237,0.4691906273365021,0.250394731760025,0.39760664105415344,0.4933079481124878,0.30403390526771545,0.44245919585227966,0.23778453469276428,0.22515052556991577,0.4933079481124878,0.19092057645320892,0.31091248989105225
is,0.28837618231773376,0.20774729549884796,1.0,0.18983562290668488,0.27355384826660156,0.5823672413825989,0.2014552503824234,0.42745086550712585,0.19820545613765717,0.21617691218852997,0.5823672413825989,0.22630535066127777,0.22961433231830597
transported,0.17293962836265564,0.22252072393894196,0.18983562290668488,1.0,0.2931711971759796,0.2550795376300812,0.13347911834716797,0.24132387340068817,0.1840655654668808,0.3510821759700775,0.2550795376300812,0.27779707312583923,0.1354173868894577
from,0.2737620174884796,0.12145325541496277,0.27355384826660156,0.2931711971759796,1.0,0.40150508284568787,0.20262682437896729,0.4069952368736267,0.1448538601398468,0.35845574736595154,0.40150508284568787,0.23999851942062378,0.19969791173934937
mother,0.20282095670700073,0.14341606199741364,0.2014552503824234,0.13347911834716797,0.20262682437896729,0.22516992688179016,1.0,0.2733205258846283,0.4513326585292816,0.17653033137321472,0.22516992688179016,0.41309767961502075,0.15180644392967224
to,0.455847829580307,0.21433036029338837,0.42745086550712585,0.24132387340068817,0.4069952368736267,0.535392165184021,0.2733205258846283,1.0,0.22451195120811462,0.36818596720695496,0.535392165184021,0.2846689820289612,0.29463258385658264
baby,0.19290755689144135,0.20329056680202484,0.19820545613765717,0.1840655654668808,0.1448538601398468,0.2021849900484085,0.4513326585292816,0.22451195120811462,1.0000001192092896,0.12224464118480682,0.2021849900484085,0.4041875898838043,0.2293778508901596
directly,0.3618607521057129,0.19589681923389435,0.2819631099700928,0.2746356725692749,0.36858826875686646,0.4502958655357361,0.16467934846878052,0.46690139174461365,0.1301673799753189,0.3694310784339905,0.4502958655357361,0.2906634509563446,0.2187996357679367
across,0.24809791147708893,0.19217780232429504,0.21617691218852997,0.3510821759700775,0.35845574736595154,0.3816230297088623,0.17653033137321472,0.36818596720695496,0.12224464118480682,1.0,0.3816230297088623,0.2749989330768585,0.17034576833248138
the,0.42745697498321533,0.23062217235565186,0.5823672413825989,0.2550795376300812,0.40150508284568787,1.0,0.22516992688179016,0.535392165184021,0.2021849900484085,0.3816230297088623,1.0,0.30205047130584717,0.22068053483963013
placenta,0.22183673083782196,0.39073464274406433,0.22630535066127777,0.27779707312583923,0.23999851942062378,0.30205047130584717,0.41309767961502075,0.2846689820289612,0.4041875898838043,0.2749989330768585,0.30205047130584717,1.0000001192092896,0.16424551606178284
",",0.3087472915649414,0.13419312238693237,0.4691906273365021,0.250394731760025,0.39760664105415344,0.4933079481124878,0.30403390526771545,0.44245919585227966,0.23778453469276428,0.22515052556991577,0.4933079481124878,0.19092057645320892,0.31091248989105225
so,0.539469838142395,0.2537572383880615,0.3153412640094757,0.3057551681995392,0.2813224494457245,0.4296516180038452,0.21555465459823608,0.5091881155967712,0.26334869861602783,0.3302064836025238,0.4296516180038452,0.2879960536956787,0.43163934350013733
human,0.24243313074111938,0.32332950830459595,0.22481991350650787,0.1959271878004074,0.1504075527191162,0.3103327453136444,0.15865124762058258,0.25612473487854004,0.24445293843746185,0.16100001335144043,0.3103327453136444,0.250846803188324,0.19748784601688385
babies,0.22988256812095642,0.26647359132766724,0.20004726946353912,0.1769537329673767,0.11118188500404358,0.18801814317703247,0.3751775324344635,0.22118473052978516,0.6259311437606812,0.10450596362352371,0.18801814317703247,0.4731915295124054,0.2044396996498108
