,who,published,the,state,of,the,planet,2008-2009,report,?
michael,0.24782328307628632,0.12009977549314499,0.21768254041671753,0.1378418356180191,0.18215155601501465,0.21768254041671753,0.12577994167804718,0.15167385339736938,0.12676484882831573,0.0667748749256134
oppenheimer,0.2490662783384323,0.2671797573566437,0.22377723455429077,0.16159690916538239,0.23665529489517212,0.22377723455429077,0.21082265675067902,0.07958672195672989,0.29821091890335083,0.24337561428546906
",",0.3365725874900818,0.2937801778316498,0.4933079481124878,0.29481780529022217,0.4946078956127167,0.4933079481124878,0.19326971471309662,-0.013543461449444294,0.250803142786026,0.31091248989105225
a,0.36608949303627014,0.1993555724620819,0.5829201340675354,0.25097307562828064,0.5052502155303955,0.5829201340675354,0.2580089867115021,-0.092229463160038,0.2148611694574356,0.23916715383529663
long-time,0.264879435300827,0.2522026300430298,0.3677595555782318,0.22544631361961365,0.3055324852466583,0.3677595555782318,0.24211275577545166,-0.039914943277835846,0.23337651789188385,0.2553507387638092
participant,0.3111186623573303,0.17250220477581024,0.2642895579338074,0.1836402714252472,0.2074148952960968,0.2642895579338074,0.15901891887187958,0.06532268971204758,0.17493115365505219,0.150935098528862
in,0.2792111933231354,0.26697060465812683,0.6662389636039734,0.33316072821617126,0.5696388483047485,0.6662389636039734,0.18041402101516724,0.04743505269289017,0.204250767827034,0.20430970191955566
the,0.3733934462070465,0.22017472982406616,1.0,0.3097178041934967,0.733189046382904,1.0,0.2470240592956543,-0.030424339696764946,0.2556745111942291,0.22068053483963013
ipcc,0.21932992339134216,0.33862897753715515,0.24925659596920013,0.15148897469043732,0.20174051821231842,0.24925659596920013,0.2495071291923523,-0.09292633831501007,0.4727894961833954,0.22295254468917847
and,0.41279885172843933,0.22629010677337646,0.5171257257461548,0.2653750479221344,0.5116966962814331,0.5171257257461548,0.21885086596012115,-0.055193085223436356,0.20391902327537537,0.20544172823429108
coordinating,0.13873086869716644,0.1632848083972931,0.2802852392196655,0.18998007476329803,0.2537423074245453,0.2802852392196655,0.15743151307106018,-0.12678229808807373,0.2840683162212372,0.16846343874931335
lead,0.19455209374427795,0.04276521876454353,0.21995973587036133,0.1806851029396057,0.19835850596427917,0.21995973587036133,0.11696814745664597,-0.011178108863532543,0.19810797274112701,0.14552436769008636
author,0.23989170789718628,0.36714574694633484,0.199458509683609,0.16795401275157928,0.18473520874977112,0.199458509683609,0.11546576023101807,0.10297511518001556,0.24105529487133026,0.14162757992744446
of,0.2827862501144409,0.23023100197315216,0.733189046382904,0.34253445267677307,1.0,0.733189046382904,0.19911958277225494,-0.02860206924378872,0.22992923855781555,0.1826142966747284
the,0.3733934462070465,0.22017472982406616,1.0,0.3097178041934967,0.733189046382904,1.0,0.2470240592956543,-0.030424339696764946,0.2556745111942291,0.22068053483963013
fifth,0.19030998647212982,0.177874356508255,0.39293691515922546,0.17421555519104004,0.26401761174201965,0.39293691515922546,0.13336417078971863,0.045476071536540985,0.16881214082241058,0.13128890097141266
assessment,0.18082007765769958,0.3234805762767792,0.28427207469940186,0.23436221480369568,0.284860223531723,0.28427207469940186,0.19047164916992188,-0.07398867607116699,0.4765056371688843,0.22666098177433014
report,0.17796188592910767,0.3798125088214874,0.2556745111942291,0.24297620356082916,0.22992923855781555,0.2556745111942291,0.1280629187822342,-0.10439299792051315,0.9999998807907104,0.3138936758041382
conceded,0.2011159062385559,0.2302924543619156,0.29454848170280457,0.26540476083755493,0.24626518785953522,0.29454848170280457,0.11365769803524017,-0.062441274523735046,0.17029717564582825,0.23769798874855042
in,0.2792111933231354,0.26697060465812683,0.6662389636039734,0.33316072821617126,0.5696388483047485,0.6662389636039734,0.18041402101516724,0.04743505269289017,0.204250767827034,0.20430970191955566
science,0.19709691405296326,0.27250435948371887,0.24037593603134155,0.21318043768405914,0.2616958022117615,0.24037593603134155,0.3311675488948822,-0.055009614676237106,0.1875964254140854,0.17974960803985596
magazine,0.21138475835323334,0.46629855036735535,0.19931171834468842,0.1274929791688919,0.16736742854118347,0.19931171834468842,0.17850688099861145,0.017276689410209656,0.26647865772247314,0.15570664405822754
's,0.05599616840481758,0.01244857907295227,-0.01540423184633255,0.038451772183179855,-0.03817026689648628,-0.01540423184633255,-0.040571004152297974,0.04137394577264786,-0.0383719876408577,-0.023395681753754616
state,0.15636613965034485,0.13955633342266083,0.3097178041934967,1.0,0.34253445267677307,0.3097178041934967,0.1370636522769928,-0.0006158349569886923,0.24297620356082916,0.1160883978009224
of,0.2827862501144409,0.23023100197315216,0.733189046382904,0.34253445267677307,1.0,0.733189046382904,0.19911958277225494,-0.02860206924378872,0.22992923855781555,0.1826142966747284
the,0.3733934462070465,0.22017472982406616,1.0,0.3097178041934967,0.733189046382904,1.0,0.2470240592956543,-0.030424339696764946,0.2556745111942291,0.22068053483963013
planet,0.21450060606002808,0.16623541712760925,0.2470240592956543,0.1370636522769928,0.19911958277225494,0.2470240592956543,1.0,-0.18146578967571259,0.1280629187822342,0.16979767382144928
2008-2009,0.02188277058303356,0.09391238540410995,-0.030424339696764946,-0.0006158349569886923,-0.02860206924378872,-0.030424339696764946,-0.18146578967571259,1.0000001192092896,-0.10439299792051315,-0.11141005158424377
some,0.3978389501571655,0.1945868283510208,0.4566698372364044,0.23220913112163544,0.4300730526447296,0.4566698372364044,0.18883998692035675,-0.17955069243907928,0.2257862091064453,0.2562315762042999
limitations,0.23268291354179382,0.23307669162750244,0.26554352045059204,0.20680110156536102,0.30837908387184143,0.26554352045059204,0.19327253103256226,-0.16253583133220673,0.2786441445350647,0.2837134301662445
of,0.2827862501144409,0.23023100197315216,0.733189046382904,0.34253445267677307,1.0,0.733189046382904,0.19911958277225494,-0.02860206924378872,0.22992923855781555,0.1826142966747284
the,0.3733934462070465,0.22017472982406616,1.0,0.3097178041934967,0.733189046382904,1.0,0.2470240592956543,-0.030424339696764946,0.2556745111942291,0.22068053483963013
ipcc,0.21932992339134216,0.33862897753715515,0.24925659596920013,0.15148897469043732,0.20174051821231842,0.24925659596920013,0.2495071291923523,-0.09292633831501007,0.4727894961833954,0.22295254468917847
consensus,0.22854581475257874,0.10956297814846039,0.2295674830675125,0.2007758915424347,0.14788506925106049,0.2295674830675125,0.15339989960193634,-0.14546798169612885,0.2598782479763031,0.3630031645298004
approach,0.11279846727848053,0.18573857843875885,0.1999826431274414,0.11461769044399261,0.20773443579673767,0.1999826431274414,0.2315022349357605,-0.2493373453617096,0.2768469750881195,0.181949645280838
and,0.41279885172843933,0.22629010677337646,0.5171257257461548,0.2653750479221344,0.5116966962814331,0.5171257257461548,0.21885086596012115,-0.055193085223436356,0.20391902327537537,0.20544172823429108
asks,0.3658392131328583,0.1689525544643402,0.25574448704719543,0.10225983709096909,0.22634769976139069,0.25574448704719543,0.22827422618865967,-0.01641099341213703,0.2160951793193817,0.29930803179740906
for,0.37110671401023865,0.21304498612880707,0.4739971458911896,0.19460363686084747,0.4185989499092102,0.4739971458911896,0.1996491700410843,-0.04835993051528931,0.2216007560491562,0.264628142118454
concurring,0.22427192330360413,0.22779174149036407,0.2941003143787384,0.24506868422031403,0.28348755836486816,0.2941003143787384,0.17355693876743317,-0.05758284777402878,0.2866846024990082,0.2034820169210434
",",0.3365725874900818,0.2937801778316498,0.4933079481124878,0.29481780529022217,0.4946078956127167,0.4933079481124878,0.19326971471309662,-0.013543461449444294,0.250803142786026,0.31091248989105225
smaller,0.1746644675731659,0.08163442462682724,0.3588939607143402,0.12759925425052643,0.30439993739128113,0.3588939607143402,0.09828348457813263,-0.1979721188545227,0.0756724551320076,0.17881669104099274
assessments,0.23186418414115906,0.33267301321029663,0.29574018716812134,0.223625048995018,0.28826892375946045,0.29574018716812134,0.1899552047252655,-0.09769873321056366,0.45332276821136475,0.23634140193462372
of,0.2827862501144409,0.23023100197315216,0.733189046382904,0.34253445267677307,1.0,0.733189046382904,0.19911958277225494,-0.02860206924378872,0.22992923855781555,0.1826142966747284
special,0.21519862115383148,0.09636983275413513,0.3027077615261078,0.1057024896144867,0.27998968958854675,0.3027077615261078,0.14687968790531158,-0.0645606517791748,0.26090309023857117,0.29623302817344666
problems,0.25277501344680786,0.17407149076461792,0.2659202516078949,0.133101686835289,0.2450421154499054,0.2659202516078949,0.1561128795146942,-0.15626290440559387,0.2741492986679077,0.2638136148452759
instead,0.2789587676525116,0.11428036540746689,0.3940567970275879,0.18979409337043762,0.31208282709121704,0.3940567970275879,0.22252576053142548,-0.13111528754234314,0.14733390510082245,0.2942638397216797
of,0.2827862501144409,0.23023100197315216,0.733189046382904,0.34253445267677307,1.0,0.733189046382904,0.19911958277225494,-0.02860206924378872,0.22992923855781555,0.1826142966747284
the,0.3733934462070465,0.22017472982406616,1.0,0.3097178041934967,0.733189046382904,1.0,0.2470240592956543,-0.030424339696764946,0.2556745111942291,0.22068053483963013
large,0.20182651281356812,0.09713266789913177,0.3828733265399933,0.1897231638431549,0.3569655418395996,0.3828733265399933,0.14651651680469513,-0.2222115844488144,0.16508366167545319,0.1355665624141693
scale,0.10952872782945633,0.1684378683567047,0.1833842247724533,0.10426627844572067,0.19989530742168427,0.1833842247724533,0.20738287270069122,-0.0835396945476532,0.24007031321525574,0.21142835915088654
approach,0.11279846727848053,0.18573857843875885,0.1999826431274414,0.11461769044399261,0.20773443579673767,0.1999826431274414,0.2315022349357605,-0.2493373453617096,0.2768469750881195,0.181949645280838
as,0.3923053741455078,0.16957594454288483,0.48381632566452026,0.26851922273635864,0.3886612355709076,0.48381632566452026,0.24123239517211914,-0.06215101107954979,0.26206639409065247,0.27043893933296204
in,0.2792111933231354,0.26697060465812683,0.6662389636039734,0.33316072821617126,0.5696388483047485,0.6662389636039734,0.18041402101516724,0.04743505269289017,0.204250767827034,0.20430970191955566
the,0.3733934462070465,0.22017472982406616,1.0,0.3097178041934967,0.733189046382904,1.0,0.2470240592956543,-0.030424339696764946,0.2556745111942291,0.22068053483963013
previous,0.1923418641090393,0.1263173520565033,0.34706559777259827,0.18588365614414215,0.2892087996006012,0.34706559777259827,0.13656075298786163,-0.03675315901637077,0.1799446940422058,0.16724538803100586
ipcc,0.21932992339134216,0.33862897753715515,0.24925659596920013,0.15148897469043732,0.20174051821231842,0.24925659596920013,0.2495071291923523,-0.09292633831501007,0.4727894961833954,0.22295254468917847
