,what,is,malum,in,se,considerations,?
some,0.4491020441055298,0.3038453459739685,0.21787306666374207,0.4010399878025055,0.08713045716285706,0.37319713830947876,0.2562315762042999
legal,0.26388198137283325,0.20037926733493805,0.209456205368042,0.256083607673645,0.14444072544574738,0.3294948935508728,0.2143220454454422
requirements,0.32438647747039795,0.23105266690254211,0.2050660252571106,0.17665298283100128,0.18338710069656372,0.5009763836860657,0.2940613329410553
come,0.39461299777030945,0.25866594910621643,0.22362318634986877,0.26272067427635193,0.15033110976219177,0.2957605719566345,0.22318024933338165
from,0.2737620174884796,0.27355384826660156,0.24531400203704834,0.4274188280105591,0.16393885016441345,0.22581163048744202,0.19969791173934937
malum,0.229874849319458,0.3422068655490875,1.0,0.251517117023468,0.26820915937423706,0.11904660612344742,0.19177968800067902
in,0.30808621644973755,0.5394441485404968,0.251517117023468,1.0,0.14190314710140228,0.21577352285385132,0.20430970191955566
se,0.15426570177078247,0.14981012046337128,0.26820915937423706,0.14190314710140228,1.0,0.12295684963464737,0.2249229997396469
considerations,0.33581599593162537,0.23835334181785583,0.11904660612344742,0.21577352285385132,0.12295684963464737,1.0000001192092896,0.32653504610061646
",",0.3087472915649414,0.4691906273365021,0.35154953598976135,0.5201468467712402,0.18985992670059204,0.3588588535785675,0.31091248989105225
or,0.33867141604423523,0.41870999336242676,0.24977870285511017,0.3586423695087433,0.10491287708282471,0.2636309862136841,0.32389625906944275
the,0.42745697498321533,0.5823672413825989,0.23022820055484772,0.6662389636039734,0.15601496398448944,0.32168442010879517,0.22068053483963013
desire,0.30466824769973755,0.16483400762081146,0.1954348236322403,0.1546286642551422,0.21633745729923248,0.29288023710250854,0.2773160934448242
to,0.455847829580307,0.42745086550712585,0.20076020061969757,0.45010748505592346,0.20814457535743713,0.32354405522346497,0.29463258385658264
prevent,0.2723881006240845,0.1984136700630188,0.09077562391757965,0.14883868396282196,0.14390739798545837,0.25658705830574036,0.2547389566898346
things,0.5577362775802612,0.27847638726234436,0.22597160935401917,0.2694495618343353,0.09663110971450806,0.40938600897789,0.36181706190109253
that,0.6297725439071655,0.3995479643344879,0.21141020953655243,0.435920387506485,0.1251741498708725,0.32378801703453064,0.32716336846351624
are,0.29724663496017456,0.5330929756164551,0.2510751783847809,0.3841303884983063,0.05432070419192314,0.3040275573730469,0.24591213464736938
indisputably,0.3969266414642334,0.26322928071022034,0.1590004414319992,0.32407715916633606,0.1120479479432106,0.41151127219200134,0.31048595905303955
bad,0.3832245469093323,0.24024450778961182,0.19870764017105103,0.21662156283855438,0.14482298493385315,0.18538469076156616,0.2560768127441406
–,0.13008765876293182,0.1436920464038849,0.2167578786611557,0.23687128722667694,0.07730374485254288,0.1581152379512787,0.2714554965496063
bridge,0.16739098727703094,0.1899378001689911,0.16817496716976166,0.235438272356987,0.17141810059547424,0.10957939922809601,0.1396101862192154
collapses,0.19013358652591705,0.17379765212535858,0.17833103239536285,0.2584214508533478,0.12644782662391663,0.10466597974300385,0.09034790843725204
or,0.33867141604423523,0.41870999336242676,0.24977870285511017,0.3586423695087433,0.10491287708282471,0.2636309862136841,0.32389625906944275
explosions,0.21743838489055634,0.22502240538597107,0.17630475759506226,0.2979663014411926,0.1297382265329361,0.256649911403656,0.17347949743270874
.,0.3567904531955719,0.4569662809371948,0.24703136086463928,0.5591574311256409,0.22252105176448822,0.30719783902168274,0.4130953550338745
