,from,whence,did,luther,want,to,expel,the,jews,?
it,0.325604110956192,0.3947497308254242,0.2993364930152893,0.15365919470787048,0.30313390493392944,0.513711154460907,0.17434512078762054,0.6251175999641418,0.19764471054077148,0.25732165575027466
was,0.31171464920043945,0.26022788882255554,0.41399896144866943,0.19185513257980347,0.21886487305164337,0.3636345863342285,0.16281220316886902,0.48711544275283813,0.1935933530330658,0.18412111699581146
``,0.02677825279533863,0.08706547319889069,-0.029888948425650597,-0.013964727520942688,0.027326209470629692,0.06720756739377975,0.13567261397838593,0.029072100296616554,0.11970638483762741,0.0685480609536171
entirely,0.23489396274089813,0.3213585615158081,0.19654057919979095,0.13761961460113525,0.2743740379810333,0.30524495244026184,0.18188083171844482,0.33318132162094116,0.1875840574502945,0.19651781022548676
devoted,0.12614446878433228,0.21288302540779114,0.18233589828014374,0.12012308090925217,0.19853323698043823,0.20871585607528687,0.18750670552253723,0.19689401984214783,0.16915717720985413,0.15015941858291626
to,0.4069952368736267,0.41763797402381897,0.4452643394470215,0.18029534816741943,0.4966742694377899,1.0,0.36155614256858826,0.535392165184021,0.22399327158927917,0.29463258385658264
the,0.40150508284568787,0.4640847444534302,0.34736719727516174,0.1759674996137619,0.3003826439380646,0.535392165184021,0.2922263443470001,1.0,0.24901628494262695,0.22068053483963013
obdurate,0.22407867014408112,0.2938627302646637,0.23158833384513855,0.1511557251214981,0.2845745384693146,0.33048123121261597,0.20992937684059143,0.22229711711406708,0.12903358042240143,0.29733914136886597
jews,0.21353460848331451,0.213674858212471,0.23080717027187347,0.24326977133750916,0.2058345228433609,0.22399327158927917,0.332316517829895,0.24901628494262695,1.0000001192092896,0.16730794310569763
",",0.39760664105415344,0.2885471284389496,0.3015086054801941,0.23255878686904907,0.30747702717781067,0.44245919585227966,0.19947537779808044,0.4933079481124878,0.27184903621673584,0.31091248989105225
whom,0.19855497777462006,0.2867712676525116,0.3024649918079376,0.11776672303676605,0.26465559005737305,0.3108522593975067,0.21876999735832214,0.23752936720848083,0.29043644666671753,0.222135990858078
it,0.325604110956192,0.3947497308254242,0.2993364930152893,0.15365919470787048,0.30313390493392944,0.513711154460907,0.17434512078762054,0.6251175999641418,0.19764471054077148,0.25732165575027466
was,0.31171464920043945,0.26022788882255554,0.41399896144866943,0.19185513257980347,0.21886487305164337,0.3636345863342285,0.16281220316886902,0.48711544275283813,0.1935933530330658,0.18412111699581146
a,0.322764128446579,0.3702872097492218,0.2552328109741211,0.17967689037322998,0.2898913025856018,0.45503583550453186,0.16250364482402802,0.5829201340675354,0.17522315680980682,0.23916715383529663
matter,0.16264328360557556,0.34330469369888306,0.2127678096294403,0.197893425822258,0.3524090051651001,0.27089571952819824,0.18208163976669312,0.2957161068916321,0.1951371431350708,0.269619345664978
of,0.4249346852302551,0.3510603606700897,0.2513895630836487,0.1719115972518921,0.2645295262336731,0.41548454761505127,0.26974937319755554,0.733189046382904,0.2207300066947937,0.1826142966747284
great,0.18041135370731354,0.24871426820755005,0.2083706259727478,0.09640801697969437,0.1588570773601532,0.1880372017621994,0.10414782911539078,0.2822027802467346,0.17862515151500702,0.13135133683681488
