,what,network,was,designed,by,the,french
the,0.42745697498321533,0.27187061309814453,0.48711544275283813,0.2559613883495331,0.4408751428127289,1.0,0.2555147111415863
cyclades,0.18373209238052368,0.20505359768867493,0.16944889724254608,0.1725633293390274,0.16162678599357605,0.3227968215942383,0.1689833551645279
packet,0.2392171323299408,0.3267378509044647,0.12248827517032623,0.1103571206331253,0.13513877987861633,0.18130622804164886,0.134593665599823
switching,0.24737738072872162,0.32434526085853577,0.18965338170528412,0.20296509563922882,0.18029257655143738,0.2702193558216095,0.119578056037426
network,0.16917307674884796,1.0000001192092896,0.1994880586862564,0.14420302212238312,0.214903324842453,0.27187061309814453,0.09898706525564194
was,0.22111038863658905,0.1994880586862564,1.0000001192092896,0.28384989500045776,0.4752357602119446,0.48711544275283813,0.2523815333843231
a,0.3320399522781372,0.17299489676952362,0.4508470594882965,0.28430381417274475,0.32094135880470276,0.5829201340675354,0.24285779893398285
french,0.17393042147159576,0.09898706525564194,0.2523815333843231,0.1634533703327179,0.23343317210674286,0.2555147111415863,1.0000001192092896
research,0.237140491604805,0.1976679265499115,0.21417704224586487,0.17353515326976776,0.1734425127506256,0.24391183257102966,0.1027214527130127
network,0.16917307674884796,1.0000001192092896,0.1994880586862564,0.14420302212238312,0.214903324842453,0.27187061309814453,0.09898706525564194
designed,0.15902110934257507,0.14420302212238312,0.28384989500045776,1.0,0.29250532388687134,0.2559613883495331,0.1634533703327179
and,0.31309178471565247,0.27591994404792786,0.3740963041782379,0.2359010875225067,0.4289871156215668,0.5171257257461548,0.32751965522766113
directed,0.1783117949962616,0.19199444353580475,0.257819801568985,0.27203312516212463,0.41976529359817505,0.21284286677837372,0.16825450956821442
by,0.2455483376979828,0.214903324842453,0.4752357602119446,0.29250532388687134,1.0000001192092896,0.4408751428127289,0.23343317210674286
louis,0.11922219395637512,0.11374060064554214,0.28063738346099854,0.18828952312469482,0.20453746616840363,0.22078758478164673,0.4014277458190918
pouzin,0.20338229835033417,0.1078207865357399,0.2283053696155548,0.18436312675476074,0.19264964759349823,0.3092726171016693,0.4058833420276642
.,0.3567904531955719,0.23909442126750946,0.40146201848983765,0.24422594904899597,0.3936232924461365,0.5934505462646484,0.2480926215648651
