,2011-12,saw,abc,drop,to,4th,in,ratings,among,what,important,demographic,?
the,0.14443661272525787,0.318278044462204,0.2068762183189392,0.2759656608104706,0.535392165184021,0.18942053616046906,0.6662389636039734,0.23356813192367554,0.3507058024406433,0.42745697498321533,0.39348116517066956,0.2588324248790741,0.22068053483963013
2011–12,0.8542627692222595,0.0539981871843338,0.019805537536740303,0.08570545166730881,0.14308659732341766,-0.010122339241206646,0.14698152244091034,0.18333855271339417,0.01198267750442028,0.18133893609046936,0.157817080616951,0.007578331045806408,0.10546701401472092
season,-0.039277639240026474,0.18899387121200562,0.29887476563453674,0.18123072385787964,0.22382742166519165,0.21293756365776062,0.2184021919965744,0.37128010392189026,0.14797303080558777,0.12117787450551987,0.1155175119638443,0.14683440327644348,0.16793298721313477
saw,0.03269568085670471,0.9999999403953552,0.09962060302495956,0.19708654284477234,0.2710057497024536,0.14449547231197357,0.24892163276672363,0.2066158801317215,0.20957598090171814,0.24788837134838104,0.21692726016044617,0.15615305304527283,0.14690998196601868
abc,0.0027641691267490387,0.09962060302495956,1.0000001192092896,0.0874292403459549,0.1762417107820511,0.13206711411476135,0.1697147786617279,0.2876999080181122,0.06692434847354889,0.1317344456911087,0.066776804625988,0.16370642185211182,0.19065172970294952
drop,0.02750660665333271,0.19708654284477234,0.0874292403459549,1.0,0.2740088999271393,0.10920330137014389,0.18230557441711426,0.2385946661233902,0.09365981072187424,0.2541179656982422,0.1268787384033203,0.14046312868595123,0.19426988065242767
to,0.07653135806322098,0.2710057497024536,0.1762417107820511,0.2740088999271393,1.0,0.06708711385726929,0.45010748505592346,0.23899689316749573,0.26594701409339905,0.455847829580307,0.30913278460502625,0.19245678186416626,0.29463258385658264
fourth,0.07714914530515671,0.22721059620380402,0.12729515135288239,0.19003929197788239,0.22159133851528168,0.4876725375652313,0.29149749875068665,0.14165979623794556,0.15536543726921082,0.137417271733284,0.1344330608844757,0.15378092229366302,0.13791213929653168
place,0.038203366100788116,0.21540118753910065,0.13112665712833405,0.13818678259849548,0.3346366882324219,0.08831606060266495,0.38128477334976196,0.18893598020076752,0.19326645135879517,0.2689766585826874,0.3003648519515991,0.21652160584926605,0.2455766350030899
in,0.14983060956001282,0.24892163276672363,0.1697147786617279,0.18230557441711426,0.45010748505592346,0.12181311845779419,1.0,0.17289267480373383,0.3211768567562103,0.30808621644973755,0.3796374499797821,0.21722672879695892,0.20430970191955566
the,0.14443661272525787,0.318278044462204,0.2068762183189392,0.2759656608104706,0.535392165184021,0.18942053616046906,0.6662389636039734,0.23356813192367554,0.3507058024406433,0.42745697498321533,0.39348116517066956,0.2588324248790741,0.22068053483963013
18–49,-0.13013234734535217,0.060496147722005844,-0.04943007603287697,-0.1582922488451004,-0.14049364626407623,-0.015859117731451988,-0.13635894656181335,-0.15444400906562805,0.024013470858335495,-0.1910046637058258,-0.17953333258628845,-0.08924641460180283,-0.1341245323419571
demographic,0.037744972854852676,0.15615305304527283,0.16370642185211182,0.14046312868595123,0.19245678186416626,0.05598054826259613,0.21722672879695892,0.32979661226272583,0.23132988810539246,0.12276367843151093,0.12834778428077698,1.0,0.17883411049842834
despite,-0.016334012150764465,0.33986037969589233,0.12051708251237869,0.16716469824314117,0.3584847152233124,0.024198735132813454,0.27473363280296326,0.2878780961036682,0.33346593379974365,0.1825345903635025,0.15174537897109985,0.1987096071243286,0.14350546896457672
renewing,-0.057786423712968826,0.26841118931770325,0.28270643949508667,0.26650410890579224,0.398470014333725,0.15521399676799774,0.2794271409511566,0.2824729084968567,0.22752819955348969,0.29765042662620544,0.20405210554599762,0.18870459496974945,0.22206877171993256
a,0.09352519363164902,0.2244260609149933,0.21331243216991425,0.26995548605918884,0.45503583550453186,0.13758724927902222,0.539380669593811,0.1921599805355072,0.1789381206035614,0.3320399522781372,0.2963852882385254,0.1824215203523636,0.23916715383529663
handful,0.026399759575724602,0.19182002544403076,0.11628452688455582,0.11984971165657043,0.2787845730781555,-0.04461468383669853,0.16840678453445435,0.14555767178535461,0.31338679790496826,0.2922556698322296,0.275483101606369,0.11051611602306366,0.21969880163669586
of,0.16566015779972076,0.28204935789108276,0.14607268571853638,0.1734435260295868,0.41548454761505127,0.1116921603679657,0.5696388483047485,0.15600527822971344,0.3679063022136688,0.33290785551071167,0.43301743268966675,0.24534057080745697,0.1826142966747284
new,0.0446014404296875,0.17855049669742584,0.20663127303123474,0.18767878413200378,0.33159172534942627,0.09771040081977844,0.3758552670478821,0.15297499299049377,0.1640370488166809,0.2130378633737564,0.20817767083644867,0.12542368471622467,0.14782847464084625
shows,0.06643214076757431,0.3263990581035614,0.3304527997970581,0.1594553142786026,0.23382455110549927,0.028359822928905487,0.3289647698402405,0.2559588849544525,0.3046148419380188,0.30282244086265564,0.2431357055902481,0.21981120109558105,0.2040930688381195
(,0.03823590651154518,0.12585532665252686,0.183883935213089,0.2144269347190857,0.30882009863853455,0.10429752618074417,0.3087427020072937,0.1865013986825943,0.1510712206363678,0.2411840260028839,0.21277278661727905,0.19734497368335724,0.40561532974243164
including,0.1704396903514862,0.21073633432388306,0.1471431404352188,0.10814712196588516,0.24006329476833344,0.03151755779981613,0.35857823491096497,0.18707139790058136,0.45157864689826965,0.18328791856765747,0.29822370409965515,0.22435373067855835,0.1633303165435791
freshmen,0.04751849174499512,0.22053803503513336,0.1320284754037857,0.22914735972881317,0.2086845189332962,0.1878795176744461,0.28334447741508484,0.31025081872940063,0.2969576418399811,0.13662715256214142,0.17639872431755066,0.2186986207962036,0.09140169620513916
dramas,0.04280110448598862,0.20718197524547577,0.34826603531837463,0.15280544757843018,0.21441017091274261,0.14021098613739014,0.25813794136047363,0.27021127939224243,0.252567857503891,0.19657056033611298,0.2004842758178711,0.23352162539958954,0.18286573886871338
scandal,-0.024941790848970413,0.12815222144126892,0.16288411617279053,0.08778540790081024,0.1916658729314804,-0.049914371222257614,0.16518615186214447,0.2271425724029541,0.11463617533445358,0.18713286519050598,0.08198275417089462,0.21847446262836456,0.13076120615005493
",",0.17294169962406158,0.2245745062828064,0.2097204476594925,0.21217185258865356,0.44245919585227966,0.11708971112966537,0.5201468467712402,0.21650241315364838,0.2640531659126282,0.3087472915649414,0.3452564477920532,0.2287134826183319,0.31091248989105225
