,what,underground,railways,cover,much,of,tyne,and,wear,?
the,0.42745697498321533,0.24716822803020477,0.2822231948375702,0.26727065443992615,0.35023224353790283,0.733189046382904,0.23053501546382904,0.5171257257461548,0.27011215686798096,0.22068053483963013
city,0.17493832111358643,0.214025616645813,0.29534345865249634,0.1372481733560562,0.16522060334682465,0.32503411173820496,0.31266966462135315,0.2827445864677429,0.22089429199695587,0.13423943519592285
is,0.28837618231773376,0.19181855022907257,0.21893469989299774,0.19958840310573578,0.3156087100505829,0.4854315221309662,0.19354984164237976,0.3859752118587494,0.1974191516637802,0.22961433231830597
served,0.1271134465932846,0.2282264232635498,0.21974489092826843,0.06533296406269073,0.14854696393013,0.2967056334018707,0.12104884535074234,0.2463700920343399,0.13644753396511078,0.117141492664814
by,0.2455483376979828,0.18951083719730377,0.1885296106338501,0.20553752779960632,0.24959969520568848,0.3646814823150635,0.2282130867242813,0.4289871156215668,0.15099391341209412,0.17966607213020325
the,0.42745697498321533,0.24716822803020477,0.2822231948375702,0.26727065443992615,0.35023224353790283,0.733189046382904,0.23053501546382904,0.5171257257461548,0.27011215686798096,0.22068053483963013
tyne,0.14296641945838928,0.2660115957260132,0.2915705740451813,0.18327994644641876,0.19111017882823944,0.2296384871006012,1.0,0.21724887192249298,0.3347795605659485,0.07377036660909653
and,0.31309178471565247,0.25981026887893677,0.23216985166072845,0.27793973684310913,0.38395699858665466,0.5116966962814331,0.21724887192249298,1.0,0.21877847611904144,0.20544172823429108
wear,0.21155497431755066,0.12106072902679443,0.18313443660736084,0.35347187519073486,0.18040235340595245,0.24815733730793,0.3347795605659485,0.21877847611904144,1.0,0.1366986185312271
metro,0.11200546473264694,0.37470096349716187,0.3722541630268097,0.22314715385437012,0.14405499398708344,0.1791107952594757,0.29494625329971313,0.20572388172149658,0.18736475706100464,0.15922676026821136
",",0.3087472915649414,0.18781989812850952,0.24052287638187408,0.24982257187366486,0.36182254552841187,0.4946078956127167,0.235897496342659,0.6633074283599854,0.2098228484392166,0.31091248989105225
a,0.3320399522781372,0.2285252958536148,0.2661389112472534,0.23858952522277832,0.2958075702190399,0.5052502155303955,0.14687809348106384,0.3739250600337982,0.20639316737651825,0.23916715383529663
system,0.23557309806346893,0.2145378440618515,0.1966920793056488,0.10248077660799026,0.29001396894454956,0.25597915053367615,0.0984424501657486,0.231138214468956,0.14337177574634552,0.15556083619594574
of,0.33290785551071167,0.22807668149471283,0.24158069491386414,0.26416900753974915,0.2671096920967102,1.0,0.2296384871006012,0.5116966962814331,0.24815733730793,0.1826142966747284
suburban,0.14185433089733124,0.3507998287677765,0.4506351947784424,0.21750277280807495,0.14190024137496948,0.21280841529369354,0.2921214699745178,0.27674803137779236,0.16981615126132965,0.06536495685577393
and,0.31309178471565247,0.25981026887893677,0.23216985166072845,0.27793973684310913,0.38395699858665466,0.5116966962814331,0.21724887192249298,1.0,0.21877847611904144,0.20544172823429108
underground,0.162822887301445,1.0,0.4046206772327423,0.19004011154174805,0.19615407288074493,0.22807668149471283,0.2660115957260132,0.25981026887893677,0.12106072902679443,0.1097135841846466
railways,0.17380215227603912,0.4046206772327423,1.0,0.12892648577690125,0.213177889585495,0.24158069491386414,0.2915705740451813,0.23216985166072845,0.18313443660736084,0.0874929204583168
covering,0.20346681773662567,0.21310293674468994,0.14893832802772522,0.6441513299942017,0.25624707341194153,0.3818558156490326,0.23595750331878662,0.3416288197040558,0.3317694664001465,0.10643069446086884
much,0.45316147804260254,0.19615407288074493,0.213177889585495,0.2492348700761795,0.9999998807907104,0.2671096920967102,0.19111017882823944,0.38395699858665466,0.18040235340595245,0.23442231118679047
of,0.33290785551071167,0.22807668149471283,0.24158069491386414,0.26416900753974915,0.2671096920967102,1.0,0.2296384871006012,0.5116966962814331,0.24815733730793,0.1826142966747284
tyne,0.14296641945838928,0.2660115957260132,0.2915705740451813,0.18327994644641876,0.19111017882823944,0.2296384871006012,1.0,0.21724887192249298,0.3347795605659485,0.07377036660909653
and,0.31309178471565247,0.25981026887893677,0.23216985166072845,0.27793973684310913,0.38395699858665466,0.5116966962814331,0.21724887192249298,1.0,0.21877847611904144,0.20544172823429108
wear,0.21155497431755066,0.12106072902679443,0.18313443660736084,0.35347187519073486,0.18040235340595245,0.24815733730793,0.3347795605659485,0.21877847611904144,1.0,0.1366986185312271
.,0.3567904531955719,0.19650229811668396,0.2475975602865219,0.22325164079666138,0.3374604284763336,0.5352458953857422,0.1918487399816513,0.588965117931366,0.17660145461559296,0.4130953550338745
