,when,did,the,egyptian,islamic,jihad,assassinate,anwar,sadat,?
the,0.5091903209686279,0.34736719727516174,1.0,0.22032245993614197,0.27231070399284363,0.22348956763744354,0.15595418214797974,0.2525264620780945,0.274522602558136,0.22068053483963013
path,0.1649126261472702,0.14291027188301086,0.21527591347694397,0.1396031528711319,0.2013004571199417,0.24359075725078583,0.1550932675600052,0.13979950547218323,0.15933886170387268,0.12429215013980865
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.20001496374607086,0.25656506419181824,0.193709596991539,0.211495041847229,0.18239761888980865,0.24748633801937103,0.1826142966747284
violence,0.2319701910018921,0.22152221202850342,0.25465771555900574,0.1503576636314392,0.3441118597984314,0.43565210700035095,0.2809027433395386,0.31082725524902344,0.3324030935764313,0.20634515583515167
and,0.4716290831565857,0.34479495882987976,0.5171257257461548,0.22725237905979156,0.2192772477865219,0.18178227543830872,0.13436099886894226,0.26105865836143494,0.2117219865322113,0.20544172823429108
military,0.20479682087898254,0.17979979515075684,0.2290858030319214,0.23824924230575562,0.3229793608188629,0.3326796293258667,0.2947286069393158,0.254124253988266,0.41453489661216736,0.1890317052602768
struggle,0.18567338585853577,0.21746955811977386,0.22927843034267426,0.15953955054283142,0.1768345832824707,0.29938051104545593,0.3391418159008026,0.31073811650276184,0.2744036614894867,0.1330908089876175
was,0.37326499819755554,0.41399896144866943,0.48711544275283813,0.22936250269412994,0.19776177406311035,0.25446686148643494,0.21263514459133148,0.2702329754829407,0.25343289971351624,0.18412111699581146
then,0.6026323437690735,0.303744375705719,0.4297412931919098,0.16951146721839905,0.14753477275371552,0.12502461671829224,0.2211279422044754,0.2016388177871704,0.20071089267730713,0.2884598970413208
taken,0.29396897554397583,0.2038538008928299,0.3309854567050934,0.17976830899715424,0.2106422483921051,0.1827385276556015,0.19690093398094177,0.07202688604593277,0.17974337935447693,0.17662954330444336
up,0.3850642144680023,0.21613863110542297,0.38423117995262146,0.10107890516519547,0.09583122283220291,0.11370235681533813,0.07066664844751358,0.15440675616264343,0.09725658595561981,0.1819818764925003
by,0.4376842677593231,0.18574509024620056,0.4408751428127289,0.13171394169330597,0.1815912425518036,0.2510159909725189,0.18433403968811035,0.21519450843334198,0.20625722408294678,0.17966607213020325
the,0.5091903209686279,0.34736719727516174,1.0,0.22032245993614197,0.27231070399284363,0.22348956763744354,0.15595418214797974,0.2525264620780945,0.274522602558136,0.22068053483963013
egyptian,0.16750477254390717,0.17705166339874268,0.22032245993614197,1.0,0.42369043827056885,0.4013526439666748,0.20125652849674225,0.47998517751693726,0.43741893768310547,0.14169205725193024
islamic,0.14470529556274414,0.17371372878551483,0.27231070399284363,0.42369043827056885,0.9999999403953552,0.6195051074028015,0.24437011778354645,0.45027056336402893,0.4807274639606476,0.1692383587360382
jihad,0.1716533601284027,0.18465867638587952,0.22348956763744354,0.4013526439666748,0.6195051074028015,1.0,0.3888111710548401,0.5546208024024963,0.5615293383598328,0.21031080186367035
organization,0.23174281418323517,0.15187452733516693,0.311172217130661,0.1738249957561493,0.3100273013114929,0.33959656953811646,0.19409959018230438,0.242810919880867,0.26348358392715454,0.2069297879934311
responsible,0.25352776050567627,0.19853660464286804,0.3305104374885559,0.16454188525676727,0.20309214293956757,0.2576920986175537,0.19124522805213928,0.17921113967895508,0.14661963284015656,0.11367333680391312
for,0.43402108550071716,0.318512886762619,0.4739971458911896,0.17144131660461426,0.13630835711956024,0.16139443218708038,0.14079715311527252,0.18802769482135773,0.24794068932533264,0.264628142118454
the,0.5091903209686279,0.34736719727516174,1.0,0.22032245993614197,0.27231070399284363,0.22348956763744354,0.15595418214797974,0.2525264620780945,0.274522602558136,0.22068053483963013
assassination,0.18559332191944122,0.19157227873802185,0.2033206969499588,0.20430269837379456,0.2762053310871124,0.42055460810661316,0.9205732941627502,0.3595387935638428,0.42824727296829224,0.21308238804340363
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.20001496374607086,0.25656506419181824,0.193709596991539,0.211495041847229,0.18239761888980865,0.24748633801937103,0.1826142966747284
anwar,0.21621590852737427,0.17499752342700958,0.2525264620780945,0.47998517751693726,0.45027056336402893,0.5546208024024963,0.34710463881492615,0.9999999403953552,0.6807706356048584,0.2032770961523056
sadat,0.1892179250717163,0.1932234764099121,0.274522602558136,0.43741893768310547,0.4807274639606476,0.5615293383598328,0.4082261919975281,0.6807706356048584,0.9999999403953552,0.2286619395017624
in,0.4431333839893341,0.2593238651752472,0.6662389636039734,0.145795539021492,0.19633598625659943,0.15748675167560577,0.08399280905723572,0.16827231645584106,0.21590189635753632,0.20430970191955566
1981,-0.13847166299819946,-0.034994546324014664,-0.010583994910120964,0.040271058678627014,-0.038703177124261856,-0.05672168731689453,0.08055917173624039,0.06366618722677231,-0.015401478856801987,0.07968433201313019
.,0.475719153881073,0.35288307070732117,0.5934505462646484,0.20544521510601044,0.20520655810832977,0.16514794528484344,0.21382705867290497,0.22682930529117584,0.2527462840080261,0.4130953550338745
