,who,went,to,fort,dusquesne,in,june,1755,?
braddock,0.34990617632865906,0.17610293626785278,0.23444142937660217,0.3217087984085083,0.4393596649169922,0.23128293454647064,0.28001582622528076,0.1252749115228653,0.1826469451189041
(,0.2443375140428543,0.18902330100536346,0.30882009863853455,0.17754094302654266,0.3405086100101471,0.3087427020072937,0.37720030546188354,0.17498983442783356,0.40561532974243164
with,0.3282766342163086,0.22259940207004547,0.4239959120750427,0.1553470492362976,0.21538448333740234,0.4080928862094879,0.20185330510139465,0.15765902400016785,0.2433311939239502
george,0.25805044174194336,0.18030253052711487,0.17226167023181915,0.17803071439266205,0.29637834429740906,0.18167929351329803,0.23922748863697052,0.08365362137556076,0.1479024887084961
washington,0.19577515125274658,0.19774262607097626,0.24971476197242737,0.2704917788505554,0.2738683521747589,0.24838601052761078,0.22763745486736298,0.13442306220531464,0.157786026597023
as,0.3923053741455078,0.21750199794769287,0.42092081904411316,0.21955958008766174,0.22883003950119019,0.3887844979763031,0.24055923521518707,0.09047067910432816,0.27043893933296204
one,0.40083858370780945,0.25320643186569214,0.4025384783744812,0.13041828572750092,0.2068675458431244,0.4129433035850525,0.19165287911891937,0.08119162917137146,0.2673267424106598
of,0.2827862501144409,0.2527906000614166,0.41548454761505127,0.18979716300964355,0.32165655493736267,0.5696388483047485,0.19721001386642456,0.1817053258419037,0.1826142966747284
his,0.44966956973075867,0.43009182810783386,0.3715193271636963,0.1942109912633896,0.2857743501663208,0.3598145842552185,0.27253690361976624,0.046691250056028366,0.18075084686279297
aides,0.35711047053337097,0.17253178358078003,0.30140966176986694,0.17126773297786713,0.20235757529735565,0.20105057954788208,0.17373856902122498,0.07266002148389816,0.08710318803787231
),0.2457384318113327,0.20029959082603455,0.31236231327056885,0.17857417464256287,0.33705592155456543,0.3326910734176636,0.4019833505153656,0.19497282803058624,0.42300865054130554
led,0.2450801581144333,0.36602675914764404,0.21815308928489685,0.17015990614891052,0.20776046812534332,0.2990247309207916,0.161931112408638,0.15180303156375885,0.09273858368396759
about,0.3477841317653656,0.22139376401901245,0.391953706741333,0.0792536661028862,0.23049916326999664,0.39797019958496094,0.1670198142528534,0.0990334153175354,0.302409827709198
"1,500",0.09093031287193298,-0.007529040798544884,0.08536785840988159,0.009790326468646526,0.0295143760740757,0.09316698461771011,0.15056675672531128,0.05751598998904228,0.13783086836338043
army,0.2866576313972473,0.26423120498657227,0.22938482463359833,0.3152393400669098,0.1646098494529724,0.25258398056030273,0.21682603657245636,0.1611367017030716,0.180583193898201
troops,0.2254970222711563,0.2456154227256775,0.23654340207576752,0.3374136686325073,0.20258261263370514,0.25826749205589294,0.1786249577999115,0.1829882562160492,0.14329779148101807
and,0.41279885172843933,0.3419242799282074,0.48971283435821533,0.2106139063835144,0.3268119990825653,0.4954058527946472,0.2692793905735016,0.11916331946849823,0.20544172823429108
provincial,0.15146031975746155,0.09481679648160934,0.1423754096031189,0.19028301537036896,0.22189456224441528,0.22605130076408386,0.17826902866363525,0.2081478089094162,0.11250471323728561
militia,0.30203142762184143,0.22691674530506134,0.2306058555841446,0.35301801562309265,0.18484723567962646,0.22128655016422272,0.16925987601280212,0.20994818210601807,0.16097775101661682
on,0.2340552806854248,0.29989129304885864,0.41031414270401,0.2436540275812149,0.21012470126152039,0.46853652596473694,0.39323267340660095,0.112730011343956,0.2714994251728058
an,0.2848317325115204,0.1684015691280365,0.3138085603713989,0.1783534437417984,0.26291775703430176,0.2605783939361572,0.21568788588047028,0.054536789655685425,0.19793890416622162
expedition,0.26266250014305115,0.3004668354988098,0.2431555688381195,0.2918441891670227,0.2691982388496399,0.19481515884399414,0.19204330444335938,0.1477239429950714,0.10355690121650696
in,0.2792111933231354,0.30470821261405945,0.45010748505592346,0.24152536690235138,0.31294745206832886,1.0,0.29047903418540955,0.15906907618045807,0.20430970191955566
june,0.23552022874355316,0.24907925724983215,0.22441016137599945,0.17742346227169037,0.29843151569366455,0.29047903418540955,1.0,0.19707165658473969,0.31416764855384827
1755,0.04862917214632034,0.09085899591445923,0.07433923333883286,0.21651436388492584,0.43814772367477417,0.15906907618045807,0.19707165658473969,1.0000001192092896,0.1890246421098709
to,0.42656609416007996,0.33234721422195435,1.0,0.16577591001987457,0.24316784739494324,0.45010748505592346,0.22441016137599945,0.07433923333883286,0.29463258385658264
take,0.2940447926521301,0.28194132447242737,0.4075521230697632,0.10411244630813599,0.17377431690692902,0.21975718438625336,0.14810100197792053,0.03245622292160988,0.21897350251674652
fort,0.13790950179100037,0.2229347676038742,0.16577591001987457,0.9999999403953552,0.39027872681617737,0.24152536690235138,0.17742346227169037,0.21651436388492584,0.15686731040477753
duquesne,0.20961369574069977,0.23978981375694275,0.22050736844539642,0.3629205524921417,0.853300929069519,0.30666205286979675,0.26779764890670776,0.38635706901550293,0.18955427408218384
.,0.3541337847709656,0.27773603796958923,0.4645031690597534,0.2578873038291931,0.31559962034225464,0.5591574311256409,0.360857754945755,0.2007792443037033,0.4130953550338745
