,how,did,morgan,react,to,the,request,?
morgan,0.1754428893327713,0.20618073642253876,1.0,0.0841120108962059,0.16705390810966492,0.2054959386587143,0.09423722326755524,0.09039338678121567
was,0.16678167879581451,0.41399896144866943,0.24669575691223145,0.11168007552623749,0.3636345863342285,0.48711544275283813,0.2152252346277237,0.18412111699581146
shocked,0.34774020314216614,0.3696693480014801,0.2022124081850052,0.3625476658344269,0.3303806185722351,0.28518474102020264,0.20899459719657898,0.2366289347410202
by,0.34370526671409607,0.18574509024620056,0.1546093076467514,0.21004045009613037,0.33534231781959534,0.4408751428127289,0.17004646360874176,0.17966607213020325
the,0.33890387415885925,0.34736719727516174,0.2054959386587143,0.17793594300746918,0.535392165184021,1.0,0.18777982890605927,0.22068053483963013
reminder,0.25245365500450134,0.24121636152267456,0.08969999104738235,0.13862068951129913,0.35110729932785034,0.32248783111572266,0.34133049845695496,0.37452593445777893
of,0.2480744868516922,0.2513895630836487,0.15910735726356506,0.13058997690677643,0.41548454761505127,0.733189046382904,0.17325465381145477,0.1826142966747284
his,0.24614305794239044,0.3546801507472992,0.21256329119205475,0.1567227691411972,0.3715193271636963,0.4394008219242096,0.23844055831432343,0.18075084686279297
part,0.218691885471344,0.23558001220226288,0.10308289527893066,0.12154493480920792,0.2875264883041382,0.527681291103363,0.11624638736248016,0.08557961881160736
in,0.2601168751716614,0.2593238651752472,0.1914260983467102,0.1908682882785797,0.45010748505592346,0.6662389636039734,0.19895026087760925,0.20430970191955566
the,0.33890387415885925,0.34736719727516174,0.2054959386587143,0.17793594300746918,0.535392165184021,1.0,0.18777982890605927,0.22068053483963013
stock,0.15051712095737457,0.0815865769982338,0.1655479073524475,0.09456437826156616,0.18901140987873077,0.21356552839279175,0.06319595128297806,0.14784406125545502
market,0.11605820059776306,0.12897977232933044,0.1035999059677124,0.10538975149393082,0.23798635601997375,0.2041238248348236,0.11665830761194229,0.12805593013763428
crash,0.09632044285535812,0.17460034787654877,0.16303038597106934,0.13377821445465088,0.18840226531028748,0.22774840891361237,0.10375887155532837,0.10927160084247589
and,0.33647966384887695,0.34479495882987976,0.2510843276977539,0.24750031530857086,0.48971283435821533,0.5171257257461548,0.23718376457691193,0.20544172823429108
by,0.34370526671409607,0.18574509024620056,0.1546093076467514,0.21004045009613037,0.33534231781959534,0.4408751428127289,0.17004646360874176,0.17966607213020325
tesla,0.19128404557704926,0.09757418930530548,0.1387946456670761,0.19902721047401428,0.17548894882202148,0.1324402391910553,0.18960919976234436,0.10250775516033173
's,-0.026164190843701363,0.05069678649306297,0.06951335817575455,-0.05938009172677994,0.03782717138528824,-0.01540423184633255,0.05498448386788368,-0.023395681753754616
breach,0.20351827144622803,0.28091365098953247,0.16081033647060394,0.26371318101882935,0.327584832906723,0.2693559229373932,0.2940038740634918,0.26875337958335876
of,0.2480744868516922,0.2513895630836487,0.15910735726356506,0.13058997690677643,0.41548454761505127,0.733189046382904,0.17325465381145477,0.1826142966747284
contract,0.19676871597766876,0.24713465571403503,0.10715669393539429,0.1671353578567505,0.2871469259262085,0.23003633320331573,0.18484634160995483,0.12573233246803284
by,0.34370526671409607,0.18574509024620056,0.1546093076467514,0.21004045009613037,0.33534231781959534,0.4408751428127289,0.17004646360874176,0.17966607213020325
asking,0.372993528842926,0.37895697355270386,0.08202993124723434,0.2741251289844513,0.39314889907836914,0.2650352418422699,0.49078500270843506,0.39706939458847046
for,0.3308170735836029,0.318512886762619,0.17865847051143646,0.1645791232585907,0.4451248347759247,0.4739971458911896,0.24378444254398346,0.264628142118454
more,0.4319567084312439,0.2803135812282562,0.16041524708271027,0.34763726592063904,0.47084665298461914,0.39758381247520447,0.2276928722858429,0.27894994616508484
funds,0.1763608604669571,0.21259962022304535,0.146619975566864,0.08662297576665878,0.33157411217689514,0.23871955275535583,0.29705244302749634,0.12731410562992096
.,0.3287222981452942,0.35288307070732117,0.235212042927742,0.2878071367740631,0.4645031690597534,0.5934505462646484,0.2232643961906433,0.4130953550338745
