,what,was,intended,for,the,site,of,the,former,boiler,house,?
to,0.455847829580307,0.3636345863342285,0.48327770829200745,0.4451248347759247,0.535392165184021,0.2310456782579422,0.41548454761505127,0.535392165184021,0.12857267260551453,0.18706591427326202,0.23688754439353943,0.29463258385658264
link,0.23192204535007477,0.12314239889383316,0.18347591161727905,0.23476234078407288,0.23401211202144623,0.25408998131752014,0.1763116717338562,0.23401211202144623,0.05584082379937172,0.16689081490039825,0.1417006254196167,0.280567467212677
this,0.5489566326141357,0.3638818562030792,0.39753732085227966,0.5082864165306091,0.6274310946464539,0.27916961908340454,0.45148900151252747,0.6274310946464539,0.08466557413339615,0.25043785572052,0.1562400460243225,0.3155723512172699
to,0.455847829580307,0.3636345863342285,0.48327770829200745,0.4451248347759247,0.535392165184021,0.2310456782579422,0.41548454761505127,0.535392165184021,0.12857267260551453,0.18706591427326202,0.23688754439353943,0.29463258385658264
the,0.42745697498321533,0.48711544275283813,0.29853108525276184,0.4739971458911896,1.0,0.288954496383667,0.733189046382904,1.0,0.2251449078321457,0.2309672236442566,0.2847244441509247,0.22068053483963013
rest,0.35225364565849304,0.22034120559692383,0.17757569253444672,0.24690839648246765,0.41330549120903015,0.1298096776008606,0.33621829748153687,0.41330549120903015,0.17208951711654663,0.19143852591514587,0.2551923394203186,0.1725541204214096
of,0.33290785551071167,0.4069072902202606,0.24364815652370453,0.4185989499092102,0.733189046382904,0.24291633069515228,1.0,0.733189046382904,0.30415382981300354,0.16447360813617706,0.285114049911499,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,0.29853108525276184,0.4739971458911896,1.0,0.288954496383667,0.733189046382904,1.0,0.2251449078321457,0.2309672236442566,0.2847244441509247,0.22068053483963013
museum,0.1771627515554428,0.21266788244247437,0.08836307376623154,0.15718214213848114,0.24861779808998108,0.26758304238319397,0.23314370214939117,0.24861779808998108,0.1504972130060196,0.11740968376398087,0.24902251362800598,0.14128351211547852
",",0.3087472915649414,0.45456063747406006,0.18479764461517334,0.4464869201183319,0.4933079481124878,0.2036259025335312,0.4946078956127167,0.4933079481124878,0.2738454341888428,0.20319129526615143,0.28236111998558044,0.31091248989105225
a,0.3320399522781372,0.4508470594882965,0.31608664989471436,0.44038116931915283,0.5829201340675354,0.21085289120674133,0.5052502155303955,0.5829201340675354,0.2562483549118042,0.2275201976299286,0.26758551597595215,0.23916715383529663
new,0.2130378633737564,0.2748313844203949,0.1812230348587036,0.2700757384300232,0.3845241069793701,0.2091917097568512,0.343457967042923,0.3845241069793701,0.2383175641298294,0.16825208067893982,0.21560974419116974,0.14782847464084625
entrance,0.20933914184570312,0.24333937466144562,0.20921699702739716,0.18154969811439514,0.31372344493865967,0.23416000604629517,0.2534947693347931,0.31372344493865967,0.21063542366027832,0.185158833861351,0.24005277454853058,0.07963564246892929
building,0.23529528081417084,0.237406387925148,0.16938166320323944,0.2644540071487427,0.3159640431404114,0.36001643538475037,0.26200541853904724,0.3159640431404114,0.1645875722169876,0.2663552463054657,0.33306685090065,0.13549931347370148
was,0.22111038863658905,1.0000001192092896,0.2740823030471802,0.3863949179649353,0.48711544275283813,0.24460934102535248,0.4069072902202606,0.48711544275283813,0.2544213533401489,0.1288069188594818,0.28759756684303284,0.18412111699581146
constructed,0.18810124695301056,0.2546897530555725,0.3097550570964813,0.15702174603939056,0.29105475544929504,0.2622746527194977,0.2552719712257385,0.29105475544929504,0.12296527624130249,0.20820580422878265,0.15133167803287506,0.12459525465965271
on,0.34226128458976746,0.3909217119216919,0.2751085162162781,0.36199691891670227,0.5107308030128479,0.24843932688236237,0.3966929316520691,0.5107308030128479,0.18025436997413635,0.16976548731327057,0.19286204874515533,0.2714994251728058
the,0.42745697498321533,0.48711544275283813,0.29853108525276184,0.4739971458911896,1.0,0.288954496383667,0.733189046382904,1.0,0.2251449078321457,0.2309672236442566,0.2847244441509247,0.22068053483963013
site,0.21561308205127716,0.24460934102535248,0.15939903259277344,0.26506415009498596,0.288954496383667,1.0000001192092896,0.24291633069515228,0.288954496383667,0.18284542858600616,0.0459355004131794,0.19717395305633545,0.2014765441417694
of,0.33290785551071167,0.4069072902202606,0.24364815652370453,0.4185989499092102,0.733189046382904,0.24291633069515228,1.0,0.733189046382904,0.30415382981300354,0.16447360813617706,0.285114049911499,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,0.29853108525276184,0.4739971458911896,1.0,0.288954496383667,0.733189046382904,1.0,0.2251449078321457,0.2309672236442566,0.2847244441509247,0.22068053483963013
former,0.13598288595676422,0.2544213533401489,0.09660948812961578,0.23718710243701935,0.2251449078321457,0.18284542858600616,0.30415382981300354,0.2251449078321457,1.0,0.08182140439748764,0.16793283820152283,0.10570605844259262
