,how,much,was,the,combined,wealth,of,the,``,10,million,dollar,millionaires,'',in,2008,?
the,0.33890387415885925,0.35023224353790283,0.48711544275283813,1.0,0.3713363707065582,0.24999672174453735,0.733189046382904,1.0,0.029072100296616554,0.2880653440952301,0.277012437582016,0.2596837878227234,0.2355634719133377,0.041273195296525955,0.6662389636039734,-0.06530369818210602,0.22068053483963013
combined,0.2234719693660736,0.22907154262065887,0.23431967198848724,0.3713363707065582,1.0000001192092896,0.17849938571453094,0.399336040019989,0.3713363707065582,0.08128747344017029,0.19944122433662415,0.15003883838653564,0.14318816363811493,0.19565963745117188,0.12371319532394409,0.3370276689529419,-0.1587643325328827,0.17985320091247559
wealth,0.22943173348903656,0.26980164647102356,0.19163759052753448,0.24999672174453735,0.17849938571453094,0.9999998807907104,0.27235376834869385,0.24999672174453735,0.03245234861969948,0.12340863794088364,0.22148609161376953,0.2833874225616455,0.3463398218154907,0.0916694775223732,0.1835664063692093,-0.019644686952233315,0.1624586433172226
of,0.2480744868516922,0.2671096920967102,0.4069072902202606,0.733189046382904,0.399336040019989,0.27235376834869385,1.0,0.733189046382904,0.06780257821083069,0.2777891755104065,0.21686489880084991,0.1566329300403595,0.17766256630420685,0.13035868108272552,0.5696388483047485,-0.10678710788488388,0.1826142966747284
the,0.33890387415885925,0.35023224353790283,0.48711544275283813,1.0,0.3713363707065582,0.24999672174453735,0.733189046382904,1.0,0.029072100296616554,0.2880653440952301,0.277012437582016,0.2596837878227234,0.2355634719133377,0.041273195296525955,0.6662389636039734,-0.06530369818210602,0.22068053483963013
``,-0.01591024175286293,0.02682921104133129,-0.012679691426455975,0.029072100296616554,0.08128747344017029,0.03245234861969948,0.06780257821083069,0.029072100296616554,1.0,0.008565991185605526,0.03899171203374863,0.10278460383415222,-0.016410036012530327,-0.09173435717821121,0.04765888676047325,-0.03293946012854576,0.0685480609536171
10,0.09177426248788834,0.14081913232803345,0.16597506403923035,0.2880653440952301,0.19944122433662415,0.12340863794088364,0.2777891755104065,0.2880653440952301,0.008565991185605526,1.0,0.10982436686754227,0.011049515567719936,0.026660986244678497,0.026877591386437416,0.22690178453922272,0.05284503474831581,0.022911956533789635
million,0.21114659309387207,0.2792966067790985,0.24203833937644958,0.277012437582016,0.15003883838653564,0.22148609161376953,0.21686489880084991,0.277012437582016,0.03899171203374863,0.10982436686754227,0.9999999403953552,0.4472901225090027,0.5730459690093994,-0.04049712419509888,0.2596224844455719,-0.05069385841488838,0.23092924058437347
dollar,0.21454864740371704,0.17403052747249603,0.16782456636428833,0.2596837878227234,0.14318816363811493,0.2833874225616455,0.1566329300403595,0.2596837878227234,0.10278460383415222,0.011049515567719936,0.4472901225090027,0.9999999403953552,0.4525245428085327,0.083279550075531,0.20175442099571228,0.02754851244390011,0.17535142600536346
millionaires,0.20209971070289612,0.22519905865192413,0.2836161255836487,0.2355634719133377,0.19565963745117188,0.3463398218154907,0.17766256630420685,0.2355634719133377,-0.016410036012530327,0.026660986244678497,0.5730459690093994,0.4525245428085327,1.0000001192092896,0.038817767053842545,0.22409850358963013,0.12461727857589722,0.23819777369499207
'',-0.0029843549709767103,-0.014185515232384205,0.04456103965640068,0.041273195296525955,0.12371319532394409,0.0916694775223732,0.13035868108272552,0.041273195296525955,-0.09173435717821121,0.026877591386437416,-0.04049712419509888,0.083279550075531,0.038817767053842545,1.0,0.07432962208986282,-0.014141581952571869,0.018684765323996544
