,why,should,disobedience,by,the,general,public,be,avoided,?
one,0.37620118260383606,0.30376771092414856,0.20541732013225555,0.29445651173591614,0.5514441132545471,0.18572571873664856,0.255158394575119,0.4154875874519348,0.22932587563991547,0.2673267424106598
theory,0.3339385986328125,0.20318785309791565,0.23475249111652374,0.17579947412014008,0.2277156263589859,0.23614253103733063,0.15859171748161316,0.2076098620891571,0.19691991806030273,0.1387292891740799
is,0.26410171389579773,0.33635082840919495,0.21453623473644257,0.3899846076965332,0.5823672413825989,0.20144300162792206,0.1980048567056656,0.4819129705429077,0.2064962536096573,0.22961433231830597
that,0.5601457357406616,0.4588061273097992,0.3551425039768219,0.37496164441108704,0.5473989248275757,0.2510950565338135,0.2622828185558319,0.6036020517349243,0.3334939181804657,0.32716336846351624
",",0.2827242314815521,0.2706286907196045,0.2878543734550476,0.3680937886238098,0.4933079481124878,0.3022127151489258,0.2588968276977539,0.39254459738731384,0.24417760968208313,0.31091248989105225
while,0.3304853141307831,0.3031889796257019,0.26316946744918823,0.3083919286727905,0.39804592728614807,0.19463972747325897,0.1935804933309555,0.3466706871986389,0.37767335772514343,0.21076419949531555
disobedience,0.22061246633529663,0.30054971575737,1.0,0.2563513219356537,0.30963727831840515,0.2706870138645172,0.3216745853424072,0.2944406270980835,0.33533433079719543,0.19890835881233215
may,0.25454580783843994,0.3535434603691101,0.24693389236927032,0.1970296949148178,0.2694292366504669,0.22961640357971191,0.212143212556839,0.45514434576034546,0.26887500286102295,0.2768254578113556
be,0.4042811989784241,0.6527681946754456,0.2944406270980835,0.43158695101737976,0.4248143136501312,0.1851358562707901,0.22898490726947784,1.0,0.4245990514755249,0.3324260413646698
helpful,0.41270366311073303,0.4772859811782837,0.2288075089454651,0.09679815918207169,0.18637478351593018,0.13444668054580688,0.15718041360378265,0.48287713527679443,0.36835312843322754,0.42450982332229614
",",0.2827242314815521,0.2706286907196045,0.2878543734550476,0.3680937886238098,0.4933079481124878,0.3022127151489258,0.2588968276977539,0.39254459738731384,0.24417760968208313,0.31091248989105225
any,0.4423638582229614,0.447360634803772,0.2978997826576233,0.2681882679462433,0.4525727927684784,0.18700112402439117,0.2731722891330719,0.5107080936431885,0.38676872849464417,0.4113408327102661
great,0.19439856708049774,0.16104336082935333,0.1897464245557785,0.1775381863117218,0.2822027802467346,0.1768985092639923,0.21338744461536407,0.17040422558784485,0.10956783592700958,0.13135133683681488
amount,0.268189013004303,0.2695535719394684,0.1565355807542801,0.19143085181713104,0.3336862325668335,0.15686757862567902,0.19391706585884094,0.3666991889476776,0.2774656414985657,0.17984020709991455
of,0.28464117646217346,0.23792634904384613,0.31932318210601807,0.3646814823150635,0.733189046382904,0.28352999687194824,0.2391265481710434,0.33904364705085754,0.2260015457868576,0.1826142966747284
it,0.376611590385437,0.3525244891643524,0.2648297846317291,0.40926623344421387,0.6251175999641418,0.21158641576766968,0.2047269344329834,0.5203388929367065,0.2289041131734848,0.25732165575027466
would,0.4549354612827301,0.5900080800056458,0.29806897044181824,0.28394925594329834,0.4133751392364502,0.2446732223033905,0.2115112692117691,0.5202695727348328,0.401328980922699,0.37178951501846313
undermine,0.36583730578422546,0.40991872549057007,0.32118621468544006,0.20310035347938538,0.34470516443252563,0.22617468237876892,0.26160547137260437,0.3232320249080658,0.38376885652542114,0.31749099493026733
the,0.30742117762565613,0.32399165630340576,0.30963727831840515,0.4408751428127289,1.0,0.28634732961654663,0.22857438027858734,0.4248143136501312,0.2570779025554657,0.22068053483963013
law,0.18942931294441223,0.2088879495859146,0.3980846405029297,0.1977037936449051,0.24548950791358948,0.26049289107322693,0.26381510496139526,0.18454892933368683,0.12692010402679443,0.1528988480567932
by,0.19170543551445007,0.2928081750869751,0.2563513219356537,1.0000001192092896,0.4408751428127289,0.2654627859592438,0.23323717713356018,0.43158695101737976,0.24573306739330292,0.17966607213020325
encouraging,0.3481769561767578,0.3666186034679413,0.3919442892074585,0.19286222755908966,0.24877148866653442,0.19388720393180847,0.3095736503601074,0.29633432626724243,0.4436885714530945,0.23532812297344208
