,how,high,on,the,charts,did,the,mankind,version,of,the,theme,go,?
[,0.03530287742614746,0.16933363676071167,0.2087296098470688,0.07130392640829086,0.2167062610387802,0.030549485236406326,0.07130392640829086,0.08569466322660446,0.14466188848018646,0.010817250236868858,0.07130392640829086,0.23362614214420319,0.12408285588026047,0.011015460826456547
note,0.2170887291431427,0.1348552107810974,0.21276570856571198,0.255229115486145,0.1742066740989685,0.2020123302936554,0.255229115486145,0.14060068130493164,0.30156299471855164,0.1706424355506897,0.255229115486145,0.14539147913455963,0.2139417976140976,0.2754004895687103
6,0.056429795920848846,0.1006205826997757,0.005334584508091211,0.041227471083402634,0.04013168066740036,-0.0043754540383815765,0.041227471083402634,0.03904101625084877,0.0518689826130867,0.055943556129932404,0.041227471083402634,-0.06804819405078888,0.09236442297697067,0.045001473277807236
],0.06738625466823578,-0.039300378412008286,-0.008521610870957375,-0.04779602214694023,-0.04880424216389656,0.024806415662169456,-0.04779602214694023,0.02568269707262516,-0.07807204127311707,-0.035044461488723755,-0.04779602214694023,-0.0785275250673294,-0.095278300344944,-0.0022520492784678936
in,0.2601168751716614,0.2652597725391388,0.46853652596473694,0.6662389636039734,0.1871482878923416,0.2593238651752472,0.6662389636039734,0.19434411823749542,0.19599339365959167,0.5696388483047485,0.6662389636039734,0.21164380013942719,0.22233200073242188,0.20430970191955566
1978,-0.038505055010318756,0.05926498770713806,0.0048425812274217606,0.1314823180437088,0.0029990042094141245,0.043191809207201004,0.1314823180437088,-0.005996588617563248,0.07786823809146881,0.13908278942108154,0.1314823180437088,0.05105770751833916,-0.04667222872376442,0.06364871561527252
a,0.29312583804130554,0.22865821421146393,0.3848365545272827,0.5829201340675354,0.169969841837883,0.2552328109741211,0.5829201340675354,0.20854520797729492,0.27132871747016907,0.5052502155303955,0.5829201340675354,0.2278088480234146,0.24019409716129303,0.23916715383529663
disco,0.15637250244617462,0.16743746399879456,0.1562282294034958,0.18790096044540405,0.28072115778923035,0.17528770864009857,0.18790096044540405,0.17302200198173523,0.2468753606081009,0.14281831681728363,0.18790096044540405,0.32810020446777344,0.1763189435005188,0.14864695072174072
version,0.21470944583415985,0.05083327367901802,0.25959500670433044,0.27268242835998535,0.19430312514305115,0.21677692234516144,0.27268242835998535,0.18337176740169525,1.0000001192092896,0.14166875183582306,0.27268242835998535,0.3038923144340515,0.136513352394104,0.2573966085910797
of,0.2480744868516922,0.2803038954734802,0.3966929316520691,0.733189046382904,0.1726142019033432,0.2513895630836487,0.733189046382904,0.243864044547081,0.14166875183582306,1.0,0.733189046382904,0.17537155747413635,0.21881330013275146,0.1826142966747284
