,what,culture,did,the,normans,combine,with,in,ireland,?
the,0.42745697498321533,0.27157285809516907,0.34736719727516174,1.0,0.2781367897987366,0.2880306839942932,0.4223487675189972,0.6662389636039734,0.2573983073234558,0.22068053483963013
normans,0.15760394930839539,0.21993273496627808,0.22847257554531097,0.2781367897987366,1.0,0.13727009296417236,0.18717211484909058,0.23263490200042725,0.304365873336792,0.12354589998722076
had,0.23849567770957947,0.16977617144584656,0.540525496006012,0.3875846862792969,0.30812567472457886,0.1672382950782776,0.4739086329936981,0.385026752948761,0.20465824007987976,0.20728366076946259
a,0.3320399522781372,0.23602306842803955,0.2552328109741211,0.5829201340675354,0.16186057031154633,0.2690390646457672,0.3783375024795532,0.539380669593811,0.18418891727924347,0.23916715383529663
profound,0.25787314772605896,0.32713091373443604,0.165501669049263,0.24527215957641602,0.15212900936603546,0.21333062648773193,0.2970196604728699,0.18070675432682037,0.07110613584518433,0.2105889469385147
effect,0.2546532452106476,0.2201112061738968,0.19503958523273468,0.2865084111690521,0.1357065737247467,0.31751009821891785,0.2349119931459427,0.25150683522224426,0.17486321926116943,0.1783771812915802
on,0.34226128458976746,0.1360311508178711,0.2670976221561432,0.5107308030128479,0.12741681933403015,0.17504215240478516,0.40749499201774597,0.46853652596473694,0.17379912734031677,0.2714994251728058
irish,0.12490905076265335,0.18182595074176788,0.15375059843063354,0.20936301350593567,0.24378108978271484,0.10939226299524307,0.1705704927444458,0.17023150622844696,0.6727026104927063,0.09232300519943237
culture,0.22475376725196838,1.0,0.09147893637418747,0.27157285809516907,0.21993273496627808,0.13107328116893768,0.13572028279304504,0.2512284517288208,0.18731331825256348,0.13093146681785583
and,0.31309178471565247,0.2617773115634918,0.34479495882987976,0.5171257257461548,0.23779046535491943,0.36650222539901733,0.5477725267410278,0.4954058527946472,0.2852447032928467,0.20544172823429108
history,0.28630873560905457,0.3501126766204834,0.24950987100601196,0.33215048909187317,0.19994331896305084,0.18999363481998444,0.1947222352027893,0.29215577244758606,0.15985339879989624,0.2501974403858185
after,0.21973377466201782,0.14900879561901093,0.30330467224121094,0.4565047025680542,0.2102251946926117,0.17267918586730957,0.33843478560447693,0.44050168991088867,0.1923658698797226,0.16608688235282898
their,0.35142919421195984,0.21262413263320923,0.38078752160072327,0.516537070274353,0.23518306016921997,0.2840668857097626,0.4258328378200531,0.34976133704185486,0.1798509806394577,0.1898253709077835
invasion,0.22275975346565247,0.2406061738729477,0.1800924837589264,0.32296645641326904,0.4270971417427063,0.10743992775678635,0.17501716315746307,0.2543354034423828,0.19556520879268646,0.18923960626125336
at,0.2838611304759979,0.13476011157035828,0.28390252590179443,0.457212895154953,0.19791625440120697,0.15522506833076477,0.29126521944999695,0.4374977946281433,0.1729920506477356,0.21978627145290375
bannow,0.3162500262260437,0.16765540838241577,0.24596621096134186,0.3598432242870331,0.25986385345458984,0.16928112506866455,0.2157932072877884,0.263469934463501,0.34661567211151123,0.31701499223709106
bay,0.20251236855983734,0.11825334280729294,0.05503932014107704,0.2441686987876892,0.13190191984176636,0.1254700869321823,0.1368160843849182,0.1926257163286209,0.1716226190328598,0.10773546993732452
in,0.30808621644973755,0.2512284517288208,0.2593238651752472,0.6662389636039734,0.23263490200042725,0.30072295665740967,0.4080928862094879,1.0,0.24362659454345703,0.20430970191955566
1169,0.02997187338769436,0.06127107888460159,0.06158655136823654,0.031510643661022186,0.04122959077358246,-0.0646723285317421,-0.019689200446009636,0.11676845699548721,0.07716843485832214,0.02410072647035122
.,0.3567904531955719,0.24176450073719025,0.35288307070732117,0.5934505462646484,0.2287112921476364,0.2269059419631958,0.4446153938770294,0.5591574311256409,0.25703296065330505,0.4130953550338745
,what,culture,did,the,normans,combine,with,in,ireland,?
yet,0.44080492854118347,0.2099897712469101,0.34866881370544434,0.32892218232154846,0.15932931005954742,0.17919614911079407,0.29829204082489014,0.2714422047138214,0.16800382733345032,0.4011770784854889
",",0.3087472915649414,0.23807421326637268,0.3015086054801941,0.4933079481124878,0.207779198884964,0.29247188568115234,0.4120737314224243,0.5201468467712402,0.24259544909000397,0.31091248989105225
with,0.2464839518070221,0.13572028279304504,0.25472134351730347,0.4223487675189972,0.18717211484909058,0.35364508628845215,0.9999999403953552,0.4080928862094879,0.20889659225940704,0.2433311939239502
time,0.36319252848625183,0.1723911166191101,0.3567926585674286,0.43061500787734985,0.22965459525585175,0.17839491367340088,0.31862112879753113,0.3431483507156372,0.2114621102809906,0.27391523122787476
",",0.3087472915649414,0.23807421326637268,0.3015086054801941,0.4933079481124878,0.207779198884964,0.29247188568115234,0.4120737314224243,0.5201468467712402,0.24259544909000397,0.31091248989105225
they,0.4431931674480438,0.22792473435401917,0.4879390597343445,0.49925389885902405,0.2897695004940033,0.2849576473236084,0.42091572284698486,0.4330179989337921,0.1996392160654068,0.2753053903579712
came,0.2728535234928131,0.19861043989658356,0.4016856253147125,0.39390382170677185,0.26291313767433167,0.23194310069084167,0.25989991426467896,0.29996100068092346,0.2368287295103073,0.1739392727613449
to,0.455847829580307,0.1957503855228424,0.4452643394470215,0.535392165184021,0.2506018877029419,0.2847091257572174,0.4239959120750427,0.45010748505592346,0.2296099066734314,0.29463258385658264
