,how,many,people,attended,the,funeral,?
on,0.32655060291290283,0.32520127296447754,0.2559742033481598,0.2179451286792755,0.5107308030128479,0.23788054287433624,0.2714994251728058
12,0.10959922522306442,0.1780882626771927,0.20147018134593964,-0.04572560638189316,0.28907760977745056,0.10849486291408539,0.10021790862083435
january,0.11096196621656418,0.11292167752981186,0.2261478751897812,0.2562226951122284,0.2467057853937149,0.2205803096294403,0.28608936071395874
",",0.22659391164779663,0.40610817074775696,0.36644625663757324,0.2751223146915436,0.4933079481124878,0.26193949580192566,0.31091248989105225
two,0.2499001920223236,0.5147606730461121,0.16884666681289673,0.20726536214351654,0.43858039379119873,0.15627384185791016,0.19645625352859497
thousand,0.22628572583198547,0.4007153809070587,0.2541821002960205,0.1976814866065979,0.25864744186401367,0.17231528460979462,0.15439848601818085
people,0.2932034730911255,0.4171447455883026,1.0000001192092896,0.2185647040605545,0.36838498711586,0.2202594131231308,0.23739641904830933
attended,0.04582925885915756,0.2352064549922943,0.2185647040605545,1.0,0.2369099110364914,0.3333749771118164,0.08268529176712036
a,0.29312583804130554,0.2872205972671509,0.3483705520629883,0.20517998933792114,0.5829201340675354,0.2279004156589508,0.23916715383529663
state,0.15028610825538635,0.23203584551811218,0.3051503598690033,0.22391140460968018,0.3097178041934967,0.25768813490867615,0.1160883978009224
funeral,0.09835239499807358,0.22510100901126862,0.2202594131231308,0.3333749771118164,0.20578792691230774,0.9999999403953552,0.16502951085567474
for,0.3308170735836029,0.40972793102264404,0.24900002777576447,0.2428373545408249,0.4739971458911896,0.2095528542995453,0.264628142118454
tesla,0.19128404557704926,0.15282970666885376,0.1363585740327835,0.13557399809360504,0.1324402391910553,0.11262314021587372,0.10250775516033173
at,0.2154216170310974,0.2716965675354004,0.2582513391971588,0.41725796461105347,0.457212895154953,0.2338956594467163,0.21978627145290375
the,0.33890387415885925,0.4335206151008606,0.36838498711586,0.2369099110364914,1.0,0.20578792691230774,0.22068053483963013
cathedral,0.07796738296747208,0.1801552027463913,0.21584175527095795,0.2160840630531311,0.23437000811100006,0.33371812105178833,0.1257525086402893
of,0.2480744868516922,0.37253960967063904,0.3251037895679474,0.25085145235061646,0.733189046382904,0.2475227415561676,0.1826142966747284
saint,0.07478894293308258,0.14868810772895813,0.18652480840682983,0.2042117565870285,0.24700650572776794,0.2634645998477936,0.15690264105796814
john,0.16882067918777466,0.12777787446975708,0.06191077455878258,0.21510450541973114,0.2230520099401474,0.1683339625597,0.13162356615066528
the,0.33890387415885925,0.4335206151008606,0.36838498711586,0.2369099110364914,1.0,0.20578792691230774,0.22068053483963013
divine,0.1426001340150833,0.20188546180725098,0.1233903095126152,0.15691788494586945,0.24795062839984894,0.20699220895767212,0.17546041309833527
.,0.3287222981452942,0.3974229395389557,0.33118996024131775,0.2017192840576172,0.5934505462646484,0.2139163613319397,0.4130953550338745
