,where,does,the,delta,in,the,netherlands,begin,?
the,0.5003893971443176,0.35928019881248474,1.0,0.22022446990013123,0.6662389636039734,1.0,0.2279868870973587,0.34293439984321594,0.22068053483963013
rhine-meuse,0.2116653472185135,0.18929140269756317,0.3420952260494232,0.24112568795681,0.256996214389801,0.3420952260494232,0.3679220974445343,0.17860929667949677,0.23498749732971191
delta,0.2060132622718811,0.1373838186264038,0.22022446990013123,1.0000001192092896,0.21061979234218597,0.22022446990013123,0.06550586968660355,0.111600860953331,0.14208948612213135
",",0.3149496018886566,0.28617382049560547,0.4933079481124878,0.2192559540271759,0.5201468467712402,0.4933079481124878,0.2357385754585266,0.27304404973983765,0.31091248989105225
the,0.5003893971443176,0.35928019881248474,1.0,0.22022446990013123,0.6662389636039734,1.0,0.2279868870973587,0.34293439984321594,0.22068053483963013
most,0.3678402900695801,0.30044323205947876,0.47635307908058167,0.17283634841442108,0.41416558623313904,0.47635307908058167,0.1654609888792038,0.24350745975971222,0.2107497900724411
important,0.348819375038147,0.273820161819458,0.39348116517066956,0.19397950172424316,0.3796374499797821,0.39348116517066956,0.14180923998355865,0.19178582727909088,0.17812499403953552
natural,0.1720099002122879,0.1582203060388565,0.2291368842124939,0.1400379091501236,0.32136213779449463,0.2291368842124939,0.14348582923412323,0.16407744586467743,0.16155436635017395
region,0.2589060366153717,0.10874218493700027,0.35020557045936584,0.21139807999134064,0.3524819314479828,0.35020557045936584,0.15379557013511658,0.11138752847909927,0.13441751897335052
of,0.38066378235816956,0.3119818866252899,0.733189046382904,0.20736707746982574,0.5696388483047485,0.733189046382904,0.24916832149028778,0.24830074608325958,0.1826142966747284
the,0.5003893971443176,0.35928019881248474,1.0,0.22022446990013123,0.6662389636039734,1.0,0.2279868870973587,0.34293439984321594,0.22068053483963013
netherlands,0.2084113508462906,0.12675589323043823,0.2279868870973587,0.06550586968660355,0.28237903118133545,0.2279868870973587,1.0000001192092896,0.12734225392341614,0.09310898929834366
begins,0.1639891117811203,0.2696463465690613,0.3446018099784851,0.11134336143732071,0.27165544033050537,0.3446018099784851,0.15769639611244202,0.6813104152679443,0.09518900513648987
near,0.4188554286956787,0.11424306035041809,0.2879819869995117,0.27986568212509155,0.40211278200149536,0.2879819869995117,0.157412588596344,0.20361514389514923,0.10734958201646805
millingen,0.16202811896800995,0.14869195222854614,0.2378097027540207,0.1182999312877655,0.3060881495475769,0.2378097027540207,0.411508172750473,0.11573613435029984,0.1692030280828476
aan,0.14605289697647095,0.18863937258720398,0.16527047753334045,0.14431864023208618,0.15938495099544525,0.16527047753334045,0.4162694811820984,0.11419102549552917,0.11127196252346039
de,0.2051386833190918,0.10015963762998581,0.23491892218589783,0.12472070753574371,0.24818959832191467,0.23491892218589783,0.24909645318984985,0.07029283791780472,0.11064168810844421
rijn,0.13809074461460114,0.1349175125360489,0.15022686123847961,0.15940332412719727,0.17666952311992645,0.15022686123847961,0.5422191023826599,0.10623153299093246,0.15792600810527802
",",0.3149496018886566,0.28617382049560547,0.4933079481124878,0.2192559540271759,0.5201468467712402,0.4933079481124878,0.2357385754585266,0.27304404973983765,0.31091248989105225
close,0.2642509639263153,0.1352686882019043,0.2625353932380676,0.17301400005817413,0.23149028420448303,0.2625353932380676,0.08647531270980835,0.1805214136838913,0.1908312737941742
to,0.47735077142715454,0.4391997456550598,0.535392165184021,0.16459326446056366,0.45010748505592346,0.535392165184021,0.18099384009838104,0.33302420377731323,0.29463258385658264
the,0.5003893971443176,0.35928019881248474,1.0,0.22022446990013123,0.6662389636039734,1.0,0.2279868870973587,0.34293439984321594,0.22068053483963013
dutch-german,0.21201691031455994,0.18025408685207367,0.28678369522094727,0.10985410958528519,0.29995590448379517,0.28678369522094727,0.5570473074913025,0.1715199500322342,0.23817622661590576
border,0.2192085236310959,0.17243514955043793,0.2856229841709137,0.1511319875717163,0.28533756732940674,0.2856229841709137,0.16214808821678162,0.15503571927547455,0.1706928312778473
with,0.4142743945121765,0.26186925172805786,0.4223487675189972,0.15502384305000305,0.4080928862094879,0.4223487675189972,0.14086739718914032,0.25770750641822815,0.2433311939239502
the,0.5003893971443176,0.35928019881248474,1.0,0.22022446990013123,0.6662389636039734,1.0,0.2279868870973587,0.34293439984321594,0.22068053483963013
division,0.1718221753835678,0.10631364583969116,0.26203617453575134,0.02009826898574829,0.2658538520336151,0.26203617453575134,0.16996540129184723,0.10529420524835587,0.08900629729032516
of,0.38066378235816956,0.3119818866252899,0.733189046382904,0.20736707746982574,0.5696388483047485,0.733189046382904,0.24916832149028778,0.24830074608325958,0.1826142966747284
the,0.5003893971443176,0.35928019881248474,1.0,0.22022446990013123,0.6662389636039734,1.0,0.2279868870973587,0.34293439984321594,0.22068053483963013
rhine,0.2007746696472168,0.13532963395118713,0.30735138058662415,0.21930839121341705,0.24648422002792358,0.30735138058662415,0.3712500035762787,0.16868017613887787,0.13754533231258392
into,0.335035502910614,0.22312942147254944,0.39493247866630554,0.2030922770500183,0.38021373748779297,0.39493247866630554,0.12574024498462677,0.22897665202617645,0.15662476420402527
waal,0.20421674847602844,0.11804382503032684,0.14903073012828827,0.14324238896369934,0.19886554777622223,0.14903073012828827,0.38800737261772156,0.17775610089302063,0.11904393881559372
and,0.43859338760375977,0.3461615741252899,0.5171257257461548,0.21133051812648773,0.4954058527946472,0.5171257257461548,0.2576504349708557,0.2599445581436157,0.20544172823429108
nederrijn,0.13245168328285217,0.11752732843160629,0.1956699937582016,0.09077941626310349,0.22228482365608215,0.1956699937582016,0.4641827344894409,0.0800669714808464,0.254536509513855
.,0.41390106081962585,0.3022993505001068,0.5934505462646484,0.20923152565956116,0.5591574311256409,0.5934505462646484,0.25686022639274597,0.24827922880649567,0.4130953550338745
