,what,types,of,pumps,are,typically,used,in,industrial,boilers,?
utility,0.170489102602005,0.2862560451030731,0.2311905026435852,0.2734668552875519,0.2512670159339905,0.3435135781764984,0.3677685856819153,0.20060469210147858,0.23696443438529968,0.2873321771621704,0.18713216483592987
and,0.31309178471565247,0.3014242649078369,0.5116966962814331,0.3266826570034027,0.48576638102531433,0.3137528598308563,0.3150506615638733,0.4954058527946472,0.3274568021297455,0.2556017339229584,0.20544172823429108
industrial,0.16054853796958923,0.16864706575870514,0.3120400011539459,0.3467668294906616,0.1844613403081894,0.20798012614250183,0.25484758615493774,0.3118434548377991,1.0,0.24761296808719635,0.08039500564336777
boilers,0.24493542313575745,0.22802306711673737,0.16756583750247955,0.44452324509620667,0.27254289388656616,0.22207944095134735,0.25726771354675293,0.22497087717056274,0.24761296808719635,1.0,0.19904552400112152
commonly,0.18122613430023193,0.304052472114563,0.29300037026405334,0.200588658452034,0.4038049578666687,0.42019402980804443,0.4782883822917938,0.2769457697868347,0.20705609023571014,0.19934825599193573,0.13546277582645416
use,0.3453877568244934,0.3699355721473694,0.2750902473926544,0.3259182870388031,0.4174068570137024,0.42593929171562195,0.7127541303634644,0.2715643048286438,0.23516546189785004,0.278025358915329,0.32795652747154236
multi-stage,0.21004165709018707,0.25845950841903687,0.19892963767051697,0.28843745589256287,0.25486043095588684,0.29025912284851074,0.2235560119152069,0.21582487225532532,0.2779264450073242,0.26905620098114014,0.15717394649982452
centrifugal,0.29518410563468933,0.26755931973457336,0.2583181858062744,0.4352197051048279,0.2719596326351166,0.37887638807296753,0.3486081659793854,0.20533668994903564,0.33008936047554016,0.33368322253227234,0.17586340010166168
pumps,0.1776767075061798,0.31206363439559937,0.1930670440196991,0.9999999403953552,0.31512877345085144,0.3306683897972107,0.27746039628982544,0.1797347515821457,0.3467668294906616,0.44452324509620667,0.17318885028362274
;,0.10986888408660889,0.016444861888885498,0.054534342139959335,-0.053676676005125046,0.15315808355808258,0.036054808646440506,0.11651374399662018,0.092739537358284,0.011297528631985188,0.0022183009423315525,0.10349778085947037
however,0.4480680823326111,0.3257095217704773,0.3800618350505829,0.24246767163276672,0.44812726974487305,0.4348779618740082,0.41882941126823425,0.3982149362564087,0.2044396549463272,0.2654729187488556,0.2152075469493866
",",0.3087472915649414,0.24108222126960754,0.4946078956127167,0.2859240174293518,0.4062570035457611,0.18964512646198273,0.3120402991771698,0.5201468467712402,0.28774935007095337,0.21315258741378784,0.31091248989105225
other,0.341873437166214,0.44658762216567993,0.38583824038505554,0.30694228410720825,0.5932393670082092,0.38911667466163635,0.3574926257133484,0.39989137649536133,0.2142861932516098,0.2634720504283905,0.24682199954986572
types,0.25706279277801514,1.0,0.2447618544101715,0.31206363439559937,0.4691450595855713,0.45254701375961304,0.386074036359787,0.18516337871551514,0.16864706575870514,0.22802306711673737,0.1285012811422348
are,0.29724663496017456,0.4691450595855713,0.39081433415412903,0.31512877345085144,1.0,0.4610564708709717,0.3322218656539917,0.3841303884983063,0.1844613403081894,0.27254289388656616,0.24591213464736938
used,0.27546408772468567,0.386074036359787,0.3075267970561981,0.27746039628982544,0.3322218656539917,0.4492659866809845,0.9999998807907104,0.3090210556983948,0.25484758615493774,0.25726771354675293,0.22430120408535004
.,0.3567904531955719,0.2097296416759491,0.5352458953857422,0.2846102714538574,0.3452940285205841,0.25537845492362976,0.33111312985420227,0.5591574311256409,0.2738547623157501,0.24327951669692993,0.4130953550338745
