,what,was,the,cost,of,the,other,super,bowl,events,in,the,san,francisco,area,?
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.25200018286705017,0.5696388483047485,0.6662389636039734,0.39989137649536133,0.18576006591320038,0.17236235737800598,0.2690284550189972,1.0,0.6662389636039734,0.2617562413215637,0.21278683841228485,0.33632898330688477,0.20430970191955566
addition,0.20643717050552368,0.2078816294670105,0.32955414056777954,0.24037039279937744,0.27503931522369385,0.32955414056777954,0.3792383074760437,0.11136776208877563,0.1572340577840805,0.20360073447227478,0.3033084571361542,0.32955414056777954,0.15303508937358856,0.1227385550737381,0.16391140222549438,0.19187232851982117
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.20970560610294342,0.4946078956127167,0.4933079481124878,0.4446498453617096,0.22322475910186768,0.1810409277677536,0.16838376224040985,0.5201468467712402,0.4933079481124878,0.25561806559562683,0.22144022583961487,0.2664283812046051,0.31091248989105225
there,0.35085538029670715,0.24909798800945282,0.47025805711746216,0.2751925587654114,0.44397735595703125,0.47025805711746216,0.5342466235160828,0.1183716282248497,0.13301785290241241,0.24689601361751556,0.5361666083335876,0.47025805711746216,0.15288279950618744,0.13337884843349457,0.3357469141483307,0.29405656456947327
are,0.29724663496017456,0.3076191842556,0.40399202704429626,0.21638384461402893,0.39081433415412903,0.40399202704429626,0.5932393670082092,0.14630910754203796,0.139107808470726,0.21850600838661194,0.3841303884983063,0.40399202704429626,0.13921020925045013,0.1310940682888031,0.25780194997787476,0.24591213464736938
$,0.24858909845352173,0.23838669061660767,0.23367542028427124,0.5133980512619019,0.11268499493598938,0.23367542028427124,0.15112794935703278,0.14851532876491547,0.24415016174316406,0.11337720602750778,0.21616753935813904,0.23367542028427124,0.16023726761341095,0.1288125067949295,0.11841849237680435,0.2786129117012024
2,-0.049862053245306015,-0.013097384944558144,-0.019434669986367226,-0.06624072045087814,-0.013777675107121468,-0.019434669986367226,-0.06383107602596283,-0.08190077543258667,-0.05451776087284088,-0.017215784639120102,0.01447046548128128,-0.019434669986367226,-0.034111473709344864,0.01539956871420145,-0.03342994675040245,0.001977203879505396
million,0.22197039425373077,0.24203833937644958,0.277012437582016,0.3814373016357422,0.21686489880084991,0.277012437582016,0.2682945728302002,0.15958677232265472,0.18768401443958282,0.16061528027057648,0.2596224844455719,0.277012437582016,0.12274323403835297,0.08557038009166718,0.20709379017353058,0.23092924058437347
worth,0.319988876581192,0.20631952583789825,0.2137632668018341,0.35684075951576233,0.19252154231071472,0.2137632668018341,0.21030515432357788,0.14139170944690704,0.19887389242649078,0.054966993629932404,0.21340444684028625,0.2137632668018341,0.17869970202445984,0.0949830561876297,0.1545679271221161,0.3282513916492462
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.23332229256629944,1.0,0.733189046382904,0.38583824038505554,0.14718765020370483,0.2243070751428604,0.20782610774040222,0.5696388483047485,0.733189046382904,0.25237205624580383,0.19117538630962372,0.3409860134124756,0.1826142966747284
other,0.341873437166214,0.14651623368263245,0.44152235984802246,0.22403904795646667,0.38583824038505554,0.44152235984802246,0.9999999403953552,0.15647977590560913,0.12835361063480377,0.2375173419713974,0.39989137649536133,0.44152235984802246,0.19091297686100006,0.19683010876178741,0.21664315462112427,0.24682199954986572
ancillary,0.24446424841880798,0.22525140643119812,0.28395962715148926,0.11830863356590271,0.28705137968063354,0.28395962715148926,0.17350079119205475,0.1493634283542633,0.1616138219833374,0.17635872960090637,0.2194269895553589,0.28395962715148926,0.2112101912498474,0.2602803707122803,0.1779211312532425,0.24259690940380096
