,who,threw,gold,into,the,rhine,",",according,to,legend,?
this,0.3345087468624115,0.21578098833560944,0.18747787177562714,0.32724273204803467,0.6274310946464539,0.16867555677890778,0.4316047728061676,0.2687089741230011,0.5759071707725525,0.16313710808753967,0.3155723512172699
``,0.02397952415049076,-0.05172497779130936,-0.11425485461950302,0.02736244536936283,0.029072100296616554,0.031863048672676086,0.09681109338998795,0.008405309170484543,0.06720756739377975,-0.021260254085063934,0.0685480609536171
germanic,0.29034221172332764,0.18517351150512695,0.13415171205997467,0.2689321041107178,0.3006645441055298,0.49177953600883484,0.22153666615486145,0.24906949698925018,0.2573712468147278,0.19183659553527832,0.18380945920944214
heroic,0.28911858797073364,0.2566310167312622,0.13500595092773438,0.09229003638029099,0.24516884982585907,0.16584883630275726,0.15625323355197906,0.15275344252586365,0.18012724816799164,0.26837828755378723,0.20906680822372437
age,0.2584081292152405,0.11972388625144958,0.1555628925561905,0.12253087013959885,0.24711290001869202,0.14115528762340546,0.2693369388580322,0.18011337518692017,0.23830388486385345,0.1995265930891037,0.16859300434589386
'',0.024401003494858742,-0.012492213398218155,-7.126860873540863e-05,-0.043979667127132416,0.041273195296525955,-0.003653771709650755,-0.037358131259679794,0.06436512619256973,-0.009905828163027763,0.07939443737268448,0.018684765323996544
is,0.24293622374534607,0.1391211748123169,0.16155372560024261,0.2619607150554657,0.5823672413825989,0.15617261826992035,0.4691906273365021,0.2838992476463318,0.42745086550712585,0.1762775480747223,0.22961433231830597
reflected,0.14889879524707794,0.25656625628471375,0.23166611790657043,0.27609381079673767,0.3111802637577057,0.10963790118694305,0.22107748687267303,0.21514275670051575,0.23165373504161835,0.17491750419139862,0.12829364836215973
in,0.2792111933231354,0.18275858461856842,0.21206732094287872,0.38021373748779297,0.6662389636039734,0.24648422002792358,0.5201468467712402,0.29259276390075684,0.45010748505592346,0.1550724357366562,0.20430970191955566
medieval,0.1664111316204071,0.13047488033771515,0.21901018917560577,0.15979626774787903,0.28617456555366516,0.278163343667984,0.18470603227615356,0.242094025015831,0.1536858230829239,0.22741474211215973,0.15571735799312592
legend,0.22516049444675446,0.14416319131851196,0.27035775780677795,0.1335395723581314,0.19108377397060394,0.10425674915313721,0.22192493081092834,0.32551461458206177,0.17162109911441803,0.9999999403953552,0.1287047564983368
",",0.3365725874900818,0.2009226679801941,0.28787803649902344,0.2826121151447296,0.4933079481124878,0.167837992310524,1.0000001192092896,0.3107093870639801,0.44245919585227966,0.22192493081092834,0.31091248989105225
such,0.2594927251338959,0.18796007335186005,0.1545749306678772,0.19910161197185516,0.3575236201286316,0.12275618314743042,0.39626169204711914,0.14878541231155396,0.2871878743171692,0.0980706661939621,0.17851735651493073
as,0.3923053741455078,0.1787363737821579,0.14158271253108978,0.24094121158123016,0.48381632566452026,0.18380387127399445,0.48816442489624023,0.24795791506767273,0.42092081904411316,0.09394288808107376,0.27043893933296204
the,0.3733934462070465,0.28714463114738464,0.27136439085006714,0.39493247866630554,1.0,0.30735138058662415,0.4933079481124878,0.3202974498271942,0.535392165184021,0.19108377397060394,0.22068053483963013
nibelungenlied,0.31398946046829224,0.23152439296245575,0.20792825520038605,0.2750625014305115,0.39141249656677246,0.35861364006996155,0.3027667701244354,0.3022063076496124,0.266836941242218,0.3020821809768677,0.1500171571969986
which,0.3688730001449585,0.25778502225875854,0.2007036805152893,0.4405161738395691,0.6521818041801453,0.18744276463985443,0.3658004403114319,0.28790292143821716,0.5345056653022766,0.1827332079410553,0.25814583897590637
tells,0.33667775988578796,0.3127574026584625,0.1547112762928009,0.23851734399795532,0.28859055042266846,0.148207426071167,0.23730751872062683,0.3396879732608795,0.30534905195236206,0.26294633746147156,0.20469747483730316
of,0.2827862501144409,0.2293425351381302,0.2101457566022873,0.32255905866622925,0.733189046382904,0.2548927664756775,0.4946078956127167,0.3307822346687317,0.41548454761505127,0.22387516498565674,0.1826142966747284
