,approximately,how,many,works,of,art,are,included,in,the,far,eastern,collections,?
the,0.33137547969818115,0.33890387415885925,0.4335206151008606,0.26337864995002747,0.733189046382904,0.20297785103321075,0.40399202704429626,0.3825419843196869,0.6662389636039734,1.0,0.38564538955688477,0.3928247392177582,0.27174001932144165,0.22068053483963013
far,0.28313279151916504,0.3041025996208191,0.3463234305381775,0.1515258401632309,0.3005201518535614,0.2209669053554535,0.30228713154792786,0.26305827498435974,0.2599720060825348,0.38564538955688477,1.0,0.2700175344944,0.22732877731323242,0.2170870453119278
eastern,0.23274599015712738,0.08724340796470642,0.2480354905128479,0.10995126515626907,0.33281487226486206,0.1794656217098236,0.21353314816951752,0.22362761199474335,0.3306356370449066,0.3928247392177582,0.2700175344944,1.0,0.16368316113948822,0.20060817897319794
collections,0.17409399151802063,0.1600850522518158,0.3478132486343384,0.3803873360157013,0.3185039758682251,0.3595452308654785,0.3220110833644867,0.39791813492774963,0.2719179093837738,0.27174001932144165,0.22732877731323242,0.16368316113948822,0.9999998807907104,0.1873358190059662
include,0.17801807820796967,0.1816270500421524,0.4642373323440552,0.23418141901493073,0.37431180477142334,0.1146894246339798,0.5140694975852966,0.6415448784828186,0.28694382309913635,0.2951717972755432,0.19530443847179413,0.14885322749614716,0.34183329343795776,0.14925788342952728
more,0.3425437808036804,0.4319567084312439,0.48608261346817017,0.16768498718738556,0.30478984117507935,0.2212761491537094,0.4066504240036011,0.29518094658851624,0.32563260197639465,0.39758381247520447,0.37953251600265503,0.16634006798267365,0.24300287663936615,0.27894994616508484
than,0.3712998330593109,0.29763275384902954,0.39069414138793945,0.1739061176776886,0.33036211133003235,0.16086477041244507,0.39206281304359436,0.225083589553833,0.3270052373409271,0.3227543234825134,0.3604656159877777,0.19608601927757263,0.2000291645526886,0.24917294085025787
"70,000",-0.15694022178649902,-0.08972257375717163,-0.08990031480789185,-0.02298923209309578,0.03968895599246025,-0.054538872092962265,-0.14135786890983582,-0.04884093999862671,-0.04515970125794411,-0.013586602173745632,-0.14182183146476746,-0.08650166541337967,-0.0519351102411747,-0.06701415032148361
works,0.08490744978189468,0.28242939710617065,0.31669676303863525,1.0,0.1964656114578247,0.35882219672203064,0.2733730971813202,0.20836322009563446,0.2656683027744293,0.26337864995002747,0.1515258401632309,0.10995126515626907,0.3803873360157013,0.19597402215003967
of,0.34526896476745605,0.2480744868516922,0.37253960967063904,0.1964656114578247,1.0,0.22648051381111145,0.39081433415412903,0.4391688108444214,0.5696388483047485,0.733189046382904,0.3005201518535614,0.33281487226486206,0.3185039758682251,0.1826142966747284
