,what,kind,of,chloroplasts,did,diatoms,have,but,lost,?
for,0.3017193675041199,0.28053680062294006,0.4185989499092102,0.22036349773406982,0.318512886762619,0.24835851788520813,0.41175219416618347,0.45162561535835266,0.2845156490802765,0.264628142118454
example,0.3456268310546875,0.4014129340648651,0.3570667505264282,0.23376847803592682,0.2528466582298279,0.3124704957008362,0.39606785774230957,0.39983898401260376,0.1321267932653427,0.30374911427497864
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.20794041454792023,0.3015086054801941,0.2926155626773834,0.3541618287563324,0.48126736283302307,0.26788443326950073,0.31091248989105225
while,0.35511791706085205,0.18236218392848969,0.3366928696632385,0.23798267543315887,0.3330625295639038,0.1660158485174179,0.3577405512332916,0.5242466330528259,0.2524348795413971,0.21076419949531555
diatoms,0.25374510884284973,0.3258446156978607,0.2996651530265808,0.6391115784645081,0.14492890238761902,0.9999998807907104,0.35881370306015015,0.2890825867652893,0.10626711696386337,0.15538664162158966
(,0.2411840260028839,0.16271455585956573,0.35032153129577637,0.17324984073638916,0.18979617953300476,0.23927704989910126,0.23072676360607147,0.26263320446014404,0.2212456464767456,0.40561532974243164
a,0.3320399522781372,0.42310917377471924,0.5052502155303955,0.24622295796871185,0.2552328109741211,0.2829292118549347,0.338716596364975,0.44750767946243286,0.24504798650741577,0.23916715383529663
heterokontophyte,0.3120196759700775,0.3810321092605591,0.2993703782558441,0.6717708706855774,0.1618790626525879,0.5920122265815735,0.379293829202652,0.34664592146873474,0.1405208706855774,0.23591239750385284
),0.26259949803352356,0.17504733800888062,0.3680361211299896,0.16103236377239227,0.18584993481636047,0.23397085070610046,0.22866283357143402,0.2897340953350067,0.2206464260816574,0.42300865054130554
now,0.4903225302696228,0.23160012066364288,0.29182544350624084,0.2407236248254776,0.2646316885948181,0.24621069431304932,0.3471246361732483,0.4519859552383423,0.23608413338661194,0.29641881585121155
have,0.39808809757232666,0.31829583644866943,0.3802283704280853,0.29091566801071167,0.3783526122570038,0.35881370306015015,0.9999999403953552,0.5920813083648682,0.2670711576938629,0.32991164922714233
a,0.3320399522781372,0.42310917377471924,0.5052502155303955,0.24622295796871185,0.2552328109741211,0.2829292118549347,0.338716596364975,0.44750767946243286,0.24504798650741577,0.23916715383529663
red,0.16784515976905823,0.12747153639793396,0.22367064654827118,0.26118144392967224,0.11931999027729034,0.23675888776779175,0.2217920422554016,0.18803751468658447,0.13801878690719604,0.1495664119720459
algal,0.19235531985759735,0.2345457822084427,0.2226642668247223,0.5980126261711121,0.12526299059391022,0.5540652871131897,0.31350716948509216,0.2704123854637146,0.1376211792230606,0.18147486448287964
derived,0.20143714547157288,0.2652199864387512,0.28474852442741394,0.27001258730888367,0.13302093744277954,0.3057977259159088,0.20085886120796204,0.19676612317562103,0.10832830518484116,0.1241099163889885
chloroplast,0.23505516350269318,0.2457917332649231,0.2069506198167801,0.9777651429176331,0.1815837174654007,0.6237541437149048,0.26476383209228516,0.2618119418621063,0.17385512590408325,0.12532055377960205
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.20794041454792023,0.3015086054801941,0.2926155626773834,0.3541618287563324,0.48126736283302307,0.26788443326950073,0.31091248989105225
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.23062430322170258,0.34736719727516174,0.3100396394729614,0.40389683842658997,0.4859698414802551,0.3376973867416382,0.22068053483963013
presence,0.24428647756576538,0.23542112112045288,0.2917717397212982,0.30548998713493347,0.16884823143482208,0.3416372239589691,0.3258243203163147,0.30949410796165466,0.1344541311264038,0.08592845499515533
of,0.33290785551071167,0.2285657674074173,1.0,0.23179760575294495,0.2513895630836487,0.2996651530265808,0.3802283704280853,0.39942997694015503,0.2878951132297516,0.1826142966747284
many,0.36131182312965393,0.3219348192214966,0.37253960967063904,0.25650450587272644,0.375588983297348,0.2955271899700165,0.5841760635375977,0.46599987149238586,0.2272789478302002,0.2124512493610382
green,0.16762696206569672,0.15850861370563507,0.2225196659564972,0.32718849182128906,0.10622840374708176,0.2178889811038971,0.21818293631076813,0.2088024616241455,0.1458994597196579,0.11409882456064224
algal,0.19235531985759735,0.2345457822084427,0.2226642668247223,0.5980126261711121,0.12526299059391022,0.5540652871131897,0.31350716948509216,0.2704123854637146,0.1376211792230606,0.18147486448287964
genes,0.2555708885192871,0.1854126751422882,0.20000982284545898,0.5287688374519348,0.17849208414554596,0.3861384093761444,0.302103191614151,0.18554310500621796,0.15059450268745422,0.19798170030117035
in,0.30808621644973755,0.2349269688129425,0.5696388483047485,0.21141497790813446,0.2593238651752472,0.282918244600296,0.36843645572662354,0.48674455285072327,0.3167656362056732,0.20430970191955566
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.23062430322170258,0.34736719727516174,0.3100396394729614,0.40389683842658997,0.4859698414802551,0.3376973867416382,0.22068053483963013
diatom,0.2625027894973755,0.34576788544654846,0.2747762203216553,0.6031897068023682,0.1171884834766388,0.9037997126579285,0.32897597551345825,0.2788887023925781,0.07794412970542908,0.1628018021583557
nucleus,0.2337055206298828,0.22464650869369507,0.20514483749866486,0.5944722890853882,0.12084563821554184,0.5370663404464722,0.29158270359039307,0.19636736810207367,0.16797763109207153,0.1512926071882248
provide,0.27049049735069275,0.3260391354560852,0.27198103070259094,0.26443833112716675,0.2528877258300781,0.260003924369812,0.4755615293979645,0.35624033212661743,0.1315711885690689,0.22704634070396423
evidence,0.33425694704055786,0.27638113498687744,0.2471507489681244,0.3081165850162506,0.24616770446300507,0.32456523180007935,0.39647525548934937,0.32117944955825806,0.09900882095098495,0.24151235818862915
that,0.6297725439071655,0.38161981105804443,0.41498205065727234,0.3177454173564911,0.47518548369407654,0.3323519825935364,0.6182622313499451,0.7244205474853516,0.26059767603874207,0.32716336846351624
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.23062430322170258,0.34736719727516174,0.3100396394729614,0.40389683842658997,0.4859698414802551,0.3376973867416382,0.22068053483963013
diatom,0.2625027894973755,0.34576788544654846,0.2747762203216553,0.6031897068023682,0.1171884834766388,0.9037997126579285,0.32897597551345825,0.2788887023925781,0.07794412970542908,0.1628018021583557
ancestor,0.16140799224376678,0.19254747033119202,0.23326565325260162,0.3018394708633423,0.20293964445590973,0.2708873450756073,0.29906484484672546,0.22439011931419373,0.20652776956558228,0.14805565774440765
(,0.2411840260028839,0.16271455585956573,0.35032153129577637,0.17324984073638916,0.18979617953300476,0.23927704989910126,0.23072676360607147,0.26263320446014404,0.2212456464767456,0.40561532974243164
probably,0.476871132850647,0.2939537465572357,0.29024845361709595,0.26108402013778687,0.29997241497039795,0.2527530789375305,0.44166892766952515,0.5036834478378296,0.17417626082897186,0.3524723947048187
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.23062430322170258,0.34736719727516174,0.3100396394729614,0.40389683842658997,0.4859698414802551,0.3376973867416382,0.22068053483963013
ancestor,0.16140799224376678,0.19254747033119202,0.23326565325260162,0.3018394708633423,0.20293964445590973,0.2708873450756073,0.29906484484672546,0.22439011931419373,0.20652776956558228,0.14805565774440765
of,0.33290785551071167,0.2285657674074173,1.0,0.23179760575294495,0.2513895630836487,0.2996651530265808,0.3802283704280853,0.39942997694015503,0.2878951132297516,0.1826142966747284
