,the,largest,brand,of,what,store,in,the,uk,is,located,in,kingston,park,?
the,1.0,0.3757036626338959,0.18590734899044037,0.733189046382904,0.42745697498321533,0.2639283239841461,0.6662389636039734,1.0,0.2143084555864334,0.5823672413825989,0.407527357339859,0.6662389636039734,0.2167012095451355,0.24748283624649048,0.22068053483963013
largest,0.3757036626338959,0.9999999403953552,0.11231592297554016,0.36650770902633667,0.13463157415390015,0.20957016944885254,0.3017216920852661,0.3757036626338959,0.21688705682754517,0.3413417339324951,0.37509143352508545,0.3017216920852661,0.1638980656862259,0.2416546791791916,0.12401245534420013
tesco,0.24536103010177612,0.26567915081977844,0.344720721244812,0.29556453227996826,0.12215667217969894,0.3900187611579895,0.23972225189208984,0.24536103010177612,0.34934985637664795,0.24460013210773468,0.2771713137626648,0.23972225189208984,0.25677597522735596,0.2820846140384674,0.06971938163042068
store,0.2639283239841461,0.20957016944885254,0.3061138391494751,0.21870145201683044,0.18931551277637482,1.0,0.3481425344944,0.2639283239841461,0.19860069453716278,0.24926087260246277,0.16085709631443024,0.3481425344944,0.17326825857162476,0.14566048979759216,0.17555226385593414
in,0.6662389636039734,0.3017216920852661,0.1840389519929886,0.5696388483047485,0.30808621644973755,0.3481425344944,1.0,0.6662389636039734,0.2261405885219574,0.5394441485404968,0.35149815678596497,1.0,0.2037242203950882,0.22758090496063232,0.20430970191955566
the,1.0,0.3757036626338959,0.18590734899044037,0.733189046382904,0.42745697498321533,0.2639283239841461,0.6662389636039734,1.0,0.2143084555864334,0.5823672413825989,0.407527357339859,0.6662389636039734,0.2167012095451355,0.24748283624649048,0.22068053483963013
united,0.34367692470550537,0.2719666361808777,0.17675043642520905,0.3187655806541443,0.20036718249320984,0.22303292155265808,0.3938477039337158,0.34367692470550537,0.40107643604278564,0.22408509254455566,0.21170265972614288,0.3938477039337158,0.2353692650794983,0.24208851158618927,0.17266890406608582
kingdom,0.3143408000469208,0.2149297147989273,0.16973142325878143,0.3218171298503876,0.17826133966445923,0.16223202645778656,0.28265801072120667,0.3143408000469208,0.5142970681190491,0.1914215236902237,0.1407838761806488,0.28265801072120667,0.29872557520866394,0.15882475674152374,0.12927088141441345
is,0.5823672413825989,0.3413417339324951,0.20519493520259857,0.4854315221309662,0.28837618231773376,0.24926087260246277,0.5394441485404968,0.5823672413825989,0.17650434374809265,1.0,0.35717159509658813,0.5394441485404968,0.14551129937171936,0.2076987773180008,0.22961433231830597
located,0.407527357339859,0.37509143352508545,0.11016518622636795,0.32520920038223267,0.2034616470336914,0.16085709631443024,0.35149815678596497,0.407527357339859,0.0793573185801506,0.35717159509658813,1.0,0.35149815678596497,0.16313554346561432,0.31520238518714905,0.08983194828033447
in,0.6662389636039734,0.3017216920852661,0.1840389519929886,0.5696388483047485,0.30808621644973755,0.3481425344944,1.0,0.6662389636039734,0.2261405885219574,0.5394441485404968,0.35149815678596497,1.0,0.2037242203950882,0.22758090496063232,0.20430970191955566
kingston,0.2167012095451355,0.1638980656862259,0.25498178601264954,0.17535088956356049,0.1601722538471222,0.17326825857162476,0.2037242203950882,0.2167012095451355,0.2895214557647705,0.14551129937171936,0.16313554346561432,0.2037242203950882,1.0000001192092896,0.22144396603107452,0.1317085325717926
park,0.24748283624649048,0.2416546791791916,0.09476117044687271,0.24561640620231628,0.13500720262527466,0.14566048979759216,0.22758090496063232,0.24748283624649048,0.14374926686286926,0.2076987773180008,0.31520238518714905,0.22758090496063232,0.22144396603107452,1.0,0.13508929312229156
on,0.5107308030128479,0.16868500411510468,0.1868440955877304,0.3966929316520691,0.34226128458976746,0.21804755926132202,0.46853652596473694,0.5107308030128479,0.2875306308269501,0.3635730445384979,0.22447186708450317,0.46853652596473694,0.27565649151802063,0.2332824319601059,0.2714994251728058
the,1.0,0.3757036626338959,0.18590734899044037,0.733189046382904,0.42745697498321533,0.2639283239841461,0.6662389636039734,1.0,0.2143084555864334,0.5823672413825989,0.407527357339859,0.6662389636039734,0.2167012095451355,0.24748283624649048,0.22068053483963013
edge,0.3453350365161896,0.18784461915493011,0.25710275769233704,0.2350095808506012,0.2064312994480133,0.06182555481791496,0.258846253156662,0.3453350365161896,0.1959361433982849,0.27232471108436584,0.33063068985939026,0.258846253156662,0.25326380133628845,0.22138158977031708,0.06842754781246185
of,0.733189046382904,0.36650770902633667,0.13266319036483765,1.0,0.33290785551071167,0.21870145201683044,0.5696388483047485,0.733189046382904,0.21513383090496063,0.4854315221309662,0.32520920038223267,0.5696388483047485,0.17535088956356049,0.24561640620231628,0.1826142966747284
newcastle,0.2253497689962387,0.17620566487312317,0.1932259500026703,0.18781472742557526,0.16276082396507263,0.09673910588026047,0.19270820915699005,0.2253497689962387,0.23818176984786987,0.1841045320034027,0.16362841427326202,0.19270820915699005,0.44768354296684265,0.1992185264825821,0.0902252271771431
.,0.5934505462646484,0.18871670961380005,0.1755143702030182,0.5352458953857422,0.3567904531955719,0.2638673484325409,0.5591574311256409,0.5934505462646484,0.24075214564800262,0.4569662809371948,0.28226932883262634,0.5591574311256409,0.21633628010749817,0.22825266420841217,0.4130953550338745
