,what,are,public,schools,in,victoria,?
public,0.1729622185230255,0.18111367523670197,1.0000001192092896,0.4260808527469635,0.29074716567993164,0.19629675149917603,0.19872993230819702
schools,0.1820785105228424,0.30816179513931274,0.4260808527469635,1.0,0.2632134258747101,0.11402804404497147,0.18349280953407288
",",0.3087472915649414,0.4062570035457611,0.2588968276977539,0.2760516405105591,0.5201468467712402,0.2279360294342041,0.31091248989105225
also,0.42747777700424194,0.4565894305706024,0.3308127224445343,0.3129073679447174,0.5073733329772949,0.23245859146118164,0.21848613023757935
known,0.20381177961826324,0.26720109581947327,0.20257171988487244,0.11933183670043945,0.32641831040382385,0.18462607264518738,0.18314571678638458
as,0.31749409437179565,0.3826591968536377,0.2423635572195053,0.21233005821704865,0.3887844979763031,0.19515912234783173,0.27043893933296204
state,0.24273863434791565,0.19951030611991882,0.33038130402565,0.2832874357700348,0.33316072821617126,0.23197819292545319,0.1160883978009224
or,0.33867141604423523,0.5374364256858826,0.23869332671165466,0.23524631559848785,0.3586423695087433,0.18136298656463623,0.32389625906944275
government,0.28074538707733154,0.20126859843730927,0.3310128152370453,0.3405122756958008,0.3066793978214264,0.25075703859329224,0.18851417303085327
schools,0.1820785105228424,0.30816179513931274,0.4260808527469635,1.0,0.2632134258747101,0.11402804404497147,0.18349280953407288
",",0.3087472915649414,0.4062570035457611,0.2588968276977539,0.2760516405105591,0.5201468467712402,0.2279360294342041,0.31091248989105225
are,0.29724663496017456,1.0,0.18111367523670197,0.30816179513931274,0.3841303884983063,0.16939106583595276,0.24591213464736938
funded,0.12889151275157928,0.18269871175289154,0.445223331451416,0.39287659525871277,0.21351924538612366,0.11976002156734467,0.14043596386909485
and,0.31309178471565247,0.48576638102531433,0.3227643668651581,0.29319998621940613,0.4954058527946472,0.24507255852222443,0.20544172823429108
run,0.2294815480709076,0.2580355107784271,0.22418135404586792,0.20951882004737854,0.26368704438209534,0.18425361812114716,0.17904110252857208
directly,0.3618607521057129,0.322107195854187,0.18400877714157104,0.14366699755191803,0.25104159116744995,0.09297463297843933,0.2187996357679367
by,0.2455483376979828,0.37842893600463867,0.23323717713356018,0.1415957361459732,0.370934396982193,0.17471559345722198,0.17966607213020325
the,0.42745697498321533,0.40399202704429626,0.22857438027858734,0.22905772924423218,0.6662389636039734,0.2204313427209854,0.22068053483963013
victoria,0.1194850504398346,0.16939106583595276,0.19629675149917603,0.11402804404497147,0.20823122560977936,1.0,0.12246892601251602
department,0.20655807852745056,0.18917685747146606,0.2250450849533081,0.24840866029262543,0.3254720866680145,0.17921623587608337,0.1343645304441452
of,0.33290785551071167,0.39081433415412903,0.2391265481710434,0.265506386756897,0.5696388483047485,0.2505437433719635,0.1826142966747284
education,0.19940856099128723,0.14324818551540375,0.3925832509994507,0.6035618185997009,0.2654339671134949,0.18859943747520447,0.18067774176597595
.,0.3567904531955719,0.3452940285205841,0.21888655424118042,0.2752705216407776,0.5591574311256409,0.23069117963314056,0.4130953550338745
