,what,event,would,necessitate,airline,passengers,to,need,a,supplemental,supply,of,oxygen,?
[,0.010752761736512184,0.15561793744564056,0.004482490010559559,-0.00707216328009963,0.23359739780426025,0.31673362851142883,0.07649242132902145,0.06108148768544197,0.03893941268324852,0.02144792303442955,0.11975590884685516,0.010817250236868858,0.10739564150571823,0.011015460826456547
h,0.17149698734283447,0.12844601273536682,0.18434414267539978,0.12858852744102478,0.12911954522132874,0.054872773587703705,0.1716347336769104,0.10975602269172668,0.1983538717031479,0.17184308171272278,0.10311828553676605,0.1981927901506424,0.15759038925170898,0.12067257612943649
],-0.03775298595428467,-0.050500787794589996,-0.011652976274490356,0.011515431106090546,0.013789966702461243,-0.10924571007490158,-0.04249158129096031,-0.025349296629428864,-0.049516137689352036,-0.08203959465026855,-0.08927229046821594,-0.035044461488723755,-0.003092464292421937,-0.0022520492784678936
passengers,0.1444476991891861,0.18465863168239594,0.2508363127708435,0.19714820384979248,0.5332003831863403,1.0000001192092896,0.2831176817417145,0.22434400022029877,0.17623189091682434,0.18232856690883636,0.260134756565094,0.21632573008537292,0.2679174840450287,0.15951235592365265
traveling,0.22746403515338898,0.16371586918830872,0.23942241072654724,0.20624954998493195,0.1938561499118805,0.3547983169555664,0.2899523079395294,0.18149825930595398,0.26968079805374146,0.06796740740537643,0.18629641830921173,0.2297215312719345,0.1560339629650116,0.09575265645980835
in,0.30808621644973755,0.27304479479789734,0.30461156368255615,0.2122645229101181,0.24593323469161987,0.2134283185005188,0.45010748505592346,0.2129468470811844,0.539380669593811,0.24907776713371277,0.21402505040168762,0.5696388483047485,0.1672476977109909,0.20430970191955566
(,0.2411840260028839,0.18578632175922394,0.21630488336086273,0.20703330636024475,0.1446695327758789,0.12743337452411652,0.30882009863853455,0.23315081000328064,0.3206180930137634,0.19780664145946503,0.15459595620632172,0.35032153129577637,0.189798504114151,0.40561532974243164
pressurized,0.24112647771835327,0.17450730502605438,0.27994364500045776,0.33652469515800476,0.3055565655231476,0.3409360647201538,0.34351471066474915,0.266558438539505,0.297363817691803,0.2587546408176422,0.3619529604911804,0.2730380594730377,0.4495845139026642,0.11134854704141617
),0.26259949803352356,0.19090920686721802,0.2093871831893921,0.2005869597196579,0.16608121991157532,0.1557605266571045,0.31236231327056885,0.245107039809227,0.3640355169773102,0.16979143023490906,0.15316253900527954,0.3680361211299896,0.19541971385478973,0.42300865054130554
commercial,0.12070754915475845,0.1602344661951065,0.13989409804344177,0.2552909255027771,0.3157351613044739,0.2898373007774353,0.2572329044342041,0.18744239211082458,0.2696971893310547,0.29615703225135803,0.3013549745082855,0.21107374131679535,0.19395092129707336,0.04216946288943291
